"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"M1161.521T895.466",-0.029075,-0.052217,0.019918,0.0102,-0.010538,-0.01409,-0.0026464
"M418.218T902.438",-0.033927,0.019481,0.012816,-0.004652,-0.061434,-0.0014245,-0.0014148
"M632.783T316.499",-0.024627,0.0045598,0.034112,-0.002637,-0.0078234,0.085133,-0.00087459
"M451.218T291.531",-0.03399,0.0079179,0.0054203,0.018936,-0.022229,0.0093376,0.00077993
"M344.099T126.621",-0.031742,0.011426,0.004136,0.0056492,-0.035507,0.015967,-0.0055819
"M653.691T320.692",-0.025459,-0.0037688,-0.030455,-0.021899,-0.003589,0.013252,-0.0052251
"M385.113T835.894",-0.037398,0.056643,-0.0056404,0.052043,0.016761,-0.0021002,-0.0070579
"M627.229T851.009",-0.035718,0.031121,-0.00011573,0.0023674,-0.023895,0.0060725,-0.0039805
"M885.489T1408.277",-0.033412,-0.011726,0.014085,0.0072653,-0.018701,-0.0056799,0.0040542
"M645.124T781.203",-0.031291,-0.046313,-0.0075903,0.062661,0.0074395,-0.0026504,-0.0045886
"M942.469T1308.469",-0.029131,-0.032608,0.014864,-0.0018074,-0.030313,-0.0010475,-0.0051749
"M421.069T767.549",-0.035943,-0.012879,0.010327,0.018098,0.032044,0.006067,-0.0012436
"M643.245T813.714",-0.030781,0.023739,-0.013715,0.0037425,-0.00029712,-0.0057617,-0.0037703
"M745.161T766.586",-0.033518,0.002964,0.017899,0.04237,0.0010034,-0.0050406,0.0026625
"M442.823T96.43",-0.020391,0.00034581,0.042557,0.040471,0.055878,-0.060652,-0.00010905
"M316.508T323.984",-0.027577,-0.02291,0.0063206,0.011108,0.0053836,-0.00055742,-0.00050518
"M729.273T847.264",-0.034049,0.0033924,-0.020246,-0.020702,0.0011211,0.008646,0.0018207
"M417.764T850.924",-0.031248,0.005936,0.0060857,0.014226,-0.056598,0.0012408,0.0012434
"M442.938T91.386",-0.026119,-0.017505,-0.0025921,0.037116,0.016672,-0.0038379,-0.0081571
"M653.752T320.843",-0.025903,-0.0045544,0.019952,-0.002324,0.0069969,0.035067,-0.0035028
"M683.129T316.242",-0.030911,-0.01578,-0.0054462,-0.04609,-0.011677,0.040071,0.0041207
"M653.783T316.318",-0.026196,0.0096649,-0.010814,-0.016819,0.0043453,0.021207,-0.00048052
"M489.058T766.222",-0.038632,0.0026447,0.013462,0.0069289,0.032459,-0.035109,-0.00056348
"M327.108T784.235",-0.030391,-0.0039715,-0.043068,0.027022,0.00033503,0.028754,-0.00044175
"M633.494T312.856",-0.023338,0.020794,0.042392,-0.025856,0.016232,-0.068434,-0.0023422
"M851.819T1425.446",-0.033375,-0.0051807,0.012939,0.074558,0.050114,-0.028699,-0.0027154
"M530.968T106.005",-0.030339,-0.019061,0.020485,0.0093111,-0.0018187,-0.027716,0.0012866
"M1009.607T1323.757",-0.028347,-0.018979,0.022174,0.013748,-0.025056,-0.0012711,-0.00040569
"M653.717T312.26",-0.021266,-0.00028419,0.063354,-0.024803,-0.011916,0.014231,-0.0011678
"M1031.899T1225.646",-0.0205,0.021054,0.032698,-0.037101,0.041033,-0.028952,-0.0019531
"M297.119T136.686",-0.032434,-0.007089,0.0077381,0.018131,-0.0019178,-0.019376,0.001231
"M769.419T945.253",-0.03189,0.013881,-0.018702,0.035266,0.03446,0.016159,-0.0042502
"M1201.918T909.936",-0.030815,-0.0057856,-0.030336,0.022461,-0.017294,0.013493,-4.0009e-05
"M864.188T806.912",-0.030765,-0.035535,-0.022693,0.0075533,-0.0075898,0.024371,-0.00026166
"M865.489T1291.829",-0.026728,-0.037428,0.023553,0.011311,-0.011121,-0.010639,-0.0012209
"M799.191T949.166",-0.033521,-0.027911,-0.0067429,0.0021094,-0.0049164,0.034937,-0.0066486
"M1263.489T907.902",-0.02692,-0.035962,-0.013929,0.010036,-0.015787,-0.007656,0.0018809
"M451.174T880.577",-0.041004,0.03925,0.012266,0.020556,-0.029391,0.018134,-0.0034753
"M405.08T802.267",-0.028936,-0.029361,0.01735,0.021711,0.0060417,-0.034365,-0.0038817
"M309.119T137.634",-0.034038,0.027672,0.013889,0.026832,-0.024181,-0.010929,-0.0036194
"M385.077T746.611",-0.023875,-0.030149,-0.035122,0.023003,-0.029584,-0.017545,0.0012033
"M192.103T133.173",-0.022115,-0.060475,-0.019682,-0.03725,0.012093,0.0068999,-0.0043001
"M1030.642T1193.369",-0.021799,0.013878,-0.0015116,-0.022101,0.007988,0.055109,0.0013223
"M723.577T942.094",-0.02726,-0.066159,-0.011174,-0.036792,0.029002,0.0094288,-0.005919
"M1071.439T878.893",-0.036039,0.048894,0.026438,0.026955,-0.031922,0.0041153,-0.006883
"M1069.501T1402.821",-0.029463,-0.022219,0.0069337,0.024316,0.04426,0.01238,-0.0025935
"M281.07T709.104",-0.029753,-0.017327,-0.031438,-0.019865,0.011667,0.004355,0.00069893
"M577.137T781.037",-0.031898,-0.054019,-0.017895,0.068173,0.04456,0.035107,-0.00096584
"M397.075T138.684",-0.030753,-0.011398,-0.0074029,0.023604,-0.032134,0.025769,-0.00021792
"M653.861T317.501",-0.029118,0.0039149,0.024431,-0.0061199,0.0012151,0.0026666,-0.0012347
"M375.104T216.821",-0.033215,-0.0055854,0.017091,-0.011404,-0.024742,-0.0056988,-0.004509
"M384.097T310.658",-0.029876,-0.01352,0.026618,-0.01399,-0.0056931,-0.020689,-0.00032153
