,FC,log2(FC),raw.pval,#NAME?
M1031.84T1213.333,2.9201,1.546,0.0046076,2.3365
M1045.593T1289.364,3.9164,1.9695,0.0046108,2.3362
M399.275T1363.391,4.8233,2.27,0.0046156,2.3358
M806.921T938.616,7.6134,2.9285,0.0046389,2.3336
M881.515T1351.787,3.5552,1.8299,0.0046574,2.3319
M741.841T67.938,2.1985,1.1365,0.0046638,2.3313
M871.351T913.248,5.1115,2.3538,0.0046898,2.3288
M630.879T67.545,4.7039,2.2339,0.0047043,2.3275
M585.15T892.945,4.7542,2.2492,0.0047492,2.3234
M375.129T729.569,2.878,1.5251,0.0047613,2.3223
M430.136T769.014,12.944,3.6942,0.0048036,2.3184
M621.052T106.9,3.9623,1.9863,0.0048092,2.3179
M549.147T750.744,4.8707,2.2841,0.0049338,2.3068
M316.427T318.614,4.1356,2.0481,0.0049427,2.306
M1014.419T974.744,10.472,3.3885,0.0049531,2.3051
M456.197T892.811,4.721,2.2391,0.0049821,2.3026
M173.008T106.871,4.4349,2.1489,0.0049858,2.3023
M593.922T852.299,5.9617,2.5757,0.0050018,2.3009
M349.057T865.046,6.8292,2.7717,0.0050052,2.3006
M204.085T413.719,71.058,6.1509,0.0050259,2.2988
M187.905T92.369,4.5479,2.1852,0.0050704,2.295
M277.129T811.716,3.8583,1.948,0.00511,2.2916
M609.153T789.212,5.2199,2.384,0.0051279,2.2901
M644.846T66.885,3.1184,1.6408,0.0051493,2.2882
M997.575T1403.78,3.344,1.7416,0.0051518,2.288
M1000.263T316.358,3.0695,1.618,0.0051619,2.2872
M823.337T914.416,6.2659,2.6475,0.0052766,2.2776
M180.971T1182.798,3.4168,1.7727,0.005292,2.2764
M313.093T320.692,3.327,1.7342,0.0053458,2.272
M474.881T66.41,2.5995,1.3782,0.0053572,2.2711
M669.182T316.584,3.2864,1.7165,0.005405,2.2672
M617.133T750.744,5.0251,2.3291,0.0054122,2.2666
M843.287T936.679,7.4538,2.898,0.0054495,2.2636
M685.228T857.881,6.3876,2.6753,0.0054533,2.2633
M289.056T250.757,2.7898,1.4802,0.0054675,2.2622
M644.248T900.496,8.0618,3.0111,0.0055217,2.2579
M789.663T1119.968,4.9362,2.3034,0.0055246,2.2577
M393.081T756.691,6.9142,2.7896,0.0055472,2.2559
M516.992T825.04,68.964,6.1078,0.0055703,2.2541
M356.995T88.504,6.0819,2.6045,0.0056178,2.2504
M728.88T67.591,6.9188,2.7905,0.0056874,2.2451
M1192.357T906.767,2.739,1.4537,0.0056908,2.2448
M626.185T785.506,3.812,1.9305,0.0057711,2.2387
M335.137T198.47,4.5979,2.201,0.0058118,2.2357
M483.183T857.732,5.672,2.5038,0.0058171,2.2353
M1031.347T966.014,5.471,2.4518,0.0059205,2.2276
M295.104T156.471,4.9225,2.2994,0.005958,2.2249
M759.145T875.232,11.273,3.4948,0.0059691,2.2241
M633.053T106.254,2.9069,1.5395,0.0060277,2.2198
M714.253T913.384,6.8467,2.7754,0.0060561,2.2178
M507.151T845.473,4.7291,2.2416,0.006099,2.2147
M293.118T1042.937,76.397,6.2554,0.0061494,2.2112
M426.882T91.046,2.6941,1.4298,0.0061723,2.2096
M395.189T761.387,4.9746,2.3146,0.0061766,2.2093
M264T169.106,3.2621,1.7058,0.0062066,2.2071
M445.135T747.805,4.4298,2.1472,0.0062285,2.2056
M524.183T892.811,3.6068,1.8507,0.0062425,2.2046
M799.191T949.166,5.4334,2.4419,0.0062481,2.2043
M688.263T861.089,9.2615,3.2112,0.0062642,2.2031
M353.228T471.773,4.9364,2.3035,0.0062737,2.2025
M518.153T824.178,4.2424,2.0849,0.0062755,2.2023
M653.935T315.929,3.5338,1.8212,0.0062849,2.2017
M709.31T874.193,6.4504,2.6894,0.0063391,2.198
M1224.522T894.229,4.1961,2.069,0.0063393,2.198
M351.085T316.423,3.5652,1.834,0.0064123,2.193
M1094.211T893.809,8.8073,3.1387,0.006432,2.1917
M367.103T818.837,5.8684,2.553,0.0064353,2.1914
M355.571T782.72,6.2386,2.6412,0.0064417,2.191
M365.143T832.741,19.148,4.2591,0.0064454,2.1908
M429.25T1071.941,4.2334,2.0818,0.00645,2.1904
M1611.697T937.933,32.362,5.0162,0.0064708,2.189
M329.089T195.942,2.8194,1.4954,0.0064867,2.188
M611.538T834.844,5.4326,2.4416,0.006613,2.1796
M895.304T938.238,8.6667,3.1155,0.0066142,2.1795
M884.8T66.979,6.7727,2.7597,0.0066175,2.1793
M475.187T823.258,7.6204,2.9299,0.0066733,2.1757
M327.108T784.235,4.1099,2.0391,0.0067148,2.173
M1243.514T983.057,5.3126,2.4094,0.0067283,2.1721
M485.178T783.442,3.4049,1.7676,0.0067385,2.1714
M341.465T625.973,10.627,3.4097,0.0067635,2.1698
M265.093T134.502,3.4729,1.7961,0.0068371,2.1651
M653.891T318.024,4.2409,2.0844,0.0068555,2.164
M362.298T315.255,4.3137,2.1089,0.006903,2.161
M951.343T881.927,4.9303,2.3017,0.006911,2.1605
M711.218T782.65,7.4927,2.9055,0.0069529,2.1578
M706.816T67.734,3.0033,1.5865,0.0069624,2.1572
M630.629T315.233,2.983,1.5768,0.0070195,2.1537
M385.188T793.619,3.8084,1.9292,0.0070421,2.1523
M593.545T851.652,3.8278,1.9365,0.0070512,2.1517
M1613.665T937.741,19.324,4.2723,0.0071637,2.1449
M251.019T152.27,4.021,2.0076,0.0071682,2.1446
M753.298T903.043,5.6912,2.5087,0.007181,2.1438
M1079.533T897.421,4.2842,2.099,0.0071959,2.1429
M351.13T801.057,4.182,2.0642,0.0072202,2.1415
M413.192T1370.63,2.4315,1.2818,0.007287,2.1375
M437.041T470.729,5.6549,2.4995,0.0073168,2.1357
M225.002T107.866,5.5533,2.4733,0.0073295,2.1349
M650.407T1378.088,7.2894,2.8658,0.007348,2.1338
M429.365T315.31,2.479,1.3097,0.0073649,2.1328
M266.946T113.686,3.8894,1.9596,0.0073928,2.1312
M626.824T67.188,2.0731,1.0518,0.0074008,2.1307
M649.026T106.128,3.7645,1.9124,0.0074176,2.1297
M454.144T914.383,8.8113,3.1394,0.0074352,2.1287
M812.842T69.273,4.5735,2.1933,0.007476,2.1263
M691.153T854.793,5.1885,2.3753,0.0074778,2.1262
M439.083T756.683,4.7283,2.2413,0.0074885,2.1256
M627.229T851.009,5.4261,2.4399,0.0074893,2.1256
M723.112T851.461,5.5176,2.464,0.0075223,2.1236
M343.102T681.368,2.3244,1.2168,0.0075289,2.1233
M437.044T765.875,5.4309,2.4412,0.0075577,2.1216
M655.655T928.688,3.4602,1.7909,0.007637,2.1171
M329.088T474.939,3.5212,1.8161,0.0076567,2.116
M1033.603T1229.397,2.6061,1.3819,0.0077681,2.1097
M921.374T936.829,7.9204,2.9856,0.0077775,2.1092
M333.109T769.719,6.4461,2.6884,0.0078068,2.1075
M632.783T316.499,2.8536,1.5128,0.0078266,2.1064
M409.075T617.585,10.357,3.3725,0.0078362,2.1059
M1044.425T908.907,8.2657,3.0471,0.0078664,2.1042
M501.195T803.697,4.1822,2.0643,0.0079112,2.1018
M405.177T839.252,3.9408,1.9785,0.0079121,2.1017
M701.333T69.273,3.6495,1.8677,0.0079289,2.1008
M1167.557T907.179,5.254,2.3934,0.007933,2.1006
M438.263T1164.917,3.7726,1.9156,0.0079339,2.1005
M333.06T88.804,7.503,2.9075,0.0079423,2.1001
M515.105T113.414,3.1547,1.6575,0.0079594,2.0991
M455.081T704.884,3.5681,1.8352,0.0079605,2.0991
M807.113T936.925,7.427,2.8928,0.0079625,2.099
M851.276T990.376,7.0229,2.8121,0.008019,2.0959
M313.094T115.286,2.4818,1.3114,0.0080362,2.0949
M320.919T92.078,6.5999,2.7224,0.0080564,2.0939
M633.572T315.643,2.8253,1.4984,0.0081457,2.0891
M387.02T108.554,3.1275,1.645,0.0082188,2.0852
M586.884T67.938,4.0994,2.0354,0.008246,2.0838
M425.103T1191.927,4.8847,2.2883,0.0082486,2.0836
M451.125T735.96,4.7927,2.2608,0.0082546,2.0833
M377.181T797.379,3.7352,1.9012,0.0083452,2.0786
M401.049T776.54,5.1073,2.3526,0.0084256,2.0744
M317.087T121.975,4.5549,2.1874,0.0084383,2.0737
M407.045T415.442,4.3247,2.1126,0.0084417,2.0736
M661.142T919.275,12.672,3.6636,0.0084426,2.0735
M937.388T970.431,5.1767,2.372,0.008458,2.0727
M238.892T97.993,4.9698,2.3132,0.0084606,2.0726
M540.867T1245.744,2.2852,1.1923,0.0084653,2.0724
M547.145T895.878,3.9115,1.9677,0.0084899,2.0711
M451.218T291.531,4.8544,2.2793,0.0084924,2.071
M447.222T1194.448,3.4165,1.7725,0.0085034,2.0704
M988.804T68.066,4.571,2.1925,0.0085059,2.0703
M457.19T799.683,3.6306,1.8602,0.0085122,2.07
M355.433T783.665,6.2689,2.6482,0.0085489,2.0681
M693.278T872.306,4.5228,2.1772,0.0085772,2.0667
M281.049T89.959,4.5535,2.187,0.0086012,2.0654
M1461.92T936.679,6.7792,2.7611,0.0086299,2.064
M632.847T316.374,3.7679,1.9138,0.0086635,2.0623
M246.886T1784.096,3.4527,1.7877,0.0087144,2.0598
M333.083T110.42,4.4461,2.1525,0.0087445,2.0583
M429.074T115.482,3.4192,1.7736,0.0087954,2.0557
M1109.422T909.522,7.4269,2.8928,0.0088381,2.0536
M567.171T792.05,3.7339,1.9007,0.0088776,2.0517
M600.854T66.846,3.1263,1.6445,0.0088826,2.0515
M708.241T861.396,7.2498,2.8579,0.008897,2.0508
M643.188T893.85,2.7517,1.4603,0.0088974,2.0507
M372.9T1734.569,3.4827,1.8002,0.0089725,2.0471
M354.093T469.671,5.8561,2.5499,0.0089936,2.0461
M964.359T921.966,15.262,3.9319,0.0090017,2.0457
M476.876T67.016,2.9028,1.5374,0.0090179,2.0449
M627.173T806.181,3.9192,1.9706,0.0090265,2.0445
M345.577T605.404,2.4748,1.3073,0.0090514,2.0433
M1035.397T978.889,5.8975,2.5601,0.0090696,2.0424
M889.313T902.886,6.6336,2.7298,0.0091389,2.0391
M651.317T893.83,3.1995,1.6778,0.0091711,2.0376
M609.054T106.871,4.299,2.104,0.0092057,2.0359
M811.459T986.188,4.7933,2.261,0.0092891,2.032
M1131.537T924.362,3.4377,1.7814,0.00938,2.0278
M768.448T1315.096,4.6054,2.2033,0.0093912,2.0273
M676.835T65.732,4.6935,2.2307,0.0094154,2.0262
M316.508T323.984,3.0063,1.588,0.0094221,2.0259
M795.27T865.806,4.0028,2.001,0.0094302,2.0255
M795.198T1006.041,5.9081,2.5627,0.0094603,2.0241
M664.226T813.714,4.9738,2.3143,0.0094927,2.0226
M529.154T821.794,4.2377,2.0833,0.0095069,2.022
M687.305T1181.604,11.189,3.4841,0.0095117,2.0217
M451.174T880.577,9.049,3.1778,0.0095718,2.019
M408.822T1801.685,4.5131,2.1741,0.0097086,2.0128
M836.743T1479.398,3.2863,1.7164,0.0097308,2.0119
M457.136T788.61,5.2539,2.3934,0.0097702,2.0101
M473.196T813.174,4.366,2.1263,0.0097989,2.0088
M919.493T1102.884,3.8032,1.9272,0.0098615,2.0061
M371.09T764.993,3.3187,1.7306,0.0098737,2.0055
M967.36T964.868,12.367,3.6284,0.0099675,2.0014
M359.061T194.361,3.7358,1.9014,0.0099763,2.001
M633.753T316.098,3.0281,1.5984,0.0099885,2.0005
M1162.522T896.44,3.1689,1.664,0.009991,2.0004
M492.868T66.13,2.5019,1.323,0.010003,1.9999
M641.167T774.439,4.5806,2.1955,0.010007,1.9997
M593.934T851.064,7.3883,2.8852,0.010015,1.9993
M413.081T316.361,3.5716,1.8366,0.010027,1.9988
M854.516T1290.85,3.3867,1.7599,0.010042,1.9982
M393.176T847.594,3.8241,1.9351,0.01008,1.9966
M415.086T168.579,4.1218,2.0433,0.010088,1.9962
M495.025T292.616,4.4595,2.1569,0.010137,1.9941
M387.165T771.864,3.9145,1.9688,0.010141,1.9939
M593.686T850.456,7.1683,2.8416,0.010203,1.9913
M547.234T852.079,4.5515,2.1863,0.010212,1.9909
M293.177T1099.499,4.124,2.044,0.010223,1.9904
M433.661T789.942,3.401,1.7659,0.010265,1.9887
M1323.575T889.628,4.4874,2.1659,0.01027,1.9884
M1132.537T923.907,3.9701,1.9892,0.010318,1.9864
M467.051T320.771,5.2743,2.399,0.010338,1.9856
M297.119T136.686,4.424,2.1454,0.010345,1.9853
M511.24T944.134,3.8271,1.9363,0.01036,1.9846
M562.835T1148.266,2.5456,1.348,0.010393,1.9832
M471.046T618.546,22.078,4.4646,0.010455,1.9807
M1015.586T1347.819,3.443,1.7836,0.010475,1.9798
M657.832T67.374,3.1491,1.6549,0.010518,1.9781
M471.152T726.342,6.012,2.5878,0.010529,1.9776
M361.323T326.759,8.1165,3.0209,0.010557,1.9765
M483.129T913.248,10.3,3.3646,0.010599,1.9747
M1143.444T941.11,6.9665,2.8004,0.010617,1.974
M206.081T834.983,54.776,5.7755,0.010661,1.9722
M529.184T941.182,12.636,3.6595,0.010662,1.9722
M445.037T424.564,3.0912,1.6282,0.010724,1.9697
M269.05T89.726,4.691,2.2299,0.010728,1.9695
M822.313T886.782,8.0271,3.0049,0.010767,1.9679
M1103.384T928.554,4.6277,2.2103,0.010803,1.9664
M1201.918T909.936,3.9268,1.9733,0.01082,1.9658
M1063.398T908.83,6.3639,2.6699,0.010855,1.9644
M344.099T126.621,3.8167,1.9323,0.010898,1.9626
M433.376T793.769,4.906,2.2945,0.010928,1.9615
M361.589T316.501,3.4836,1.8006,0.010949,1.9606
M1013.583T1347.533,3.4639,1.7924,0.010986,1.9592
M1097.514T1402.931,3.5281,1.8189,0.011006,1.9584
M519.896T67.425,2.9021,1.5371,0.01106,1.9562
M375.104T216.821,4.6091,2.2045,0.011085,1.9553
M375.07T470.729,5.757,2.5253,0.011088,1.9552
M990.329T838.789,9.0936,3.1848,0.011096,1.9548
M483.209T897.853,3.9372,1.9772,0.011102,1.9546
M139.002T112.479,3.6668,1.8745,0.011114,1.9541
M383.555T317.319,3.5887,1.8434,0.011124,1.9538
M745.161T766.586,4.906,2.2946,0.011168,1.952
M397.259T1311.545,4.3211,2.1114,0.011174,1.9518
M698.26T899.18,7.7628,2.9566,0.01129,1.9473
M1390.547T1005.094,2.5149,1.3305,0.011353,1.9449
M575.708T1045.732,2.9609,1.5661,0.011418,1.9424
M447.259T942.596,4.7039,2.2339,0.011465,1.9406
M1130.437T924.326,9.6491,3.2704,0.011466,1.9406
M444.872T67.426,2.6391,1.4001,0.011494,1.9395
M645.848T67.545,2.6806,1.4225,0.011529,1.9382
M328.886T98.013,3.9957,1.9985,0.011554,1.9373
M429.141T889.195,5.8457,2.5474,0.011578,1.9364
M1363.57T899.951,5.5524,2.4731,0.011619,1.9348
M243.065T108.531,3.4368,1.7811,0.011667,1.933
M470.098T771.956,4.1698,2.06,0.011687,1.9323
M1085.513T1348.399,3.6977,1.8866,0.011725,1.9309
M1013.86T1346.532,4.0174,2.0062,0.011728,1.9308
M581.283T805.632,4.2162,2.0759,0.01173,1.9307
M950.337T882.881,7.9391,2.989,0.01179,1.9285
M998.841T1404.514,3.7075,1.8904,0.011792,1.9284
M807.744T937.741,6.5661,2.715,0.011812,1.9277
M941.317T938.576,8.8061,3.1385,0.011902,1.9244
M1130.454T886.215,6.5353,2.7083,0.011915,1.9239
M354.957T108.842,4.0114,2.0041,0.011917,1.9238
M601.172T845.875,3.9786,1.9923,0.011929,1.9234
M1014.585T1348.471,3.5458,1.8261,0.011941,1.923
M885.489T1408.277,4.8558,2.2797,0.011942,1.9229
M1305.428T315.265,2.7196,1.4434,0.011982,1.9215
M310.974T92.682,6.9493,2.7969,0.012023,1.92
M565.23T844.341,3.2546,1.7025,0.01205,1.919
M621.125T857.148,5.1398,2.3617,0.012053,1.9189
M333.062T954.304,11.155,3.4797,0.012065,1.9185
M671.034T89.795,3.2722,1.7102,0.012114,1.9167
M1031.899T1225.646,2.1638,1.1135,0.012117,1.9166
M503.143T589.731,6.5083,2.7023,0.012159,1.9151
M567.333T903.822,4.2245,2.0788,0.012163,1.915
M272.963T113.946,3.8425,1.9421,0.012224,1.9128
M1097.037T893.528,6.2135,2.6354,0.012227,1.9127
M1007.373T920.82,5.5356,2.4687,0.01223,1.9126
M353.181T807.324,5.048,2.3357,0.012239,1.9123
M497.175T1191.749,2.8071,1.4891,0.012288,1.9105
M1095.872T896.96,6.0572,2.5986,0.012305,1.9099
M481.183T807.444,5.7445,2.5222,0.012312,1.9097
M285.909T1803.837,3.626,1.8584,0.012323,1.9093
M385.113T835.894,6.5612,2.7139,0.012368,1.9077
M807.007T938.915,8.6446,3.1118,0.012418,1.906
M998.861T1404.179,3.9571,1.9844,0.012498,1.9032
