"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"X05.F12.4.neg",-6.9821,0.96326,5.1401,-0.21217,1.5621,3.9186,-4.67e-15
"X22.F12.1.neg",-27.155,-5.4527,0.31726,2.5309,-2.3667,-1.5714,-3.4372e-14
"X38.F12.2.neg",-12.854,3.8594,0.15713,-4.3604,2.1258,-3.3149,-6.6809e-15
"X43.F12.3.neg",-7.3984,2.0625,-5.9263,0.9034,1.3839,2.8568,-1.0802e-16
"X02.C12.2.neg",17.995,3.4463,0.97811,5.0194,1.5211,-2.3018,1.8214e-14
"X18.C12.3.neg",22.719,-7.9364,-0.64231,-2.141,1.6179,-0.1118,3.0331e-14
"X33.C12.4.neg",13.676,3.0577,-0.024049,-1.7401,-5.8442,0.52446,-2.1855e-15
