"","Fold Change","log2(FC)"
"M401.027T415.826",6.613,2.7253
"M320.919T92.078",6.5999,2.7224
"M1039.403T917.165",6.5844,2.719
"M732.876T67.374",6.5734,2.7166
"M807.744T937.741",6.5661,2.715
"M385.113T835.894",6.5612,2.7139
"M647.193T836.421",6.5498,2.7115
"M501.375T66.858",6.5481,2.7111
"M1130.454T886.215",6.5353,2.7083
"M577.137T781.037",6.5169,2.7042
"M503.143T589.731",6.5083,2.7023
"M656.833T67.115",6.5,2.7004
"M709.31T874.193",6.4504,2.6894
"M333.109T769.719",6.4461,2.6884
"M1197.439T886.215",6.4167,2.6818
"M502.995T105.736",6.4157,2.6816
"M428.2T856.891",6.4068,2.6796
"M685.228T857.881",6.3876,2.6753
"M937.334T882.127",6.3753,2.6725
"M1063.398T908.83",6.3639,2.6699
"M806.978T940.468",6.3473,2.6661
"M355.433T783.665",6.2689,2.6482
"M823.337T914.416",6.2659,2.6475
"M824.341T916.725",6.264,2.6471
"M1008.375T923.099",6.2437,2.6424
"M355.571T782.72",6.2386,2.6412
"M1097.037T893.528",6.2135,2.6354
"M1462.52T939.973",6.1356,2.6172
"M421.636T753.774",6.1323,2.6164
"M576.128T818.314",6.129,2.6156
"M950.342T882.081",6.1212,2.6138
"M356.995T88.504",6.0819,2.6045
"M609.959T835.516",6.0722,2.6022
"M1035.367T890.845",6.068,2.6012
"M1095.872T896.96",6.0572,2.5986
"M852.339T915.443",6.0406,2.5947
"M395.28T1470.273",6.0291,2.5919
"M471.152T726.342",6.012,2.5878
"M505.902T66.721",5.9846,2.5813
"M702.255T837.404",5.9809,2.5804
"M697.905T994.286",5.9804,2.5802
"M339.058T415.891",5.967,2.577
"M593.922T852.299",5.9617,2.5757
"M559.276T958.275",5.9603,2.5754
"M806.073T940.272",5.9378,2.5699
"M533.169T900.984",5.9218,2.566
"M795.198T1006.041",5.9081,2.5627
"M1035.397T978.889",5.8975,2.5601
"M771.83T66.444",5.8908,2.5585
"M538.221T942.724",5.8904,2.5584
"M260.048T118.657",5.8838,2.5568
"M735.222T927.83",5.8785,2.5554
"M633.697T313.008",5.8713,2.5537
"M367.103T818.837",5.8684,2.553
"M947.485T901.595",5.8682,2.5529
"M354.093T469.671",5.8561,2.5499
"M429.141T889.195",5.8457,2.5474
"M475.146T746.942",5.8393,2.5458
"M447.094T753.734",5.8339,2.5445
"M969.698T320.725",5.8265,2.5426
"M435.959T107.38",5.8088,2.5382
"M399.065T319.722",5.8044,2.5371
"M1036.399T977.849",5.7978,2.5355
"M405.167T106.416",5.7713,2.5289
"M375.07T470.729",5.757,2.5253
"M481.183T807.444",5.7445,2.5222
"M433.351T780.04",5.741,2.5213
"M645.252T899.393",5.7006,2.5111
"M753.298T903.043",5.6912,2.5087
"M483.183T857.732",5.672,2.5038
"M1009.386T967.414",5.6698,2.5033
"M437.041T470.729",5.6549,2.4995
"M665.182T815.828",5.6237,2.4915
"M1130.433T884.599",5.6056,2.4869
"M683.887T67.591",5.5946,2.484
"M447.959T106.92",5.5768,2.4794
"M1057.411T880.24",5.5743,2.4788
"M225.002T107.866",5.5533,2.4733
"M1363.57T899.951",5.5524,2.4731
"M957.374T926.518",5.5468,2.4717
"M617.247T870.852",5.5369,2.4691
"M1007.373T920.82",5.5356,2.4687
"M455.193T892.238",5.5292,2.4671
"M1323.606T888.291",5.5181,2.4642
"M723.112T851.461",5.5176,2.464
"M469.208T948.545",5.5144,2.4632
"M890.319T900.562",5.4922,2.4574
"M699.004T983.059",5.4894,2.4566
"M775.809T66.684",5.4888,2.4565
"M968.386T889.852",5.4818,2.4547
"M695.298T853.355",5.4786,2.4538
"M1031.347T966.014",5.471,2.4518
"M418.896T66.885",5.465,2.4502
"M799.191T949.166",5.4334,2.4419
"M611.538T834.844",5.4326,2.4416
"M437.044T765.875",5.4309,2.4412
"M627.229T851.009",5.4261,2.4399
"M487.212T857.117",5.4127,2.4363
"M309.118T727.508",5.4004,2.4331
"M943.39T965.159",5.3899,2.4303
"M657.169T756.884",5.389,2.43
"M645.124T781.203",5.3718,2.4254
"M771.811T66.858",5.368,2.4244
"M715.392T322.783",5.3611,2.4225
"M703.247T844.715",5.3585,2.4218
"M1117.54T932.512",5.3529,2.4203
"M579.151T798.32",5.3413,2.4172
"M1243.514T983.057",5.3126,2.4094
"M610.849T834.902",5.3035,2.4069
"M357.108T784.337",5.3008,2.4062
"M1071.439T878.893",5.2862,2.4022
"M467.051T320.771",5.2743,2.399
"M983.568T1252.43",5.2732,2.3987
"M555.158T835.854",5.2663,2.3968
"M593.543T760.107",5.2599,2.395
"M729.273T847.264",5.2557,2.3939
"M457.136T788.61",5.2539,2.3934
"M1167.557T907.179",5.254,2.3934
"M433.777T806.208",5.2481,2.3918
"M743.85T66.912",5.2479,2.3917
"M593.857T757.673",5.2454,2.3911
"M915.823T68.606",5.2346,2.3881
"M1354.628T902.5",5.2306,2.387
"M643.245T933.361",5.2261,2.3857
"M609.153T789.212",5.2199,2.384
"M473.173T881.847",5.2183,2.3836
"M548.179T817.387",5.218,2.3835
"M919.334T939.971",5.2129,2.3821
"M691.153T854.793",5.1885,2.3753
"M851.819T1425.446",5.1858,2.3746
"M937.388T970.431",5.1767,2.372
"M701.195T940.853",5.175,2.3716
"M265.426T1576.148",5.1581,2.3668
"M593.763T756.056",5.156,2.3663
"M901.161T984.095",5.1421,2.3624
"M401.144T790.222",5.1408,2.362
"M661.226T856.483",5.1402,2.3618
"M621.125T857.148",5.1398,2.3617
"M349.056T728.324",5.1325,2.3597
"M871.351T913.248",5.1115,2.3538
"M347.091T1147.321",5.1091,2.3531
"M401.049T776.54",5.1073,2.3526
"M631.877T67.938",5.0926,2.3484
"M760.823T66.885",5.0777,2.3442
