"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"M1137.28T17.56","-0.19705088","-0.13032160","-0.12323994","-0.17827889"," 0.03452021"," 0.20281763","-0.34618007"," 0.06231736","-0.20393873"," 0.14280556"," 0.12999751"," 0.01164651"," 0.31860502","-0.15893023","-0.30810968"," 0.28591044","-0.33091049","-0.45548891","-0.45548891"," 0.22397613","-0.10549568"," 0.84072995","-0.36967975","-0.17317645"," 0.07061212"," 0.09191742"," 0.22958795","-0.09553991"," 0.21537566","-0.30149351","-0.24214186"," 0.00251953","-0.19298439"," 0.28033441"," 0.12600428","-0.03256765","-0.09342188"," 0.06495652","-0.18466544"," 0.88524333","-0.06689540","-0.11718822"," 0.28962494"," 0.81941872","-0.13140843","-0.10045553"," 0.12441044","-0.23915779"," 0.08026994","-0.57341493"," 0.37402359"
"M1137.78T17.56"," 0.01007492"," 0.84138498"," 0.51764843","-0.10457640"," 0.07349339","-0.29941174","-0.02332445","-0.07188853","-0.30991795","-0.04824441","-0.07597039","-0.13928250"," 0.06024838"," 0.11232880","-0.05011208"," 0.31214564","-0.53120425","-0.02731326","-0.02731326"," 0.15051590","-0.26453178"," 0.91123034","-0.20175665"," 0.11793411","-0.19871863","-0.27183719"," 0.34592668","-0.03439558"," 0.10230040","-0.17071118","-0.34117860"," 0.05859028","-0.44617793"," 0.22998373","-0.28056644","-0.08558197"," 0.23440068"," 0.08094584","-0.33995447"," 0.05015023"," 0.13960910","-0.30848629"," 0.21788011","-0.17178366"," 0.12845538"," 0.73480110","-0.18423733"," 0.35664425","-0.19378179","-0.84553144"," 0.26109747"
"M1138.1T17.55"," 0.21839759"," 0.07896214","-0.10631084","-0.09476783"," 0.05046231"," 0.03441474","-0.08219504"," 0.74833274","-0.31061656","-0.28697297","-0.45807707"," 0.59356494","-0.16857514","-0.14179953","-0.30925295"," 0.14753071","-0.69864943","-0.19714339","-0.19714339","-0.11882908"," 0.17380154","-0.16759357","-0.01513261","-0.03252177","-0.07845581"," 0.03014783","-0.07329569","-0.09126376","-0.43603850","-0.21611287","-0.09604697","-0.03584158","-0.23254806","-0.24684998","-0.11426288"," 0.01771193"," 0.40996746"," 0.59691534","-0.04363111"," 0.68775378","-0.10236059"," 0.72395494","-0.07177339"," 0.67245785","-0.35231364"," 0.57498117","-0.07403634","-0.39982433","-0.21333895"," 0.59790769","-0.09368911"
"M1139.77T17.56"," 0.013729548"," 0.117611146","-0.101620837","-0.159734038","-0.107937391"," 0.300849783","-0.529738751"," 0.033503013","-0.692234968"," 0.255457072","-0.085530801"," 0.161080893","-0.080286918"," 0.002236054"," 0.359897490"," 0.068004170","-1.041159657"," 0.379656225"," 0.379656225","-0.407199058"," 0.062228267","-0.185838162"," 0.050536941"," 0.086721774","-0.104937380"," 0.367693353"," 0.181303923"," 0.547187948"," 0.298572955","-0.162277815"," 0.048268106"," 0.371566328"," 0.077933198","-0.141209060"," 0.043026170"," 0.182159748","-0.125369430"," 0.037429232","-0.586860984","-0.248620569"," 0.165306386","-0.326805716","-0.121861212"," 0.130993569"," 0.123848551","-0.185787328"," 0.194037682","-0.015653044"," 0.592197904","-0.425844794"," 0.203814260"
"M1141.03T13.55"," 0.229213456","-0.032018061"," 0.536788984"," 0.124604337","-0.151248372"," 0.235254141"," 0.357069888"," 0.372128916"," 0.046848455"," 0.025921530"," 0.375713941","-0.320405291","-0.045073006","-0.048545371","-0.318706820","-0.144955245","-0.161169837","-0.497651648","-0.497651648"," 0.209707471","-0.111704332"," 0.313868813"," 0.149184366"," 0.247401637"," 0.126412455","-0.168202495"," 0.076010974"," 0.160015590","-0.001326327","-0.101820223","-0.641095541"," 0.075124504"," 0.090739597"," 0.262439120","-0.032125934","-0.043131014","-0.037921211","-0.038520679","-0.215720941","-0.383388663","-0.006095353"," 0.395499981","-0.257413258","-0.006265129","-0.434149951"," 0.335085094"," 0.130757840","-0.173919611"," 0.117330442"," 0.017814741","-0.140710315"
"M1141.78T12.55","-0.060146260"," 0.002329159","-0.071396783","-0.320327517"," 0.102878023"," 0.053498824","-0.063366511","-0.212267542","-0.200049078","-0.227166126"," 0.053267488","-0.085820806"," 0.062900289","-0.073593850"," 0.294258377"," 0.110957300"," 0.087755502"," 0.693795165"," 0.693795165"," 0.062870643"," 0.263654453","-0.061049542","-0.017945367","-0.031074680","-0.202166426"," 0.110994366","-0.077748514","-0.095024282"," 0.035514672"," 0.050010741","-0.119838863","-0.229219555","-0.583559612"," 0.308397728","-0.238349745"," 0.181761570"," 0.057893979","-0.495204070"," 1.050568474","-0.527423629","-0.112182959","-0.075844829"," 0.021133201","-0.172064678","-0.205009018","-0.095515468"," 0.050054180"," 0.111120409"," 0.395215592"," 0.299931887","-0.501201473"
"M1142.28T13.6"," 0.194924357"," 0.292552807"," 0.324871870"," 0.145506747"," 0.178258307"," 0.104386252","-0.132195154","-0.090872928","-0.504793263","-0.246761535"," 0.388277370","-0.118828592","-0.280271543"," 0.242588677","-0.081479870","-0.106165997","-0.154516033"," 0.313419480"," 0.313419480","-0.317094852","-0.089014797","-0.037262933"," 0.119701737","-0.182975216","-0.274081597"," 0.347655917"," 0.362360259"," 0.254131653"," 0.110235120"," 0.310951713"," 0.278513962","-0.336122234"," 0.030709667"," 0.051070122","-0.273397404"," 0.244671253","-0.000293249","-0.517181476","-0.237639658","-0.804465646","-0.214896918"," 0.179216390","-0.186322856"," 0.227698136","-0.093234638","-0.104142449","-0.230046443"," 0.268006420"," 0.006124177"," 0.368899286","-0.044093880"
"M1144.1T16.56","-0.0881953725"," 0.0904541968","-0.0838616761","-0.1197874748"," 0.0977916033","-0.2016742071","-0.2717241218","-0.1229226973"," 0.4839908525","-0.2028287836","-0.0664317965","-0.1587256368","-0.1517086332","-0.1209301084","-0.3043854268","-0.3617172866","-0.2944717920","-0.2045823690","-0.2045823690","-0.2118126625"," 0.2603374259"," 0.8605673934"," 0.0008198857","-0.1256988462","-0.2232180060","-0.1455926920"," 0.1468627050"," 0.0767471132"," 0.0306935819"," 0.0509004406"," 0.0267869242"," 0.2150985920","-0.1831392346"," 0.1850383663"," 0.1735918431"," 0.0314295677","-0.1437738857"," 0.1448141236","-0.2112639007"," 0.1830391822","-0.0701057248","-0.2289939810"," 0.3725896100","-0.0919761428"," 0.8589765905","-0.0475294325"," 0.3726904092","-0.1339656965","-0.3295544442","-0.3825580470"," 0.8244920411"
"M1146.11T12.55"," 0.169635838"," 0.021540041"," 0.124685903","-0.320391870","-0.184345033"," 0.165242155","-0.458077932"," 0.003700157"," 0.102679894","-0.481084955"," 0.174986023","-0.003474280"," 0.008918342","-0.151709047","-0.336100649","-0.048299954","-0.182159612"," 0.460678670"," 0.460678670","-0.416655688"," 0.076580684","-0.448962361","-0.170923274"," 0.033746796"," 0.079694282","-0.079446262","-0.013728288"," 0.249506675","-0.233593649"," 0.126051174"," 0.104456188","-0.014592733"," 0.183807541"," 0.209808451"," 0.182309924"," 0.128505097"," 0.282599733"," 0.746389648","-0.175358809","-0.210401282","-0.035604003","-0.239218267"," 0.490049474","-0.280567717"," 0.077220924","-0.123269895"," 0.461424584","-0.465085987","-0.311924694","-0.154353608"," 0.414432983"
"M1146.77T17.56"," 0.001563463"," 0.149873517"," 0.083979453","-0.156108014","-0.280038100"," 0.036553860"," 0.040451311"," 0.026537874"," 0.778361268","-0.012248223","-0.036781327"," 0.634967970","-0.194630278","-0.063414573","-0.028199266","-0.022254073","-0.675701421","-0.379859257","-0.379859257","-0.292267948"," 0.077564296"," 0.664496713","-0.034569193"," 0.081350782","-0.174851407","-0.340521986","-0.160934369"," 0.150827675","-0.197454812","-0.359551988","-0.244964778","-0.198607633","-0.356048577","-0.100822233"," 0.074062643","-0.068115976"," 0.197154510"," 0.031788670"," 0.093103898"," 0.656324763"," 0.173662973"," 0.620446030","-0.074945464"," 0.671135175","-0.260401067"," 0.639437459"," 0.087362290"," 0.001798984","-0.194851340","-0.642423004","-0.042380010"
