"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51"
"M910.81T11.54",0.019792,0.0097035,-0.029697,-0.009234,0.010891,-0.008291,0.021639,0.018436,0.0067576,0.028583,0.0099961,-0.02023,0.007579,-0.00025817,-0.0097127,-0.03022,-0.0065165,0.010408,-0.029076,-0.012907,-0.027579,-0.069112,0.0031706,0.034012,-0.0092485,-0.0047047,0.043749,-0.0125,-0.014146,-0.025513,0.0054257,-0.021787,0.0090124,0.00258,-0.05338,-0.011516,-0.010047,0.025354,-0.0032585,0.024701,-0.008526,0.008449,0.0027103,0.048433,-0.030159,0.013068,-0.023598,0.014101,-0.062847,0.0095383,-0.0050273
"M911.48T17.56",-0.01026,-0.020058,-0.031623,0.031438,-0.018264,-0.042333,-0.014947,0.037504,0.029942,0.038819,0.042224,-0.036449,-0.0030079,0.044883,-0.018476,0.048406,-0.027014,-0.028515,0.024079,-0.024719,-0.038168,-0.023139,0.044838,0.027446,0.03569,0.011599,-0.012218,0.0053503,-0.015243,-0.011492,-0.0014563,0.023534,0.040252,0.017887,-0.012589,0.038451,0.0015653,-0.074159,0.039611,-0.019454,-0.019489,-0.0025043,-0.020043,-0.026626,0.0053044,-0.0032258,0.086641,-0.0078927,0.066258,0.016031,0.011985
"M911.81T18.56",-0.036084,-0.02885,-0.016387,0.0063767,0.025271,0.013221,0.028355,0.059304,0.0076318,0.021796,0.060861,-0.0034,0.027145,-0.01299,-0.0020071,-0.011155,0.0016713,-0.015273,0.0052287,0.0022529,-0.029517,-0.013145,-0.013,0.010836,0.022417,-0.018596,-0.0093532,-0.0060992,-0.031609,0.0031644,-0.017006,-0.027487,-0.018235,0.013142,0.029214,0.0025451,-0.036556,-0.0083171,-0.007189,-0.0067902,-0.0020547,-0.062615,-0.026911,0.0025345,0.0079437,-0.031381,0.030144,0.036056,-0.0084816,-0.0036353,0.0074722
"M911.82T11.54",0.015307,0.0042242,-0.042159,-0.05523,0.021382,-2.9957e-05,-0.018683,0.01838,-0.027943,0.026079,-5.0893e-05,-0.0004343,-0.018088,0.01997,0.010388,0.017008,-0.018701,0.0045837,-0.025256,-0.018754,0.014689,0.0066682,-0.033367,-0.034396,-0.021714,-0.0070498,0.012198,0.033349,0.040329,0.0064347,0.029626,-0.0054501,0.0092504,0.015513,0.030047,-0.011784,0.0084899,0.017201,-0.03003,0.0088253,-0.0080688,0.018654,0.0052764,-0.009348,-0.008184,-0.010023,0.031651,0.037496,-0.0063401,0.0010123,-0.0104
"M913.49T13.02",-0.0012047,0.0034714,-0.078863,0.00018448,-0.010618,-0.01774,-0.063168,0.017216,-0.029691,-0.041829,-0.071699,0.019265,0.0050808,0.027081,0.0085921,0.0088823,-0.032182,-0.026495,-0.014188,-0.0044326,0.01203,0.039571,-0.036654,0.023772,-0.013179,0.026071,-0.047532,0.025162,0.003772,-0.024881,-0.00059339,-0.055936,0.031957,-0.043707,0.0574,0.022934,-0.032702,0.048154,0.032618,-0.011871,-0.072069,-0.0094094,0.023712,-0.0060928,-0.00016088,0.0013896,-0.073966,-0.038651,0.059103,-0.022528,0.0039513
"M917.15T16.56",-0.042573,-0.017721,0.0029407,-0.0040807,-0.0080182,0.033732,-0.0046017,-0.015252,-0.019163,-0.048468,-0.052953,-0.011999,0.015827,-0.04394,0.028809,-0.0041,-0.0075643,-0.011046,-0.00018377,-0.0022781,-0.023529,-0.042014,0.0080412,-0.010729,0.02978,-0.013996,0.013359,0.01468,-0.041796,-0.051772,0.010418,-0.014305,0.055974,-0.034258,0.056378,-0.0074968,0.031934,-0.032336,0.021349,0.0030766,-0.039225,0.03096,-0.020698,0.016262,0.0024071,0.031032,0.035698,0.0015545,-0.033287,-0.018911,-0.0024959
"M917.8T18.15",-0.022733,-0.043018,-0.021994,-0.0031397,-0.01554,0.010064,0.014427,0.05044,0.053372,0.042338,-0.013601,-0.019976,-0.012169,-0.014212,-0.027857,-0.0043331,-0.015227,0.00047438,0.0048381,-0.0064533,0.015727,-0.041197,-0.020461,-0.003044,-0.011457,0.012018,-0.022982,-0.0050755,-0.016328,-0.010439,-0.0050337,-0.01049,0.023615,-0.015291,0.0020062,-0.0014377,-0.0032431,-0.035843,0.04157,0.037166,0.054781,-0.010107,0.01234,-0.0011216,-0.013328,0.070465,0.021513,-0.027231,-0.040845,-0.0015612,0.0074301
"M918.81T18.56",-0.041703,-0.040906,-0.016046,0.017663,-0.024841,0.010233,0.013698,0.040712,-0.0084732,-0.04312,-0.023811,0.012305,-0.0084192,-0.010798,0.020641,-0.015362,0.020186,0.015752,-9.887e-05,-0.008417,-0.0060034,0.026889,0.0030226,-0.034949,-0.01081,-0.005941,-0.035683,-0.018313,-0.0042445,-0.028132,-0.0077277,-0.015766,-0.0023366,-0.032242,-0.015374,-0.020137,0.0036836,0.012558,-0.0035261,0.02966,-0.019617,-0.010559,-0.018043,-0.0074315,-0.002179,0.023886,0.020344,0.012747,0.0074862,0.0020061,0.01496
"M921.33T13.55",-0.008195,0.0015,-0.05048,-0.033874,-0.022634,0.017137,0.015831,-0.038762,-0.0051188,0.010569,0.033193,-0.0052247,-0.045685,-0.0048432,-0.030302,-0.0062935,-0.022525,0.02315,0.00027127,0.056337,-0.030748,-0.0079967,-0.0051233,-0.021923,-0.036552,-0.035693,-0.003927,-0.014683,-0.0011834,0.0027467,0.088799,0.028192,0.013974,-0.0056055,0.065231,0.0016987,0.014713,0.014584,0.044845,0.012703,-0.046179,-0.014262,0.0055578,0.011097,-0.033616,-0.015221,-0.00011105,-0.0062996,0.022658,-0.0019922,-0.0042968
"M921.82T11.73",0.019156,0.0087682,-0.03993,-0.038198,0.019344,-0.026697,0.014565,0.03806,-0.011264,0.014949,0.00066624,-9.5913e-05,-0.0097496,0.027067,0.01839,-0.038922,0.018005,-0.046809,0.021743,0.026427,-0.018188,-0.0045135,0.013088,-0.0034048,0.017507,-0.025981,-0.001879,0.027057,-0.015493,0.0016005,-0.017688,0.040636,0.017448,0.0030374,0.023977,-0.0079392,-0.00102,-0.017279,0.0073156,-0.034866,0.017299,-0.00091369,-0.037901,0.025872,0.0096012,-0.010915,-0.020058,0.028658,-0.0068662,-0.027577,-0.004221
