"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"M245.03T22.3","4838.472","7360.014","6063.552","4619.818","6235.227","6265.94","6347.582","5996.357","5421.028","5241.678","6056.282","5077.186","7174.387","5737.21","6389.223","5822.534","6157.923","6013.752","6013.752","6405.158","7001.676","5831.9632","5714.658","6075.098","6081.877","5237.366","6262.732","7761.5","5303.228","4922.427","5492.428","6462.593","5021.002","6489.022","6183.918","7288.77","5872.645","6450","5932.125","5848.2263","6995.121","6370.677","7694.609","6437.423","6137.903","6680.306","6365.29","5350.381","6177.012","6076.328","3902.989"
"M247.08T831.65","80185.008","93590.505","150929.22","123135.538","97808.481","101018.816","100767.98","129573.387","77404.907","166652.626","132346.87","42243.935","156968.298","133271.825","112318.79","106559.91","33687.275","86295.606","86295.606","113814.467","110407.011","18373.309","96293.08","119284.789","140679.468","138721.849","97445.94","134990.938","86685.363","95289.6","48264.507","55607.267","125796.241","137883.655","117235.387","77982.969","103567.571","92200","131767.145","60452.4708","78107.255","45737.07","19642.221","46423.7","46411.509","42768.132","121878.901","95853.384","104271.067","100985.5","51801.636"
"M250.96T20.39","18730.786","17423.888","16768.905","18238.552","16757.447","19169.156","14204.804","17090.105","17129.761","16834.897","17993.12","17403.605","17468.248","17509.798","17465.469","18224.51","16840.894","16405.073","16405.073","18019.898","18108.539","20512.2148","16258.226","18119.341","18203.459","16898.944","19600.909","18494.823","17656.036","15322.136","13351.279","17525.448","15263.654","17337.707","16658.714","20960.491","18491.37","15000","18537.912","19420.1556","18280.679","17588.667","18591.5","16465.248","19325.476","16045.133","20680.041","15617.201","17450.565","14735.14","22000.847"
"M256.93T20.56","6114.288","5567.051","5641.507","6730.18","7442.26","6100.246","4289.958","5067.557","6121.843","5720.206","6138.36","6068.15","6078.986","6844.253","6429.98","6461.453","4383.145","5904.748","5904.748","6980.88","6927.869","5551.8223","5468.076","5915.545","8860.348","4990.904","6308.87","7515.307","6971.527","5609.109","4525.487","5796.067","5220.774","6051.894","5621.007","7401.812","7042.188","5070","6471.383","6885.6171","5452.769","6379.868","5584.136","5818.353","5456.32","6479.921","6918.485","5118.918","6127.485","5233.888","5899.363"
"M274.94T20.57","14909.344","17289.405","11334.385","12978.662","13337.604","14585.438","9831.284","16218.275","15110.412","14629.445","13194.173","16039.376","15211.498","13378.691","12262.678","15638.776","9951.659","13998.478","13998.478","14581.614","15707.216","14603.5424","11266.986","14832.521","16832.346","12880.256","13783.226","14392.397","15080.606","11587.675","12442.628","12252.544","13195.341","15464.651","13520.111","14328.597","15580.168","10800","13816.761","15337.876","15644.794","12846.424","14434.565","15510.392","13181.426","14784.12","12963.552","11210.286","15695.495","12347.989","16798.533"
"M277T22.59","7406.152","6542.796","6251.422","7023.515","5288.767","6541.261","5854.521","6949.4","6037.82","7471.946","5869.053","7087.198","5695.034","7870.577","6774.262","6674.856","6276.339","6670.868","6670.868","8074.15","7411.853","6312.6","5518.677","6688.004","5495.527","6036.615","6956.592","6917.117","6628.882","6522.43","7149.323","6554.674","5947.79","6064.138","5811.382","7316.954","5886.397","7840","6248.69","6791.2951","7075.07","6494.804","7539.719","7139.354","7167.9","6904.652","7007.727","6300.85","6544.53","6110.26","6180.437"
"M302.93T20.57","19277.66","17416.092","19643.453","20387.23","21177.342","19609.574","15712.245","17325.511","18069.555","22463.188","20009.639","18562.671","18943.013","22100.779","18978.143","20653.776","12462.755","17969.818","17969.818","20625.692","19458.2","22550.9698","16334.828","21391.62","22651.799","19280.189","20375.018","18764.051","21274.135","15491.242","12736.094","15022.537","18126.216","18790.202","19789.19","23986.739","19884.885","12800","18667.65","21293.5728","19300.414","21301.639","19257.344","21241.551","18682.021","21991.778","21550.901","14013.916","21544.923","12550.636","22648.739"
"M309.13T18.56","15976.686","17176.895","15922.094","16685.712","17132.847","16680.125","15347.087","14639.814","14324.165","17057.625","14921.797","17062.58","15622.963","17510.02","14867.414","18712.479","14532.181","24267.977","24267.977","17821.304","17974.626","28619.9975","16470.971","18422.106","18500.411","15561.805","17395.992","17953.32","18612.739","17095.007","24162.67","16367.783","18099.599","16206.795","25574.844","19178.755","16467.914","17200","25544.912","17306.602","16471.746","26752.117","18108.783","30092.006","16551.862","17069.054","17821.367","17694.727","17543.094","18254.6","20905.613"
"M322.92T21.56","5585.914","6859.323","5352.816","8053.801","7539.484","7304.517","5993.254","7429.871","7234.373","7696.847","7443.721","5943.778","6704.07","6413.055","6728.722","6759.052","6396.367","6244.203","6244.203","6230.636","8778.042","7091.1797","6002.691","6703.141","7328.198","6901.896","7731.819","9239.241","6133.295","7445.585","6357.413","6503.745","5586.71","7301.495","5794.178","8860.45","7518.318","6140","7733.255","7378.8543","6855.94","7515.393","6856.541","6650.436","7113.276","5863.78","7796.728","6050.304","6789.428","4813.013","6056.62"
"M324.92T20.56","8929.941","7367.86","6990.937","8214.448","7411.469","7978.856","5329.606","8189.054","5680.732","10137.399","5905.664","7600.734","7422.2","8075.537","7404.406","8416.882","4951.827","7290.901","7290.901","7468.338","9447.301","8095.0034","6998.658","7610.572","5685.004","6592.507","7388.098","8041.539","7326.419","5653.212","5583.576","5843.425","6752.196","7439.998","6082.192","7532.055","7439.407","6260","6871.019","7726.9863","7041.402","6852.252","7118.019","8326.906","7655.026","7903.221","8397.029","6252.221","8325.911","4392.942","7469.015"
