"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"sodium_formate","4034768","3834774","3778849","4038728","3927945","3923776","3741009","4053882","3890744","4045781","3879945","4104744","3959808","3945214","3800063","4006431","3667732","4024050","4024050","3845071","4035455","3963239","3909794","3819856","3998858","3805402","3801631","3974273","3999728","3766924","3340263","3555483","3798360","3837318","3790177","3934423","3867787","3442128","3960498","4037492","3920796","4069493","3868514","3964440","4037002","4030309","3922006","3735045","3901010","3528208","4862692"
"M1062.79T12.55"," 8184.854","10677.938"," 8507.755"," 9973.849"," 9685.042"," 8477.986","19180.190","10317.836","10070.940"," 9281.030","12774.208"," 9168.792"," 7910.086"," 8949.211","10383.336"," 9520.690","11813.805","14766.166","14766.166"," 9243.648","12449.236"," 9372.125","19658.800","10074.721"," 8322.894","10945.336","11604.787"," 9924.174","11281.744","11047.212"," 7696.683"," 8418.412"," 8140.730"," 9219.576"," 9490.723"," 9937.705","12792.021"," 9910.000","10228.594"," 9433.929","10667.548","10323.986","10895.170","20685.872","13060.901"," 7380.123"," 9734.650","12840.278","10712.040","11737.050","12244.565"
"M1063.78T17.56"," 8279.132","10074.132","10364.408"," 8761.770"," 8330.918"," 9347.285"," 8912.658"," 8632.139"," 9583.900","11973.814"," 9758.805"," 8968.263"," 9020.422","11615.856","10375.032"," 9287.780"," 7131.550","11004.676","11004.676","10712.040"," 9704.852"," 9051.978"," 8039.753"," 9219.795"," 8848.224"," 8799.592"," 8389.092"," 9002.130","10220.216"," 8680.650"," 7459.157"," 8114.498"," 7086.135","11202.114","11759.172"," 9100.635"," 9869.520"," 8390.000","11368.389","18752.093"," 9638.425"," 8489.656","12670.097"," 8028.753"," 9336.841"," 9560.786"," 8659.834"," 8159.623","12397.798"," 7254.648"," 9352.424"
"M1063.79T12.55"," 9166.247"," 7362.020"," 9662.902"," 9580.643"," 9510.871","10706.475"," 7948.613"," 7600.505"," 9914.010"," 8278.762"," 7637.325","10382.356"," 7997.470"," 8609.752"," 6869.180"," 9623.595"," 9764.357","13022.952","13022.952"," 8040.048"," 9761.722","19906.066"," 9511.393"," 8377.546"," 9715.058"," 8292.489"," 9440.673"," 9731.938"," 5893.091","10079.551"," 6059.432"," 6756.798"," 9310.716"," 8984.247"," 8224.520","10309.710","10159.019"," 8700.000"," 7502.440"," 7737.098"," 9279.140","17557.268"," 7826.739","16944.682"," 8317.845"," 9797.606","10173.001"," 9293.920"," 5297.846","10492.996","11206.743"
"M1064.47T13.55"," 8937.074"," 7209.564"," 8581.954"," 8713.870"," 7855.604"," 8117.271"," 8063.352"," 9892.380"," 9198.508"," 8178.415"," 8846.273"," 8944.949"," 7157.035"," 9053.767"," 8142.210"," 7669.032"," 8397.918"," 9592.957"," 9592.957"," 9825.388"," 8332.173"," 7883.390"," 8848.616"," 9219.670"," 9575.700"," 9499.690"," 7656.618"," 8864.449"," 7665.016"," 8853.214"," 7506.643"," 8089.262"," 8273.833"," 9937.946"," 8649.882"," 6251.590"," 8388.256"," 7480.000"," 8219.310"," 8851.290"," 9408.527"," 7929.360"," 8369.729"," 8762.713"," 8894.645"," 8810.409"," 8482.560"," 9090.725"," 8120.205"," 9339.051","11177.411"
"M1064.79T12.55","15689.81","19175.35","18268.64","14101.94","16354.21","19750.53","16665.22","15641.67","15123.23","14348.92","18711.97","14999.83","14440.32","20762.10","16062.78","15432.02","15826.12","24671.93","24671.93","19063.02","20501.32","13486.15","19261.61","15550.51","20336.83","14552.63","19914.26","16185.19","14666.78","15569.47","12941.50","14519.65","13778.47","15696.95","15308.65","19221.94","15302.73","25900.00","19688.89","11182.51","15493.09","36008.95","15609.37","14955.30","21554.90","13928.65","14378.15","16945.31","18840.35","16783.54","20711.08"
"M1064.79T17.56","20261.48","17710.97","18010.94","33616.98","15670.87","17186.82","19903.53","20107.48","20154.83","18726.01","14182.42","32366.13","21909.53","18284.69","17304.19","21909.53","13022.50","25633.65","25633.65","15688.93","16982.99","32930.36","14874.49","14948.65","18693.91","19703.74","17057.02","23700.89","19935.97","17926.65","13588.66","17038.79","19917.57","21088.08","19268.83","18058.03","22600.39","19000.00","17748.14","33268.42","22534.60","17359.36","23001.08","34280.53","19640.75","31170.46","20670.89","15658.73","16499.50","12365.00","22601.18"
"M1067.45T16.98"," 8623.783"," 8425.806","10703.932"," 8639.971"," 8194.456"," 6518.794"," 6742.814"," 7534.183"," 6960.865"," 8118.282"," 7722.542"," 9000.128"," 8916.670"," 6560.213"," 9002.679"," 7751.313"," 5783.999"," 7578.085"," 7578.085"," 8581.668"," 9591.100","14830.212"," 7149.492"," 9295.764"," 7433.470"," 7979.900"," 8685.076"," 9232.463"," 8705.519"," 6649.617"," 7100.381","12827.279"," 7750.421","10632.291"," 7530.830"," 9142.315","15608.963"," 9200.000"," 7830.076"," 9940.909"," 8758.468"," 7445.418"," 8642.053","14481.314"," 8086.186"," 9458.787"," 8912.188"," 7573.766"," 9067.710"," 8571.638","10273.811"
"M1068.29T16.56"," 8416.568"," 8776.250"," 7674.592"," 8784.718"," 7788.845"," 8433.197","10328.894"," 8531.531"," 8533.040"," 8628.996","11127.125"," 8536.886","10722.070","17383.996"," 8156.791","11185.456"," 5783.999"," 7521.981"," 7521.981"," 8242.654"," 7910.762","17585.800","10583.656","10991.053"," 9662.902"," 9830.885"," 8917.641"," 9806.866"," 8298.325"," 7647.961"," 6845.506"," 8859.596"," 8467.326"," 8951.132","16077.181","17468.773","18022.113","10700.000"," 7486.085"," 9568.397"," 8091.691","18523.989"," 8252.970"," 8742.374","11893.886","15208.113","18522.052"," 7533.672"," 8031.440"," 5930.152"," 8552.961"
"M1068.79T17.55","56011.49","54402.72","56278.35","55602.51","53378.50","54593.04","50842.07","44862.64","54472.81","57080.73","41612.81","46161.75","53875.14","53788.88","52681.57","56757.76","30869.34","43391.62","43391.62","54803.92","57094.66","95673.24","49518.11","60155.96","57660.46","48140.07","58320.44","58525.05","58341.16","38911.38","36465.21","81318.79","52675.55","54054.00","53116.87","59591.31","54962.59","46800.00","54602.27","90732.83","58388.93","96218.43","61108.10","92889.44","54013.89","87756.55","60893.49","40254.42","55336.00","26212.03","73898.66"
"M1069.46T17.55"," 7417.414","11562.584"," 7073.156"," 6169.078"," 7933.730"," 5531.711"," 5777.120"," 8237.909"," 6108.320"," 6526.030"," 6121.526","12476.283"," 6772.788"," 6405.737"," 7319.894"," 7088.120"," 5294.279"," 7128.139"," 7128.139"," 6655.908"," 6457.927","11854.740"," 6106.983"," 7065.102"," 5778.025"," 5822.918"," 8167.821"," 6562.594"," 6896.215"," 7126.737"," 5699.237"," 6354.688"," 6259.357"," 6075.701"," 7014.680"," 7366.130"," 6390.962"," 6620.000"," 7256.502"," 8242.482"," 7051.688"," 6806.375"," 7432.687","11780.063"," 7465.679"," 8171.319"," 7180.265"," 6631.196"," 5707.666"," 3612.967"," 8841.935"
