"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51"
"BLANK_2",2.6905,12.839,0.95112,-0.93456,0.3665,0.15292,0.95876,-1.2119,0.55707,-0.10436,0.82657,0.93572,0.26864,-0.22783,0.43032,0.15672,-0.43014,-1.015,-0.77495,0.82479,-1.0134,0.51131,-0.074329,-0.50484,-0.93087,-0.22737,-1.0857,0.019706,-0.77652,-0.79248,-0.11824,-1.3761,0.95501,0.69036,-1.0068,-0.11384,-1.058,-0.16316,-0.26206,-0.20324,-0.71528,-1.2291,-1.0622,-1.7736,1.3646,0.099078,-0.025485,1.8435,1.1082,7.2841e-15,-5.562e-16
"QC.1_Dup",3.3105,1.5566,-4.8118,6.7817,-1.9377,-1.1448,1.8129,1.2752,0.89339,-0.99382,0.48038,0.37284,0.2539,0.14235,-0.12941,0.15539,-0.34318,0.07853,0.10155,-0.20015,-0.042068,-0.035168,-0.054696,0.17209,0.00029367,0.058215,-0.036505,-0.10314,0.21604,-0.15964,-0.054273,0.24882,-0.23657,-0.10879,0.14713,-2.5953e-05,-0.051605,0.12556,-0.072338,-0.26807,-0.10086,0.058123,-0.019541,0.29911,-0.061603,0.17972,0.0041761,0.041226,-0.040193,8.0968e-16,-1.3339e-14
"QC.1",3.3105,1.5566,-4.8118,6.7817,-1.9377,-1.1448,1.8129,1.2752,0.89339,-0.99382,0.48038,0.37284,0.2539,0.14235,-0.12941,0.15539,-0.34318,0.07853,0.10155,-0.20015,-0.042068,-0.035168,-0.054696,0.17209,0.00029367,0.058215,-0.036505,-0.10314,0.21604,-0.15964,-0.054273,0.24882,-0.23657,-0.10879,0.14713,-2.5953e-05,-0.051605,0.12556,-0.072338,-0.26807,-0.10086,0.058123,-0.019541,0.29911,-0.061603,0.17972,0.0041761,0.041226,-0.040193,8.0968e-16,-1.3339e-14
"QC.2",1.6124,-1.721,-1.4819,-1.6911,0.37447,0.76107,0.18518,-1.2635,-0.46103,-0.2414,-0.10578,0.71967,-0.092694,0.81401,-0.20478,0.48853,-1.6349,-0.75209,1.234,-0.16857,-0.4974,0.39808,-0.54215,-0.34764,-0.54073,1.3134,-0.45904,-0.2626,0.11503,0.48177,1.2058,0.17519,-0.38524,0.34973,0.10846,-0.41187,-0.084434,0.99522,0.60902,0.51054,-0.26911,0.097149,0.097113,1.0943,-1.7206,-0.5816,-0.051341,3.7864,-2.6915,-1.8822e-15,8.3012e-16
"QC.3",1.2466,-0.74487,-1.4053,-0.76995,-0.076331,0.25382,0.086723,0.39455,-0.21795,-0.17797,0.59043,0.078339,-0.10959,0.47097,0.52349,0.070281,0.22426,-0.57046,0.67433,0.30156,-0.77728,-0.095451,-1.5351,-0.82228,-0.12475,0.7932,-0.95648,0.51137,-1.1135,1.6625,-1.2995,-1.1821,1.5608,0.93438,-0.18774,-0.45012,-0.98861,0.82301,0.61479,1.5114,0.57439,-1.0998,-0.22888,-1.7395,-0.6354,2.3774,0.69717,-2.3369,-2.3232,-1.043e-16,-6.5738e-16
"C12.1",-11.148,-0.12657,-0.84859,3.9524,8.4729,2.1498,-0.75193,-2.5379,-2.2735,-2.3648,2.5235,-1.5216,0.41312,-0.55829,-0.14898,-0.38624,-0.60376,-0.40356,0.17369,0.015133,-0.16352,0.15957,-0.50242,0.04191,0.25749,-0.12465,0.433,0.09829,0.31262,-0.054078,0.10577,0.16971,-0.073066,0.15965,0.23406,0.11952,-0.18163,-0.18055,-0.22345,-0.10613,0.022769,-0.36163,0.1428,-0.066997,0.097718,0.040963,-0.11704,-0.14742,0.12906,-2.0522e-15,-3.3386e-15
"C12.3",2.1843,1.4528,1.4955,-0.013133,-0.43144,0.033254,-1.3165,-0.48296,0.091592,-0.75192,-0.064157,-0.93574,0.58338,-0.63565,0.45932,1.092,0.81265,0.17057,0.72179,-0.32297,3.3484,-0.91109,0.77898,-0.064773,0.32068,0.0039376,-0.1536,-1.9283,-0.85881,1.1391,0.44314,0.40685,0.37737,1.7932,1.8213,-2.3727,0.13592,0.54897,-0.43909,-0.090331,0.60561,-1.4666,0.46309,1.7177,-0.59809,2.2815,0.44893,0.68409,1.5541,-6.245e-16,1.0328e-15
"C12.4",1.0015,-3.2466,-0.87113,-1.1421,0.24669,-0.055834,-0.018619,0.20696,-0.25136,0.87325,1.321,1.1064,-0.10521,0.099576,0.28128,-1.5419,-0.0045163,0.45898,-2.2057,-0.53939,-1.3037,1.3111,-0.3071,-0.40883,0.58254,-1.0199,1.881,-0.81677,-0.68732,-1.1207,-0.30519,-0.71693,-1.7667,0.71845,0.31219,0.56084,0.032532,1.8162,-0.07433,-0.50938,0.82832,0.4846,-2.9151,-0.3545,-2.225,0.87606,1.6648,0.28647,1.2676,-1.6948e-15,-1.4637e-16
"D12.1",2.1126,-2.3164,0.39325,-0.64999,0.27285,-0.17463,-0.45637,0.89338,-1.1718,0.6765,-1.1203,0.70765,-0.91097,0.52449,0.33498,0.15042,-1.5149,-1.6124,-1.009,-0.65217,0.38787,2.5361,-0.72956,0.48542,-2.472,-1.1588,0.48331,1.9019,1.628,-0.26844,1.4279,-0.0057692,-1.0957,-0.12681,1.9046,-0.63311,-1.3131,-0.15761,0.42343,-0.21499,-2.1075,-0.046776,-0.26934,0.61237,1.2869,2.0498,-1.3862,-0.60664,0.1039,-9.4022e-16,2.0824e-15
"D12.2",2.4718,-1.4389,3.0182,2.1931,-0.22205,-0.339,-2.0035,1.803,-0.24659,-1.1961,-0.12818,-0.59264,-4.7045,-2.7859,-2.9942,1.2604,2.3717,-0.85571,-0.065896,-0.093131,-0.91207,1.8628,-0.55899,-0.87151,-0.57538,0.39747,0.60277,-1.3165,0.58446,1.6473,0.091193,-1.1406,0.31529,0.32859,-0.8118,-0.11042,-0.08121,0.424,-0.24917,-0.26727,0.32013,0.262,-0.31231,0.34343,0.95762,-0.99851,0.57614,0.27095,-0.21961,-1.507e-17,1.6028e-15
"D12.3",0.67959,-2.897,-1.2998,-0.7953,-0.026338,-0.31091,0.60479,1.1108,-0.79684,-0.20902,0.97154,1.0732,-0.31137,0.85724,-0.40204,1.6785,-0.49347,-1.352,-0.70103,-0.19439,2.9311,0.10569,1.8663,-1.4802,0.22934,-3.0188,2.2597,0.51581,1.3646,-1.1796,0.32577,-0.53827,1.7185,-0.17554,-1.6372,-0.68033,0.045602,-0.53158,0.23589,1.2999,0.51827,-1.3644,0.85074,-1.3622,-0.91791,-1.1967,0.11771,0.13572,-0.11231,-2.737e-15,-7.4745e-16
"D12.4",0.89961,-2.631,-1.0791,-1.3068,0.23523,0.78834,-0.54797,-0.016509,-0.27134,-0.40823,0.25193,-0.42402,0.91462,1.2663,-0.56663,1.6606,1.9447,-1.6206,-1.2406,-3.773,0.11333,0.47294,0.55453,-0.15384,1.0476,0.44851,-2.2293,0.074119,-0.70531,-1.3557,-1.9786,-0.33931,-1.0701,-1.0818,-0.41656,-1.0756,-1.0178,-0.48083,-1.8328,-1.6687,0.223,1.3556,1.3247,-0.92473,0.34318,0.60555,0.10633,0.55963,-0.29592,-1.1146e-16,3.8459e-16
"F12.1",1.7297,-2.4441,1.339,0.35671,1.3458,-0.28632,-0.76408,0.88487,-0.093982,0.30891,-0.59902,1.4894,0.31968,1.2321,-1.2507,-1.4496,0.67529,2.8405,-0.40593,2.3888,-0.70158,-0.28837,-0.89789,-0.4854,-0.43989,0.042724,-1.5528,-0.56626,1.9392,-2.3148,-0.22217,1.4118,2.6764,-1.5826,0.48881,-2.1989,-0.86935,1.1357,-1.1635,-0.53434,0.71647,-0.17552,-0.60589,0.23784,0.2612,-0.030896,-0.10199,0.11861,-0.19452,-4.12e-17,2.6406e-15
"F12.2",4.0912,0.14341,-1.1741,-0.15692,0.70204,0.64698,-0.73715,-1.0586,-0.37665,0.92283,0.14997,-0.56587,1.4754,1.1842,-0.065133,1.2005,1.0381,0.22612,-0.72893,0.50602,1.9499,-1.6823,-1.8613,-1.4112,-3.1448,1.944,-0.10415,-0.36637,-0.1845,-0.3017,2.2089,-2.0744,0.052249,0.10758,-0.67706,0.33494,1.2049,-0.99093,-1.3025,-0.35885,-0.9571,1.4608,-0.79941,0.28391,-0.95765,-1.0105,0.30853,-1.2514,0.24273,-2.8328e-15,7.9017e-16
