"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51"
"D15.2",1.711,-2.5646,-1.4049,0.065598,2.2127,0.045808,0.32349,1.0062,1.1519,1.5679,-1.544,1.2712,-0.50445,0.2638,1.0366,-0.016503,0.64483,-0.13387,1.6143,-0.28424,-1.6622,-1.8378,-0.67091,-1.5706,0.7021,-2.1128,0.39733,2.4182,-2.1012,2.0574,1.6245,-0.13753,0.095842,0.027128,1.0774,-1.1774,0.38585,-1.0079,-0.62435,-0.89122,1.9658,0.43952,-0.7099,-0.43285,1.0887,-0.60975,-0.68923,0.65713,0.51181,3.1884e-15,3.09e-17
"D15.3",-10.977,2.7569,0.41667,-0.42751,-1.475,8.2175,2.1511,5.7075,0.68948,1.0782,-1.1555,-0.89394,-0.16995,0.20561,-0.1011,0.36035,-0.54228,0.14773,-0.31604,0.093606,0.39099,-0.64849,-0.084403,0.084104,-0.36258,0.015029,-0.012197,-0.61357,0.45175,0.24994,-0.17353,-0.018509,-0.14659,-0.3292,0.19556,0.1214,-0.018308,0.014047,0.029637,0.0025513,0.17088,0.28455,-0.37025,0.13447,-0.17429,0.11286,0.13512,0.14491,-0.048221,1.0825e-15,1.0116e-14
"D15.4",-4.7502,2.3904,-0.97685,-1.5632,3.1994,-2.0897,3.4705,-1.205,2.6312,1.217,-1.9758,1.7044,-2.6194,-0.051701,-0.60151,1.2953,0.73467,1.0132,-0.018826,0.63339,0.89474,0.76787,0.35521,1.8043,1.4078,-0.29952,-1.6957,-0.064725,1.3557,-0.068079,-0.15604,-0.37956,-1.1826,0.75892,-0.31288,-1.3248,1.8668,-1.4181,0.63313,-0.44671,-0.80284,0.10517,-0.6722,-0.024828,-0.92974,0.2244,0.60987,-0.72597,-0.58354,1.9052e-15,1.3371e-15
"F15.1",-10.471,-0.75644,-1.9444,-0.49076,-0.54226,-4.2117,-4.6781,2.5147,2.5005,4.9286,3.2766,-1.837,0.1998,-0.4098,-0.93651,0.49235,-1.3601,-0.51424,0.53903,0.25488,-0.16535,-0.63523,-0.07691,0.28777,-0.2909,0.493,-0.44939,-0.35295,-0.11055,-0.44098,-0.29529,0.077543,-0.013893,0.15499,-0.059038,-0.10419,0.013363,-0.35946,0.24281,0.065128,-0.29375,-0.30741,-0.19846,-0.21425,0.29238,0.054732,-0.40116,0.43943,0.10242,-2.021e-15,4.6977e-15
"F15.2",-1.2305,2.8743,1.4014,-1.0503,0.77181,-1.565,1.447,-0.60798,2.2368,0.046387,0.78717,-0.83037,0.78614,0.004451,1.4954,0.6719,1.635,0.90079,0.12043,-0.58013,-0.93686,-1.4688,-0.84565,0.5069,-0.83166,-3.0452,0.47988,-1.3873,1.6898,-0.073414,0.53407,-0.92423,-0.26915,1.0172,-0.40947,1.1043,-1.5708,2.1959,0.48913,0.2119,0.75295,2.0704,1.905,0.87522,0.16563,0.23246,-0.75527,-0.23544,-0.57169,2.1337e-16,2.0217e-15
"F15.3",-8.5785,0.14244,-1.9477,-1.4402,-2.0041,-0.20134,-5.2665,-0.24246,3.4892,-6.3121,-2.2435,0.92452,0.0054708,1.7356,0.57615,-1.0626,0.58776,0.32205,-0.75253,0.57992,0.038219,0.074206,0.28027,-0.027335,-0.30596,-0.32765,-0.10392,0.97325,-0.078841,0.32255,0.23772,-0.14594,-0.11501,0.29868,-0.33684,0.31908,0.23654,-0.013249,0.38473,-0.1537,-0.42433,0.035458,-0.13307,-0.17806,-0.1779,-0.23815,0.033769,0.021175,0.21458,7.2338e-16,2.2436e-15
"F15.4",0.2986,-1.5538,-1.4137,-1.1432,-0.38233,-0.25204,0.72101,-0.48139,-0.80751,-0.161,0.22583,1.0995,-0.33435,-0.62589,0.73803,-0.14376,0.23742,-0.62782,-0.91251,2.4119,0.76063,0.28383,0.96789,0.29168,-0.21242,2.7448,0.18594,-1.0413,1.3497,1.3423,-0.14227,1.188,-1.0474,0.98146,-0.083289,0.13229,-2.0523,-1.26,0.48905,0.042236,2.4151,1.3408,0.090054,-1.7612,-0.55543,-0.10218,-2.3124,0.057213,0.93477,-2.2551e-17,-1.4252e-15
"X15.1",4.1757,0.17803,-1.129,-0.61387,0.66913,1.0714,-1.5234,-0.94467,-0.29665,0.22925,-1.1755,1.237,0.88059,2.2126,-1.1153,1.4161,-1.0231,0.42763,-0.40382,-1.2798,-3.0002,-1.5365,0.50362,1.0757,0.50801,1.1921,1.951,-2.5891,1.2071,0.12847,-0.27307,-1.0484,-0.98954,-0.55217,1.1252,-1.0477,1.1484,-0.26627,0.79893,2.0519,0.065988,-0.80289,0.52071,-0.45319,1.7094,-0.33147,0.16129,-0.4176,0.52491,3.5779e-15,-1.0988e-15
"X15.2",1.9237,-2.8168,-0.75186,-0.49831,0.76348,0.58653,0.11923,0.090548,0.36201,0.41374,-1.2751,1.0275,-1.6344,0.10807,-0.11716,-0.19464,-0.28954,-0.92473,2.7486,0.33014,-0.031863,-0.052265,-2.3107,0.03109,1.5604,0.70974,-0.97565,0.22347,0.098495,-0.70133,-0.61364,-1.7267,0.71554,-1.6859,-0.69988,2.0321,-0.26524,0.59803,0.44119,0.59794,-0.68631,-0.64965,1.5577,0.54696,-1.5082,0.67949,-0.91237,0.31482,2.6988,2.0123e-16,3.9985e-16
"X15.3",7.9414,6.905,-1.6535,1.063,0.54307,1.5937,-4.4258,-0.6101,-2.1,2.7056,-1.3658,-2.8597,-3.0198,1.9427,2.2629,-1.0019,0.050584,1.2422,-1.0944,-0.21603,0.83928,0.72299,0.43856,0.47216,1.5312,-0.54395,-0.25418,0.65911,0.35658,0.32646,-0.049389,0.65599,-0.17336,-0.36492,-0.23118,0.43617,0.33251,0.52905,0.24869,-0.16453,0.5592,0.13304,0.4428,0.031475,-0.73171,-0.63362,-0.35378,-0.36857,-0.56957,1.7989e-15,-6.6981e-15
"X15.4",1.8762,1.5485,6.6819,2.7522,3.5125,-3.1721,-0.17103,3.9436,0.98476,0.26764,-2.3641,0.99728,2.698,1.8722,0.89363,-0.69445,-0.72626,-0.32706,0.29194,-1.6254,0.79904,0.6476,0.61104,-0.011592,0.48742,1.8387,1.1291,0.46644,0.29919,1.1028,-0.72242,0.20615,0.47049,0.38668,-0.61478,0.85881,-0.36413,-0.10413,0.11868,-0.074004,-0.2476,0.40305,-0.24336,-0.2075,-0.65846,-0.2991,0.43434,0.17875,-0.17355,1.53e-15,2.1957e-15
