"",F.stat,p.value,-log10(p),FDR
M1001.81T17.56,2.1843,0.033555,1.4742,0.34896
M833.5T16.56,2.184,0.033578,1.4739,0.34896
M247.08T831.65,2.1812,0.033804,1.471,0.34896
M650.48T1403.57,2.178,0.034067,1.4677,0.34896
M1504.04T13.55,2.1692,0.034791,1.4585,0.34971
M1295.41T16.56,2.154,0.036076,1.4428,0.34971
M1038.13T16.55,2.1533,0.036137,1.4421,0.34971
M632.47T1471.09,2.1499,0.036428,1.4386,0.34971
M633.88T17.56,2.148,0.036598,1.4365,0.34971
M936.81T11.55,2.1478,0.036617,1.4363,0.34971
M799.25T813.63,2.1452,0.036844,1.4336,0.34971
M986.8T18.55,2.1442,0.036929,1.4326,0.34971
M745.85T17.56,2.1417,0.037157,1.43,0.34971
M480.89T18.57,2.141,0.037216,1.4293,0.34971
M859.28T831.48,2.134,0.037847,1.422,0.35149
M888.82T18.56,2.132,0.038024,1.4199,0.35149
M827.49T1369.97,2.1133,0.03976,1.4005,0.35868
M1057.79T17.56,2.1125,0.039841,1.3997,0.35868
M1340.74T16.56,2.1041,0.040646,1.391,0.35868
M1227.42T17.55,2.104,0.040656,1.3909,0.35868
M945.81T17.56,2.1035,0.040702,1.3904,0.35868
M1031.79T17.56,2.1027,0.04078,1.3896,0.35868
M876.83T17.56,2.1004,0.04101,1.3871,0.35868
M962.48T16.56,2.078,0.043261,1.3639,0.37548
M1235.75T17.56,2.0705,0.044038,1.3562,0.37933
M1282.03T16.56,2.0545,0.045758,1.3395,0.39118
M664.85T18.57,2.0453,0.046771,1.33,0.39509
M1137.11T17.55,2.0419,0.047153,1.3265,0.39509
M1785.65T13.55,2.0377,0.047624,1.3222,0.39509
M660.87T17.56,2.0321,0.04826,1.3164,0.39509
M1041.47T12.55,2.0314,0.04835,1.3156,0.39509
M1033.8T17.55,2.0254,0.04904,1.3095,0.39509
M817.18T13.55,2.0248,0.049117,1.3088,0.39509
M1103.29T17.47,2.0233,0.049293,1.3072,0.39509
M1701.38T13.51,2.0228,0.049343,1.3068,0.39509
M990.29T17.56,2.018,0.049914,1.3018,0.39687
M1687.68T13.55,2.0132,0.050493,1.2968,0.39868
M1125.78T12.55,2.0099,0.050881,1.2934,0.39897
M800.83T18.56,1.9927,0.053014,1.2756,0.41286
M752.84T18.57,1.9729,0.05557,1.2552,0.42912
M1334.74T12.55,1.9707,0.055858,1.2529,0.42912
M760.35T17.56,1.9634,0.056846,1.2453,0.43378
M1113.77T17.56,1.9519,0.058407,1.2335,0.44272
M1045.29T17.55,1.9462,0.059204,1.2277,0.44404
M1092.12T17.56,1.9451,0.059362,1.2265,0.44404
M896.32T17.56,1.9407,0.059986,1.222,0.44578
M236.94T4.52,1.9344,0.060898,1.2154,0.44962
M1446.21T13.55,1.9303,0.061481,1.2113,0.451
M1434.47T13.55,1.9253,0.062217,1.2061,0.45347
M863.83T12.55,1.9133,0.06401,1.1938,0.46306
M1206.44T13.04,1.9111,0.064348,1.1915,0.46306
M603.37T16.56,1.9041,0.065427,1.1842,0.46707
M881.82T17.56,1.8997,0.066116,1.1797,0.46707
M1018.79T17.56,1.8995,0.066137,1.1796,0.46707
M360.93T17.56,1.8966,0.066598,1.1765,0.4672
M575.48T1420.61,1.8942,0.066977,1.1741,0.4672
M1048.12T17.56,1.8873,0.068079,1.167,0.4686
M1440.47T13.55,1.8856,0.068356,1.1652,0.4686
M964.8T17.56,1.8843,0.068571,1.1639,0.4686
M1094.77T17.56,1.8827,0.068827,1.1622,0.4686
