"","C9.1","C9.2","C9.3","C9.4","C15.1","C15.2","C15.3","C15.4","C12.3","C12.4","D9.1","D9.2","D9.3","D9.4","D12.1","D12.2","D12.3","D12.4","D15.2","F9.1","F9.2","F9.3","F12.1","F12.2","F12.4","F15.2","F15.4","QC.1","QC.2","QC.3","X9.1","X9.2","X9.3","X9.4","X15.1","X15.2","X15.3","X15.4","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Drought","Drought","Drought","Drought","Drought","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas"
"M697.459T1191.472","-0.56147085","-0.93768779","-0.81612375","-0.37292789"," 0.12562392"," 0.51455117"," 0.46002401","-0.25589475","-0.03499987"," 0.24986414","-0.02552435","-0.64174814"," 1.33788403","-0.62853419"," 0.63354958"," 0.66680975"," 0.21815970"," 0.14097918"," 0.07648264","-0.96941831","-0.52816168","-1.15580449"," 0.06583407","-0.11499197"," 0.14191176","-0.50034405","-0.66430961"," 0.16003369","-0.09584274"," 0.12021445","-0.07607536","-0.40208486","-0.37961271"," 0.07785949"," 1.17630895"," 1.40103361"," 0.43308597"," 0.19357674"," 0.46881083"," 0.10520430"," 0.39375539"
"M695.447T1189.727","-0.448219028","-0.367624071","-0.190807371","-0.243903870","-0.054863287"," 0.362972277"," 0.212711482","-0.082436063"," 0.163286730"," 0.146149438","-0.155093768","-0.358572502"," 0.120263292","-0.343589898"," 0.422968491"," 0.607766158"," 0.018996690","-0.032818510","-0.169053569","-0.263189124","-0.174340402","-0.417892980"," 0.014627394","-0.138371545","-0.035600411","-0.739355608","-0.369247081"," 0.008797683"," 0.127276956"," 0.005122343","-0.257943657","-0.304738450","-0.389417962","-0.019736548"," 0.979420377"," 1.440599481"," 0.250760551","-0.262835169"," 0.339735974"," 0.361778593"," 0.236416965"
"M917.581T1308.231","-0.44272224","-0.25013523"," 0.26699210","-0.25029883"," 0.54265841"," 0.20075354","-0.02023893"," 0.27659213","-0.32191444"," 0.04265093","-0.11101892","-0.17587679"," 0.32740477","-0.49970436","-0.09073355"," 0.55097810"," 0.58543434","-0.05344844","-0.13491955","-0.29669707","-0.91445795","-1.29086262","-0.22093579"," 0.06523783","-0.21094616","-0.19603044","-0.44459743"," 0.12129171"," 0.26231699","-0.16094673","-0.15427337"," 0.24913254","-0.58849260","-0.06557877"," 1.14478971"," 0.70103071"," 0.30060692"," 0.18042117"," 0.32334269"," 0.71683402"," 0.03636161"
"M810.529T1306.211"," 0.10479936","-0.58145847"," 0.15837562"," 0.19826194","-0.16288421","-0.26272564","-0.02733478","-0.07900975","-0.04906760"," 0.11334786"," 0.07998060"," 0.02414612","-0.52560574"," 0.07804974"," 0.19107383"," 0.34806817"," 0.39064001"," 0.26452149"," 0.10547503","-0.04442002"," 0.04515457","-0.65898687","-0.06699720"," 0.04399331"," 0.29035883","-0.87961799","-0.47494730"," 0.20332918"," 0.20515362","-0.01747628"," 0.55788538"," 0.15548455"," 0.09562688"," 0.19899947","-0.09099511"," 0.05223173"," 0.06550888","-1.05001588"," 0.19201884"," 0.35503649"," 0.45402137"
"M385.182T1540.093"," 0.411162471"," 0.845174925"," 0.046234332"," 0.470103686","-0.360481995","-0.293050810","-0.129296637","-0.415881308"," 0.090715067"," 0.311942290"," 0.112222457"," 0.002257816"," 0.054978660","-0.404489092","-0.099452252"," 0.209149325","-0.402346456","-0.294769230","-0.202322724","-0.181574732"," 0.493634459","-0.201315462"," 0.412564890"," 0.217109754"," 0.064085391","-0.387115107","-0.465713762","-0.209981053"," 0.003371151","-0.064645973"," 0.281919424"," 0.123256415"," 1.155868467"," 0.035765153","-0.282674851","-0.461608263","-0.219981840","-0.667803590"," 0.356642294","-0.193093504"," 0.239440215"
"M441.228T1306.216"," 2.046516e-01"," 2.198139e-01"," 5.001079e-01"," 4.198728e-01"," 6.391792e-02"," 9.777697e-02"," 1.476813e-01"," 1.173521e-01"," 1.939370e-01"," 4.485865e-01","-1.898590e-02"," 2.821392e-01"," 1.544000e-02","-1.777164e-01","-2.036138e-01"," 1.565859e-02"," 4.023086e-02","-1.068195e-01","-8.343416e-01"," 9.650487e-02"," 3.458327e-01","-4.513025e-01"," 4.964266e-02"," 5.749276e-05"," 2.692155e-01","-7.286231e-01","-4.174500e-01","-1.017439e-01"," 2.342517e-01"," 1.303261e-01"," 3.269162e-01"," 1.881968e-01"," 1.837048e-01"," 1.612059e-02","-5.428880e-01","-2.589768e-01","-8.132494e-01","-4.303671e-01"," 1.696505e-02"," 2.611477e-01"," 2.000291e-01"
"M711.445T1221.644","-0.39740316","-0.44562049","-0.47159704","-0.05573742"," 0.18415153"," 0.24251752"," 0.32004742","-0.19477029","-0.07285467"," 0.22450241"," 0.04282379","-0.46373216"," 0.25135400","-0.45537166"," 0.58511558"," 0.62408055"," 0.15131067","-0.04480467"," 0.46907362","-0.67145837","-0.41822160","-0.65477784"," 0.44256885","-0.12581668","-0.11767427","-0.81790629","-0.47507086","-0.11780621"," 0.03714164"," 0.10249403","-0.27214214","-0.29477306","-0.50533294","-0.09769311"," 0.57729647"," 1.00342590"," 0.45056458","-0.18051313"," 0.87061350"," 0.47815381"," 0.29384219"
"M557.468T1423.166","-0.41092393"," 0.65706611","-0.12334018"," 0.09452658","-0.23917616","-0.18110741","-0.04406243"," 0.09366062","-0.34772329"," 0.21591187","-0.36190784","-0.69466944","-0.51797409","-0.38741266"," 0.35817922"," 0.85509267"," 0.48159993"," 0.14917116"," 0.02211153","-0.29805209","-0.69095047","-1.31472452"," 0.32367692"," 0.39583431"," 0.15064494","-0.99469508","-0.16590286","-0.03263574"," 0.34535594"," 0.09852107"," 0.42585860"," 0.17766070","-0.08786910"," 0.40772405"," 0.13818365","-0.03682062"," 0.36229298"," 0.12017249"," 0.63266380"," 0.33294481"," 0.09109399"
"M679.436T1338.726","-0.453758505","-0.575111768","-0.364772682","-0.208864878"," 0.017734018"," 0.026547193"," 0.189221375","-0.061336477","-0.159203393"," 0.220635242","-0.190253103","-0.419483562","-0.180108118","-0.643882874"," 0.608425009"," 0.642191670"," 0.185850959"," 0.077019951"," 0.550627158","-0.491415954","-0.865787900","-0.796296543"," 0.672870030"," 0.315762949"," 0.347660323","-0.906306806","-0.274944310"," 0.019509170"," 0.285333813"," 0.065168658"," 0.043623130","-0.272864191","-0.426652050","-0.057830614"," 0.440402453"," 0.823637475"," 0.251329154"," 0.000950747"," 0.977479211"," 0.286027735"," 0.300866306"
"M589.459T1372.544","-1.17409272"," 0.22728375","-0.49030797","-0.01985504","-0.22562550"," 0.25660174"," 0.36724330","-0.02254439","-0.01870097"," 0.15650515","-0.16813825","-0.60397659","-0.11342208","-0.92650804"," 0.69432940"," 0.73692379"," 0.30185534"," 0.25329684"," 0.33340453","-0.63918018","-0.82906222","-1.59599401"," 0.51234597"," 0.50633561"," 0.30546008","-1.35900637"," 0.07405385"," 0.11795048"," 0.24324792","-0.04136970"," 0.15349427","-0.18736225","-0.76620145"," 0.43833194"," 0.83936502"," 0.68228010"," 0.26922458"," 0.03708382"," 0.81755014"," 0.47195007"," 0.38523005"
"M681.469T1408.485","-0.76813771","-0.78090578","-0.73242581","-0.26491595","-0.10155275","-0.03038234"," 0.27794922","-0.22294332","-0.15838992"," 0.15913942","-0.09107997","-0.49561966","-0.09934362","-0.66171053"," 0.68296156"," 0.59148481"," 0.12525957"," 0.20241322"," 0.86982400","-0.58158253","-0.79168973","-1.05123361"," 0.68883743"," 0.42880813"," 0.72840347","-0.77171962","-0.25669208"," 0.14492225"," 0.28149202"," 0.15416568"," 0.04869763","-0.47815843","-0.48555173"," 0.03332216"," 0.68954387"," 0.85534086"," 0.27794473"," 0.06157859"," 0.88685368"," 0.30753000"," 0.32756277"
"M695.451T1225.817","-0.53987505","-0.46422882","-0.37047228","-0.29551285"," 0.22187250"," 0.20899442"," 0.16985488","-0.19070967"," 0.04579332"," 0.09728567","-0.12073367","-0.40785031"," 0.10816041","-0.55167740"," 0.54817232"," 0.59753964"," 0.30118465"," 0.03242600"," 0.23365321","-0.41138565","-0.32037425","-0.56029720"," 0.47719142"," 0.06142476"," 0.10367674","-0.77018546","-0.41540684"," 0.02156705"," 0.19700558"," 0.03480045","-0.23659502","-0.36331463","-0.49758773","-0.11146120"," 0.67020521"," 1.07551092"," 0.26440605","-0.26115453"," 0.82625455"," 0.29323428"," 0.29860853"
"M285.134T1052.907"," 0.31194558"," 0.23270281"," 0.55235692"," 0.18749274"," 0.24262775"," 0.36463473"," 0.60213807"," 0.17154321"," 0.29428103"," 0.45917523"," 0.12537495"," 0.11168718","-1.59555574","-0.01922323","-0.01095443"," 0.52515156"," 0.34784896","-0.02058967","-0.67090141","-0.13024063"," 0.46267349"," 0.33558714","-0.74603910","-0.32480263","-0.05350394"," 0.10020002","-0.29274170"," 0.02009732"," 0.18928483","-0.01882164"," 0.27640892"," 0.39854805"," 0.20410963"," 0.02070703","-1.99228675","-1.08952779","-0.79215571","-0.05372632"," 0.28609728"," 0.42833500"," 0.56006127"
"M681.469T1389.183","-0.777658592","-0.784789983","-0.723368447","-0.218808440","-0.128966012","-0.034407156"," 0.293988452","-0.196741333","-0.133979304"," 0.168767362","-0.091287878","-0.561437321","-0.091652937","-0.648569247"," 0.694114462"," 0.605868798"," 0.136599241"," 0.204333163"," 0.880649807","-0.692037978","-0.812074065","-1.061687842"," 0.709186698"," 0.455182907"," 0.624023412","-0.780930512","-0.143774895"," 0.146294425"," 0.285522807"," 0.141720438"," 0.055559614","-0.459263376","-0.472160619"," 0.006930406"," 0.702953879"," 0.859815313"," 0.224107271"," 0.075683966"," 0.896604339"," 0.320552253"," 0.325136924"
"M680.474T1439.81","-0.389149870","-0.495299846","-0.222648750","-0.420244629","-0.007538008"," 0.039137056"," 0.059490390","-0.167141523","-0.179780689"," 0.091504256","-0.021427454","-0.240412470","-0.116926161","-0.598982436"," 0.414710815"," 0.412615885"," 0.228533022"," 0.065937213"," 1.139093535","-0.522432239","-0.445824341","-0.662483698"," 0.524717288"," 0.298165193"," 1.316208485","-0.685288094","-0.393302937"," 0.032068456"," 0.181763349"," 0.126670227","-0.204102512","-0.197936756","-0.388091923","-0.168205634"," 0.198088823"," 0.426791384"," 0.116859946","-0.204427998"," 0.750230874"," 0.289141309"," 0.019920463"
"M574.467T1456.399"," 0.07207276","-0.89643483","-0.29021719","-0.26366676","-0.23797306","-0.13975101"," 0.22063483","-0.12930973","-0.09766873"," 0.14964216","-0.08888072","-0.42233075","-0.13708843","-0.34192826"," 0.62584026"," 0.41409866"," 0.36766842"," 0.09969800"," 0.44553794","-0.88817935","-0.51233543","-1.46802066"," 0.75353344"," 0.57393046"," 0.34173620","-0.99048812","-0.16538630"," 0.02837434"," 0.33504830"," 0.17917667"," 0.12666585","-0.30265213","-0.03361107"," 0.45290461"," 0.52796313"," 0.44244589"," 0.23849462","-0.10764271"," 0.64751244"," 0.13151153"," 0.33907473"
"M565.421T1295.888","-0.43715312","-0.49458559","-0.51489227","-0.21549967","-0.26522259","-0.20941674","-0.02267634","-0.39367146","-0.10898726"," 0.31667997","-0.00208562","-0.37597254"," 0.30144477","-0.70080833"," 0.33933950"," 0.47863280"," 0.11833813"," 0.22417600"," 1.16722818","-0.27343508","-0.76366389","-0.91166440"," 0.53430034"," 0.07574746"," 0.67437412","-0.93858133","-0.39446238","-0.07333089"," 0.04366844","-0.05425482"," 0.09579823","-0.28038667","-0.10132793"," 0.08029476"," 0.59899583"," 0.82308633"," 0.23560838"," 0.30253300"," 0.66096623"," 0.11811311"," 0.34275335"
"M681.474T1424.253","-0.752779385","-0.694039155","-0.653728466","-0.187812473","-0.091797416","-0.051785164"," 0.313140783","-0.205097069","-0.180951981"," 0.149726880","-0.127601391","-0.575953148","-0.507295810","-0.687046430"," 0.708488809"," 0.626201014"," 0.142024622"," 0.224795441"," 0.960973364","-0.623036253","-0.701078948","-0.892316539"," 0.733004324"," 0.505244912"," 0.809423395","-0.720164125","-0.225108677"," 0.155846064"," 0.323125137"," 0.164493975"," 0.121324736","-0.442480883","-0.472182125","-0.005711895"," 0.401425957"," 0.473789297"," 0.281700978"," 0.106088987"," 0.934565177"," 0.315561830"," 0.347021651"
"M569.292T994.771"," 0.062590901","-0.274294221"," 0.562941112"," 0.194893964"," 0.059769237"," 0.354607570"," 0.494249564","-0.053754574"," 0.257999575"," 0.338198758"," 0.059663357","-0.010896731","-1.551834964"," 0.130277942"," 0.037487165"," 0.301026982"," 0.374225178"," 0.008871398","-0.667114235","-0.191555764"," 0.636570418"," 0.376345947","-0.766290601","-0.338556334","-0.170210421","-0.270827032","-0.235015811"," 0.100291819"," 0.220253674"," 0.119257186"," 0.312928304"," 0.355732121"," 0.328283577"," 0.182654624","-0.817946913","-0.719122539","-0.851879332","-0.366417882"," 0.246312280"," 0.499415677"," 0.670869023"
"M989.67T1341.992","-0.461995369","-0.447200704"," 0.408298478"," 0.161882825"," 0.446319389"," 0.388804649"," 0.238887544"," 0.930950948","-0.242306104"," 0.186592244","-0.105320556"," 0.007041919","-0.244949741","-0.445968285"," 0.617265302"," 0.439689322","-0.332066924","-0.197662663","-0.630388115","-0.607375416","-0.938202060","-0.657281395","-0.365474897","-0.574447078","-0.137948080"," 0.282326791"," 0.021564762","-0.324684215","-0.107413156"," 0.674364215","-0.177381363"," 0.670610573"," 0.310608891","-0.617427205"," 0.395154656"," 0.538676738"," 0.038000900","-0.633920068"," 0.207810131"," 0.881969485"," 0.402593632"
"M379.265T1245.233"," 0.1505663899","-0.0289011139","-0.1432585841"," 0.0296811332","-0.2540419759","-0.1578885170","-0.0582599984","-0.3390804507"," 0.0195897795"," 0.4459228346","-0.0701434571"," 0.1369843217"," 0.3695334724","-0.1551114452","-0.1395224804"," 0.0768999127","-0.1480320918","-0.0666746652","-0.3160353321","-0.0844006795"," 0.0058215944","-0.0068928058","-0.3022230443","-0.4785658332"," 0.0250337152","-0.2052334432","-0.2857192474"," 0.0288784789","-0.0971747762","-0.0383675708","-0.0148744506","-0.1039623442"," 0.3207036935","-0.0444631151"," 0.9665797240"," 1.2334119276"," 0.3668693367","-0.5144850420","-0.0656838148"," 0.0009108682","-0.0583909035"
"M679.452T1355.733","-0.45762945","-0.61383687","-0.40176185","-0.12070998","-0.01609830","-0.03822398"," 0.24673220","-0.22158895","-0.15192118"," 0.29485629","-0.20156205","-0.42764661","-0.21557323","-0.68317555"," 0.60896362"," 0.57408151"," 0.26398095"," 0.07889734"," 0.52119284","-0.50167283","-0.55901441","-0.80921660"," 0.67142787"," 0.32482620"," 0.33867964","-0.89963028","-0.29185722"," 0.01730344"," 0.33561825"," 0.05630994"," 0.01000448","-0.30909483","-0.46415191","-0.05768209"," 0.41005845"," 0.85353259"," 0.26658298","-0.03302008"," 0.96275074"," 0.35298859"," 0.28628034"
"M713.46T1208.68","-0.29083377","-1.00569070","-1.49356192","-0.38207040"," 0.08137975"," 0.64954177"," 0.63586275","-0.11999020","-0.04711256"," 0.09760028"," 0.31200876","-0.79233113"," 0.22323829","-0.76134951"," 0.83671891"," 0.94198283"," 0.02370562"," 0.26204699"," 0.38081102","-0.63697825","-0.86231642","-0.26289887"," 0.29850209","-0.44328814"," 0.17142515","-0.62336503","-0.48027053"," 0.26236136"," 0.22363784"," 0.22188912","-0.22223776","-0.82891735","-0.35047037"," 0.12201141"," 0.92374828"," 1.17183570"," 0.35937635"," 0.20143857"," 0.50841457"," 0.17190861"," 0.52223689"
"M711.444T1322.388","-0.34471152","-0.28898889","-0.31912081","-0.07345106"," 0.17048669"," 0.13805439"," 0.28249302","-0.25919515","-0.14538496"," 0.14814300","-0.05604706","-0.32600308"," 0.08219752","-0.49760843"," 0.46993243"," 0.59459002"," 0.06497726","-0.10738721"," 0.68564195","-0.40318404","-0.44968057","-0.64032385"," 0.40986691"," 0.06824805"," 0.03895532","-0.65786593","-0.42055500","-0.07199979"," 0.02161512"," 0.05227557","-0.14009509","-0.29390241","-0.39710229","-0.15940711"," 0.38695799"," 0.95633241"," 0.44136010","-0.29120406"," 0.72666877"," 0.35469537"," 0.24972642"
"M637.414T1384.421","-0.366948252","-0.581076215","-0.453846478","-0.067911847"," 0.032822038"," 0.072488770"," 0.329288611","-0.165621109","-0.014257186"," 0.071814424","-0.079294253","-0.212969217"," 0.007434376","-0.457852669"," 0.437942076"," 0.396916929"," 0.085582952"," 0.204819588"," 0.368100510","-0.350690964","-0.205208324","-0.813436245"," 0.438194796"," 0.252239903"," 0.347722652","-0.670817242","-0.184599999","-0.089024111"," 0.137693226","-0.062968753","-0.184060005","-0.319833987","-0.164035016"," 0.177445537"," 0.015592422"," 0.726485691"," 0.389820458","-0.208964022"," 0.644297868"," 0.235051321"," 0.281661744"
"M637.411T1406.122","-0.38410827","-0.47916760","-0.42267027","-0.09574059"," 0.08463538"," 0.02690997"," 0.31003353","-0.15298413","-0.03725534"," 0.20037309","-0.27562112","-0.20824211","-0.16069892","-0.32705989"," 0.44051435"," 0.39358323"," 0.05396333"," 0.20812438"," 0.41967591","-0.39427204","-0.26420176","-0.85772661"," 0.44788050"," 0.29339389"," 0.40739958","-0.68717249","-0.21034963","-0.11828735"," 0.25281428","-0.02048719","-0.11663079","-0.24937619","-0.16345688"," 0.08198784","-0.01011873"," 0.64019031"," 0.42715457","-0.24300633"," 0.64997077"," 0.29887077"," 0.24115857"
"M729.452T1109.944","-0.337645460","-0.675775427","-0.558362482","-0.213624896"," 0.336957448"," 0.438021888"," 0.618957838","-0.386325673"," 0.444337692"," 0.112347891","-0.028271802","-0.276252259"," 0.620828304","-0.852055323"," 0.708042201"," 0.651382123"," 0.100095383","-0.198004262"," 0.289567774","-0.699726562","-0.505278693","-0.946462280"," 0.067732806","-0.299065903"," 0.079053984","-0.474185638","-0.641643252"," 0.164215915"," 0.153617218"," 0.003618737","-0.319074554","-0.410557661","-0.464863016","-0.091262181"," 0.972564601"," 1.292467800"," 0.342690619","-0.022001590"," 0.599316978"," 0.105588648"," 0.299033068"
"M571.365T1456.373","-0.207727032","-0.375540827","-0.360948048","-0.544310662"," 0.273910102","-0.034024397"," 0.035636588","-0.288507610"," 0.118601768","-0.108886030","-0.052663258","-0.557182592"," 0.065335651","-0.062990190"," 0.220487234"," 0.326936183"," 0.241346605"," 0.003677522"," 0.287011053","-0.169972033","-0.498534531","-0.544962693"," 0.385126509"," 0.187545570","-0.008464313","-0.487270819","-0.372956366"," 0.053910620"," 0.011399960","-0.001757544","-0.097094102","-0.250781801","-0.214918453"," 0.189313498"," 0.388034541"," 0.694596308"," 1.240560947","-0.147085191"," 0.306600805"," 0.125276935"," 0.231270094"
"M865.579T1358.969","-0.98876874","-1.84487756","-1.83774194","-0.53934667"," 0.21189659"," 0.23678227"," 0.51171326"," 0.28728398"," 0.56009300"," 0.19457746"," 0.49403986","-0.44926562"," 0.25985613"," 0.16107542"," 0.35508742","-0.16024800"," 1.15449607"," 0.20617145"," 0.45993164","-0.87977750","-0.13652483","-0.81611006","-0.33744812","-0.14215584"," 0.38033285"," 1.30015121","-0.34043557"," 0.23306087","-0.14970231","-0.60110200","-1.86233178","-0.79467704"," 0.49816428"," 0.09154814"," 2.15168185"," 0.63678333"," 0.58519431"," 0.23875766"," 0.22651841"," 0.26819828"," 0.17711785"
"M867.584T1358.969"," 0.078899967","-0.030079025","-1.013358695","-1.254795947"," 0.475783594"," 0.270964365"," 0.244442905"," 0.098898058"," 0.286217333"," 0.341358946"," 0.248504995","-0.299878458"," 0.426395900"," 0.121074676"," 0.759960657"," 0.820165202"," 0.560977911"," 0.261243214"," 0.014202902","-1.195167305","-0.087419007","-0.949127864","-0.929919903"," 0.031279478","-2.201357753"," 0.501463961","-0.288892578"," 0.253109563","-0.006415058"," 0.076059493","-0.883973774"," 0.203068048","-0.407262208"," 0.499488325"," 1.466604387"," 0.811391522"," 0.608978864","-0.530451204"," 0.301310868"," 0.207629636"," 0.108624008"
"M682.472T1373.006","-0.865971200","-0.754248142","-0.612409770","-0.279854596","-0.014866849","-0.062306401"," 0.347773874","-0.268854547","-0.146112507"," 0.272496016","-0.171772556","-0.601402567"," 0.178470372","-0.564121060"," 0.629411239"," 0.652232222"," 0.002813378"," 0.176284252"," 0.829120450","-0.782719920","-0.780924595","-0.936493810"," 0.678099314"," 0.469100796"," 0.500649470","-0.792933434","-0.312580415"," 0.225635114"," 0.243515384"," 0.139904693"," 0.120175527","-0.568234664","-0.522523565","-0.062990747"," 0.783997875"," 0.961252182"," 0.271849463"," 0.179040525"," 0.815417227"," 0.224557860"," 0.399524109"
"M589.459T1264.044","-0.78880025","-0.73760838","-0.71325106","-0.23571263","-0.03626151"," 0.37731201"," 0.01630463","-0.15971546"," 0.34785929"," 0.35393493","-0.07860757","-0.72341846"," 0.70252194","-0.34689751"," 0.49547931"," 0.53258282"," 0.31719045"," 0.13455166"," 0.26734845","-1.59940819","-0.54819285","-0.94255681"," 0.26777565"," 0.37236899","-0.04394849","-0.53177193","-0.48728305"," 0.05604251","-0.12246029"," 0.16437584","-0.30408137","-0.46365340","-0.32131057"," 0.54413011"," 1.38396473"," 1.36011983"," 0.38516326"," 0.04425803"," 0.61652182"," 0.20907361"," 0.23605991"
"M633.478T1401.37","-0.525274584","-0.397007127","-0.274383805"," 0.025549873","-0.372032244","-0.112489742"," 0.038847905","-0.150545728","-0.113548072"," 0.400938387","-0.209696869","-0.301061583","-0.164516688","-0.478645701"," 0.219709414"," 0.531208517"," 0.194316689","-0.022039818"," 0.412684162","-0.335714984","-0.438623038","-1.358375726"," 0.246766592"," 0.398696218"," 0.657661556","-0.824979336","-0.228498077"," 0.011564242"," 0.250288741","-0.078010510"," 0.339434285","-0.048239932"," 0.002281171"," 0.509842491"," 0.558845047"," 0.464596642"," 0.392927886","-0.047875926"," 0.393535001"," 0.187522199"," 0.244342471"
"M646.455T1423.013","-0.43463009","-0.66617125","-0.31405798","-0.20301030","-0.32757283","-0.35038332","-0.09333399","-0.38965675","-0.04149994"," 0.17868881"," 0.09285227","-0.47781144","-0.45182134","-0.41430263"," 0.53639203"," 0.44043395"," 0.25592076","-0.00651587"," 0.49092374","-0.31640688","-0.53897129","-0.93694226"," 0.87587602"," 0.50121605"," 0.32031449","-0.73476585","-0.06594804"," 0.06784960","-0.03563376"," 0.27734529"," 0.11172592"," 0.03429702","-0.12816097"," 0.47314594"," 0.05994851"," 0.06880444"," 0.54950160","-0.18541614"," 0.93538628"," 0.62449475"," 0.21789546"
"M881.484T1273.289"," 0.15322442"," 0.15866267"," 0.45219873"," 0.68877917","-0.20543419","-0.20489179"," 0.01044006","-0.07625152","-0.02049506"," 0.38923231"," 0.04920904"," 0.05767593"," 0.24031885","-0.01466532","-0.13568611","-0.04084856"," 0.02217548","-0.03269452","-0.65303118"," 0.14422801"," 0.49277151","-0.17949303"," 0.32263015"," 0.05006258"," 0.39298733","-0.95098223","-0.44997429","-0.05346312"," 0.24295368"," 0.02095544"," 0.79227039"," 0.37729163","-0.11714659"," 0.03401422","-1.59686630","-0.12896782","-0.67977700","-0.22466470"," 0.12745528"," 0.15562695"," 0.39016949"
"M637.412T1422.711","-0.409292191","-0.537631673","-0.416331996","-0.094767094"," 0.058706550"," 0.036497396"," 0.316487763","-0.131556040","-0.048169423"," 0.225023403","-0.133638809","-0.210992903","-0.228017787","-0.322967799"," 0.426980864"," 0.403751795"," 0.026654639"," 0.243151883"," 0.357867393","-0.345238866","-0.289735344","-0.858572987"," 0.467736491"," 0.308823146"," 0.428153441","-0.676804970","-0.198031666","-0.068375145"," 0.280588636"," 0.006336462","-0.115872753","-0.342950654","-0.166238354"," 0.154880390","-0.056999208"," 0.620799806"," 0.391229081","-0.245390649"," 0.617943601"," 0.265063897"," 0.260899676"
"M591.474T1330.445","-0.66874494","-0.64777302","-0.56163193","-0.22247579","-0.31806047","-0.04226627"," 0.23493594","-0.22405723","-0.06566290"," 0.35473403","-0.08766867","-0.86734254"," 0.26518072","-0.61301203"," 0.43421052"," 0.46190678"," 0.25084635"," 0.22677219"," 0.44610393","-0.30361901","-0.42661918","-1.42553810"," 0.49520161"," 0.49529796"," 0.46212031","-0.93177499","-0.25935213"," 0.01869295"," 0.18781659"," 0.04843566"," 0.21265630","-0.40297786","-0.06376270"," 0.38317272"," 0.99441752"," 0.71440642"," 0.33680691"," 0.03809696"," 0.62212681"," 0.14494744"," 0.30345319"
"M645.45T1333.909","-0.363616394","-0.583832319","-0.246209756","-0.043850311","-0.036060411"," 0.074062848"," 0.159758328","-0.164898680"," 0.071411877"," 0.403456060","-0.048276818","-0.214187138"," 0.382000181","-0.553131110"," 0.284153151"," 0.463751540"," 0.376800173","-0.001333185","-0.087592554","-0.273574572","-0.224503822","-0.578571987"," 0.494775518"," 0.122789108"," 0.215999280","-0.954665267","-0.290390842","-0.087105993","-0.050485529"," 0.067125406"," 0.020393099","-0.361370110","-0.277167985"," 0.244838416"," 0.134787557"," 0.456798063"," 0.676638685","-0.237619490"," 0.539132909"," 0.264010131"," 0.225761944"
"M826.523T1305.342"," 0.01666712"," 0.01357777"," 0.35553485"," 0.46037451","-0.04368158","-0.36521805","-0.24297421"," 0.15798337","-0.24492628"," 0.41914093","-0.12291664","-0.17207230"," 0.45395618","-0.22708880"," 0.09410125"," 0.19611483"," 0.48161157"," 0.14144247","-0.24486962","-0.39232680"," 0.08380696","-0.71325171"," 0.31652419"," 0.27427741"," 0.23851258","-1.05748887","-0.35971727","-0.02502197"," 0.24506424"," 0.04459444"," 0.69672549"," 0.26558239","-0.01869247","-0.07123670","-0.40034632","-0.15924323","-0.48553691","-0.48138677"," 0.22705926"," 0.41028253"," 0.23506217"
"M593.485T1401.37","-0.652653560","-0.546768462","-0.365745498","-0.057983510","-0.553606795","-0.171603237"," 0.075501214","-0.232036762","-0.099033195"," 0.127742760","-0.174355133","-0.380891167","-0.020034188","-0.325669820"," 0.154978725"," 0.292850459"," 0.326337538"," 0.145333516"," 0.614411937","-0.076929997","-0.407974019","-1.184144428"," 0.354694752"," 0.403659053"," 0.547386246","-0.801658279","-0.254362801"," 0.106558529"," 0.202983245"," 0.060034587"," 0.214206358","-0.220123595"," 0.155732135"," 0.336568568"," 0.744292757"," 0.484639979"," 0.397607789"," 0.048372259"," 0.392555382","-0.006841683"," 0.345968342"
"M591.474T1402.346","-0.610748637","-0.605796047","-0.490797431","-0.205617448","-0.350112353","-0.098180606"," 0.250535311","-0.194738170","-0.148836940"," 0.383801595","-0.106844026","-0.861106051"," 0.171987367","-0.571615287"," 0.408103433"," 0.488704842"," 0.246846657"," 0.228694893"," 0.461013621","-0.331454353","-0.435741610","-1.437454424"," 0.510347439"," 0.479697903"," 0.500442492","-0.911925720","-0.260408206","-0.002508682"," 0.195385174"," 0.037010451"," 0.206677195","-0.359947700","-0.010121467"," 0.374455811"," 0.946328968"," 0.657862495"," 0.312466829"," 0.055266481"," 0.631472150"," 0.153002971"," 0.293851079"
