"","C9.1","C9.2","C9.3","C9.4","C15.1","C15.2","C15.3","C15.4","C12.3","C12.4","D9.1","D9.2","D9.3","D9.4","D12.1","D12.2","D12.3","D12.4","D15.2","F9.1","F9.2","F9.3","F12.1","F12.2","F12.4","F15.2","F15.4","QC.1","QC.2","QC.3","X9.1","X9.2","X9.3","X9.4","X15.1","X15.2","X15.3","X15.4","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Drought","Drought","Drought","Drought","Drought","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas"
"M423.145T941.689","-0.109929428","-1.217595961","-0.200113470","-0.755204512","-0.003481008","-0.735544427","-0.646707704"," 0.048334283","-0.663391218","-0.544931668"," 0.062258071","-0.419565465","-0.006799673"," 0.712417301"," 1.145839424","-0.306380365"," 0.439998706"," 1.050000196","-0.036839110"," 0.783889361"," 0.828784709"," 0.404166048","-0.428704475"," 0.847468747","-0.169608482","-0.648318373"," 0.526850328"," 0.816008352","-0.027401556"," 0.823764943","-0.746932128","-0.424050877"," 0.113897280"," 0.057611713"," 1.014990228","-0.261726958"," 0.768854831","-1.138655488","-0.747828215"," 0.214083117","-0.419507076"
"M437.323T1509.101","-0.135791948"," 0.072106510"," 0.063514530","-0.228937443"," 0.269039134","-0.029407499"," 0.374304748"," 0.202809287"," 0.160649318"," 0.111189008","-0.083721809","-0.101865752","-0.167924463"," 0.182757440","-0.010875971"," 0.009660630"," 0.137768758","-0.180091078"," 0.030863895","-0.104248462"," 0.080776653"," 0.254682594"," 0.082540555"," 0.159180051"," 0.211529671","-1.415805053","-0.071712374"," 0.008645016","-0.074359909","-0.072711976"," 0.013615997","-0.126033415"," 0.090321855"," 0.203072744","-0.278133870","-0.133840629"," 0.255289991","-0.380271855"," 0.419468956"," 0.010575855"," 0.191370310"
"M439.317T1473.604","-0.244679434","-0.472036274","-0.178198037"," 0.186406065","-0.394515244","-0.332081560"," 0.038762095","-0.288032492","-0.156183503"," 0.260178322","-0.232555117","-0.002054551","-0.464943052","-0.429249860"," 0.319845878"," 0.403002552","-0.500452951"," 0.321051011"," 0.455080253","-0.136039847","-0.237232073","-0.284312964"," 0.512446565"," 0.506910856"," 0.551432343","-0.285670436","-0.195660235"," 0.167335173"," 0.018529090"," 0.373780066"," 0.453526342","-0.184780137","-0.153815315"," 0.203211343","-0.505912899"," 0.218420531"," 0.343815829","-0.396937144"," 0.533018526"," 0.115974617"," 0.092615671"
"M1022.363T909.479","-0.39832171","-0.69745729"," 0.21245746"," 0.09721825","-0.53019776","-0.16432446","-0.04616438","-0.17232559","-0.45513109"," 0.34448094","-0.07037541","-0.05661156","-0.45690885"," 0.14473160"," 0.46373138"," 0.34897880"," 0.28781888"," 0.39417272"," 0.33246232","-0.13896190"," 0.43075270"," 0.15345018"," 0.08348343"," 0.31789855"," 0.05929148","-0.88117613"," 0.10192499","-0.06868491"," 0.08035852","-0.08777300"," 0.37422854"," 0.19680392","-0.21768845"," 0.03233050","-0.25282689","-0.41290172"," 0.73856633","-0.85740496"," 0.22529631"," 0.33601066"," 0.20878763"
"M847.317T919.58","-0.45766407","-0.87817656","-0.13247451","-0.08585194","-0.40013739","-0.40242091","-0.46707242","-0.77355623","-0.75417400"," 0.20933125","-0.18608373","-0.26259331","-0.16301047"," 0.22078955"," 0.73018328"," 0.15800947"," 0.07343356"," 0.66089388"," 0.76281485"," 0.11123394"," 0.57626212"," 0.08194310"," 0.15225467"," 0.62020423"," 0.24214106","-1.82148980"," 0.13244959"," 0.30018384"," 0.28022073"," 0.21099951","-0.08640909"," 0.28417310"," 0.16192013"," 0.06329498"," 0.61356524"," 0.19489483"," 0.71862967","-1.00509877"," 0.15533339"," 0.01399401"," 0.14705921"
"M409.264T1339.403"," 0.166121292","-0.086795564"," 0.018006682"," 0.008425245","-0.358063658","-0.074411239"," 0.498926034","-0.487251026"," 0.763144030"," 0.116320827"," 0.204357063"," 0.179037782"," 0.578172510","-0.555323763"," 0.010222696"," 0.281694474","-0.118616929","-0.086576990","-0.253022290","-0.521729600","-0.162622722","-0.105405808"," 0.160349025","-0.463296381"," 0.350466770"," 0.314549227","-0.630070775","-0.117178085","-0.152453894","-0.569328710","-0.313097218"," 0.366690293"," 0.312536739"," 0.307309851"," 1.128693527","-0.478298859","-0.614406529"," 0.118291556"," 0.251436043"," 0.128954283","-0.115755910"
"M860.602T1570.854"," 0.05330258"," 0.08097944","-0.09435240","-0.56637169","-0.42408461","-0.86279747"," 0.10728580"," 0.05665808","-0.13274242","-0.12008155"," 0.07100468","-0.75101863","-1.13885341"," 0.04316090"," 0.23907293"," 0.12322191"," 1.32034190","-0.82304468"," 0.10348675","-0.28576655"," 0.44147544"," 0.20111576","-0.19874440"," 0.38507426"," 0.19645855"," 0.85097386","-0.94068910"," 0.01650416","-0.35208811"," 0.33608101","-0.57080988"," 0.14893910"," 0.62639973"," 0.28911939"," 1.06659560"," 0.17215176"," 0.21668892"," 0.04105346"," 0.49900982","-0.28474754","-0.13996331"
"M744.276T1008.897","-0.316485429","-0.522987765","-0.154618754","-0.195999027","-0.281876656","-0.271084449","-0.220189112","-0.530013471","-0.633975771"," 0.163116314","-0.058932688","-0.146165181"," 0.152396272"," 0.412284054"," 0.744558265","-0.088803227","-0.174474343"," 0.997604158"," 0.583375033"," 0.102837169"," 0.760038881"," 0.356086653","-0.047185101"," 0.382118499"," 0.141098956","-1.794801035"," 0.077205306"," 0.294099027"," 0.002230677"," 0.519778529"," 0.023255835","-0.109859137"," 0.004840152","-0.088853680"," 0.362176218","-0.030479337"," 0.678533793","-1.301543369"," 0.206306344"," 0.023173272","-0.018785873"
"M609.269T1439.891","-0.79129092"," 0.65399552","-0.55572946"," 0.34741569","-0.46791592"," 0.98835567"," 0.88043430","-0.98554684"," 0.05163253"," 1.04302693","-0.05278262"," 0.85091700"," 0.49327348","-0.60951071","-0.79948976"," 0.63909655","-0.53263688","-0.88870900"," 0.77782867","-1.15044240","-0.15730629","-0.78972991","-0.31197112","-0.80554378"," 0.26931765"," 0.53523287","-0.63419179","-0.67531761"," 0.07898512","-0.83734508","-0.18618376"," 0.04432656"," 0.14292191"," 0.20247130"," 0.40182650"," 1.22174192"," 0.10685845"," 0.68735319"," 0.32331568","-0.31959506"," 0.81091144"
"M674.519T1442.536","-0.40897090","-0.19354427","-0.31424783","-0.25299690","-0.14916672","-0.04521003","-0.76934206","-0.32631160","-0.54472735"," 0.17084700","-0.50281580","-0.37896388"," 0.04347628","-0.43623264"," 0.15906688"," 0.27981964"," 0.38662851"," 0.05259113"," 0.46367548"," 1.55592956","-0.38369868","-0.35360044"," 0.30483821"," 0.20842582","-0.02714748","-0.43723824","-0.41363183","-0.17708812"," 1.16676853","-0.27436529"," 0.02231575","-0.31103652"," 1.00389650","-0.13534965"," 0.18370038"," 0.42227545"," 0.05247462","-0.50932345"," 0.50283182"," 0.27693292"," 0.08851518"
