"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"M354.284T1595.998",-0.017437,0.22686,-0.68377,0.50315,-0.065517,-0.14802,0.37829,0.20488,0.0078166,0.008066,0.031897,-0.017305,-0.017738,0.045356,0.080282
"M573.464T1458.338",0.1858,-0.058406,-0.35459,-0.22561,-0.14695,0.46618,-0.179,0.055673,-0.5943,0.181,-0.12721,0.13119,-0.12779,0.11225,0.061423
"M575.48T1424.867",0.18025,-0.24349,-0.33031,-0.50032,-0.24231,-0.42857,-0.23557,0.4113,0.21233,-0.11742,0.030617,-0.095071,0.027749,-0.011315,0.036488
"M632.472T1474.795",0.15211,-0.17478,-0.30064,0.11008,0.03844,-0.41365,-0.26742,-0.72086,-0.13408,-0.022245,-0.014642,0.058801,-0.010939,-0.070816,-0.16492
"M633.474T1424.866",0.48793,-0.60857,0.13886,0.41784,0.32904,0.0045245,-0.035115,0.24024,-0.00053849,0.075704,0.00021012,0.0074852,-0.030511,0.082664,0.107
"M634.485T1424.862",0.2026,-0.35272,-0.03558,-0.29903,-0.2142,0.15635,0.7534,-0.26835,0.072467,-0.012296,0.050807,-0.0023031,0.064063,-0.077151,-0.089243
"M648.465T1441.075",0.16121,-0.0085271,-0.27298,0.12038,-0.061209,0.59625,-0.30717,-0.099301,0.45489,-0.28217,0.052319,-0.08966,0.1601,-0.14551,-0.11539
"M649.479T1424.057",0.72669,0.5937,0.076174,-0.18191,0.25262,-0.078529,0.085713,-0.029739,0.034984,0.0027873,0.0179,0.0020507,0.0030808,0.0032577,-0.00928
"M650.482T1423.88",0.27626,0.085693,0.31601,0.33805,-0.82223,-0.079562,-0.092285,0.0092256,-0.073972,0.00071869,-0.036975,-0.019774,-0.013796,-0.032444,0.008701
"M767.839T17.122",0.00027357,0.0024893,0.015139,0.038172,0.04482,-0.055048,0.013181,0.20995,-0.32926,0.013954,0.094035,-0.099702,0.38521,-0.015167,-0.4678
"M871.491T17.124",0.00016057,-0.0026892,0.0063792,0.010883,-0.00095464,0.013101,-0.0073098,-0.00477,-0.039989,-0.21227,-0.085477,0.18577,0.33892,0.047272,0.022128
"M882.812T18.125",-0.0012907,-0.0042109,0.00014053,-0.0079309,-0.0054833,-0.027201,0.0084705,-0.062723,0.0092374,-0.16202,-0.12238,-0.066714,0.098638,0.0019269,0.38063
"M912.805T18.125",-4.8557e-05,0.00034884,0.016761,-0.010072,0.026445,-0.0093344,0.010222,0.031559,-0.19613,-0.35281,0.011312,-0.085674,0.046044,-0.030085,0.197
"M972.813T17.121",0.001925,-0.011925,0.021434,0.048181,0.038378,-0.031388,0.037036,0.16094,-0.13904,-0.18245,0.10278,0.21313,-0.11279,-0.49505,-0.067712
"M990.789T18.143",8.144e-05,-0.0057929,0.014567,-0.020305,0.027464,-0.027436,0.015165,-0.010976,-0.072319,-0.25026,0.078392,0.20596,-0.37986,-0.11443,0.11109
"M1059.46T14.114",0.0020722,-0.004755,0.01327,0.0089744,0.034469,-0.010175,0.052934,0.071964,-0.058079,-0.093028,-0.20036,0.096296,-0.26732,-0.14801,-0.0056156
"M1067.787T17.122",-0.001654,0.00038199,0.024623,-0.0033753,0.039593,-0.026888,0.073302,-0.027784,-0.12315,-0.24832,-0.35929,-0.19584,0.23889,0.18309,0.21438
"M1087.458T13.111",-7.9245e-05,0.0031481,-0.024866,-0.030366,0.022872,0.034873,-0.052035,0.016601,-0.14721,0.36219,0.34082,-0.30691,0.07536,-0.23472,0.16778
"M1154.769T17.115",-0.00072411,-0.011554,0.015419,0.0024232,0.013856,-0.0088451,0.019479,0.030352,-0.17429,-0.22491,-0.25642,0.06033,-0.051031,0.28523,-0.18446
"M1170.77T17.127",-0.00028644,-0.0088316,0.052794,0.011257,0.015239,0.0097735,0.019089,-0.001153,-0.24865,-0.50272,0.6012,-0.085584,0.0038055,0.13932,-0.058404
"M1187.772T13.11",0.0018245,-0.0054236,0.0014205,0.020057,0.070617,-0.00090539,0.0032385,-0.012735,-0.17593,-0.091654,-0.34347,-0.43405,-0.061369,-0.50904,-0.11696
"M1222.764T12.168",0.00044441,-0.0073507,0.010689,0.015487,0.0081577,-0.020194,0.031549,0.010993,-0.073058,0.023168,-0.0054946,-0.25249,0.25571,-0.2195,0.12596
"M1239.758T16.118",-0.00046262,0.00018941,0.0040248,-0.0027758,0.0036775,-0.014165,-0.012372,-0.072383,-0.060673,-0.057794,0.067164,-0.13109,0.025718,0.032779,0.17523
"M1252.751T12.611",-0.0011404,0.0044225,-0.0022809,-0.01728,0.022228,-0.057272,-0.0057662,0.070548,-0.051645,0.090932,-0.11844,0.46334,0.4208,-0.18009,0.13967
"M1279.087T13.111",-0.00011898,-0.00032688,0.0037416,0.010658,-0.0028594,-0.01243,0.0026563,0.038379,0.045216,-0.015149,-0.047751,0.27544,0.14161,-0.16968,-0.19532
"M1287.747T14.113",0.0015854,-0.0059687,0.011643,0.015077,0.025516,0.0088188,-0.011778,-0.022136,-0.020306,0.0058982,-0.0060784,-0.051472,0.035459,0.080183,-0.10098
"M1356.732T13.109",0.0029327,-0.0026982,0.0094143,0.0049423,0.01441,-0.0036795,0.056368,0.15711,0.09984,-0.11224,-0.22032,-0.15635,-0.2233,0.025149,-0.35351
"M1414.729T13.11",2.7071e-05,7.214e-07,0.016094,0.0023291,0.019929,-0.0010412,0.011988,-0.011639,0.042102,-0.011835,-0.066657,-0.12727,0.10002,0.04085,-0.13983
"M1419.724T14.619",-0.0018127,0.0035029,0.011682,-0.0025973,-0.0071247,0.023408,-0.00084534,0.011193,-0.00029255,-0.041659,0.078311,0.16736,-0.015736,-0.25615,0.10129
"M1447.213T13.111",-0.0002613,-0.0026889,-0.0030851,0.0038979,-0.0088877,-0.0040958,-0.016584,0.0088711,-0.032049,0.16976,0.062489,-0.075776,-0.11556,0.10411,-0.14583
"M1522.706T13.16",-0.0005469,-0.0017613,0.0032674,0.0036977,-0.010464,-0.011228,-0.0099032,-0.018916,0.0094858,-0.0166,-0.021881,0.026341,0.15372,0.033285,-0.029725
"M1576.695T13.11",-0.00070033,-0.0026441,0.0002673,0.00015658,-0.0031175,-0.0024824,0.003461,-0.040813,-0.032568,-0.041973,-0.051131,-0.063652,-0.0029672,-0.017376,0.11147
"M1593.442T13.11",-0.00061305,0.00029403,0.0063355,0.014115,0.018181,0.0026824,0.0099455,0.056898,-0.012411,-0.054294,-0.023377,0.15098,-0.022909,-0.11139,-0.15853
"M1610.691T13.111",0.00012088,0.001176,-0.0053266,0.021541,-0.0087258,-0.026226,-0.0046018,0.024625,-0.010458,0.03992,0.092558,0.012035,0.12971,0.061171,-0.2329
