sample,condition,sodium_formate,M589.459T1372.544,M285.134T1052.907,M569.292T994.771,M637.414T1384.421,M867.584T1358.969,M593.485T1401.37,M985.571T1146.934,M593.49T1490.213,M639.424T1291.55,M986.591T1195.638,M926.605T1358.969,M593.49T1557.453,M587.442T1269.605,M593.49T1539.529,M423.198T1506.423,M547.402T1437.709,M879.468T1338.726,M556.445T1212.039,M668.509T1456.373,M618.492T1624.789,M393.189T1440.567,M629.464T1456.367,M555.454T1439.586,M592.477T1439.652,M889.305T842.452,M513.307T1059.952,M630.465T1474.173,M329.158T1625.781,M660.517T1423.005,M670.538T1472.8,M513.251T1355.541,M882.48T1339.403,M839.506T1306.415,M575.477T1491.784,M564.206T918.312,M564.208T942.149,M343.224T1621.712,M609.455T1145.906,M771.504T1195.638,M523.36T1271.932,M660.514T1439.78,M351.253T1019.694,M949.553T1173.004,M875.492T1306.216,M979.313T847.893,M349.196T1335.803,M691.436T1356.203,M575.479T1456.772,M919.292T824.161,M545.37T1372.761,M1085.421T973.898,M1114.854T834.347,M987.579T1163.004,M441.224T1179.269,M899.349T990.311,M659.418T1406.262,M841.471T1389.363,M655.418T1389.36,M575.479T1473.048,M575.481T1540.694,M684.476T1302.601,M331.187T1104.601,M549.424T1386.472,M423.211T1338.363,M886.353T1006.792,M585.283T918.479,M956.379T959.199,M329.157T1608.526,M549.19T901.604,M822.526T1212.039,M351.108T857.905,M640.557T1608.472,M423.212T1319.031,M541.474T1573.977,M519.225T1025.439,M817.32T1025.439,M629.459T1473.698,M847.517T1163.004,M898.349T936.403,M652.416T1356.524,M449.365T1540.699,M537.533T1295.888,M561.396T1195.638,M530.218T901.604,M812.538T1253.346,M495.298T1036.333,M367.15T410.425,M589.228T896.878,M617.489T1624.961,M535.409T1440.116,M673.432T1355.711,M817.317T940.819,M438.146T926.75,M535.375T1490.352,M808.52T1220.972,M577.49T1591.335,M1059.419T884.787,M813.332T1056.081,M869.334T919.017,M449.347T1490.033,M374.303T1319.161,M504.265T1099.137,M479.188T913.185,M291.195T1053.001,M821.505T1179.269,M820.327T1006.792,M764.518T1295.888,M471.313T1295.888,M534.402T1422.678,M765.518T1313.696,M1003.558T1223.957,M415.326T1295.888,M653.413T1286.062,M1102.351T817.469,M549.424T1473.203,M787.545T1575.098,M567.43T1421.35,M798.839T1023.188,M764.517T1325.086,M677.438T1339.916,M832.307T992.353,M455.315T1295.888,M297.239T1626.197,M471.314T1308.231,M455.313T1308.231,M392.284T1436.378,M399.308T1262.042,M549.428T1523.962,M807.348T918.929,M542.478T1573.977,M522.261T1109.944,M653.412T1258.482,M475.412T1607.605,M653.413T1377.63,M330.263T1492.022,M447.35T1507.107,M722.259T892.9,M523.599T1382.768,M549.431T1507.08,M330.262T1456.934,M435.346T1540.43,M576.484T1557.453,M467.383T1523.593,M951.603T1424.253,M477.403T1542.988,M477.407T1590.788,M549.426T1489.95,M471.336T1557.26,M330.263T1439.913,M629.529T1601.79,M505.27T1240.129,M576.533T1641.124,M619.438T1245.233,M313.161T1621.4,M505.253T1269.605,M494.565T1319.161,M535.447T1540.43,M477.398T1574.327,M691.433T1253.346,M341.283T1305.932,M330.261T1473.013,M339.172T1490.329,M477.343T1423.013,M332.328T1440.13,M494.563T1509.9,M481.362T1591.564,M443.333T1262.042,M510.367T1523.593,M545.456T1607.833,M669.539T1543.447,M669.531T1507.08,M383.284T1439.726,M589.501T1621.712,M534.444T1557.26,M494.565T1422.678,M609.518T1624.418,M465.265T1237.073,M605.432T1239.559
C12.1,Control,3985225.417,22898.1671,10686.981,1421.487,53442.2594,18354.2891,156741.0441,1537.3531,171483.425,13470.6348,6681.5984,8431.9458,180130.219,13190.0309,168190.1966,593411.8484,200879.6187,3205.6913,3942.2917,46595.9331,50694.5957,146768.0189,156744.2698,86625.4791,53174.349,5406.244,0,58363.9243,115728.4351,44944.4427,90766.6722,22679.4349,2833.8675,21629.3499,51828.3738,0,0,92913.615,6740.1617,15659.5635,0,53435.1168,1520.0722,6534.1658,8245.2166,19186.6118,75647.5845,154783.5503,48282.7975,18116.16,64437.8885,2067.7404,1632.2042,3790.8404,21410.8204,9439.3442,20041.8402,11133.0174,15634.8247,53767.9902,55946.6022,13097.9795,23353.744,81933.5463,122076.2597,9396.4631,4197.5368,14181.0908,122997.5359,0,20208.255,21445.2347,52851.229,126128.3267,5777.828,2596.0179,4833.8009,154737.2125,2174.9207,9190.3884,28020.5514,155479.3609,8050.1714,17371.921,1903.1543,24249.117,3108.3069,23149.3148,2019.5915,89331.7896,109958.9858,13628.2601,14439.3851,3205.8092,127001.4741,8213.0399,135842.0042,810.8953,3272.8688,13744.4729,113243.658,67083.7649,8042.4331,760.3332,3826.4803,0,1367.9568,66300.1355,21542.8486,65285.8828,53331.2503,2525.8699,71958.1766,25271.1283,12334.977,92484.1327,35366.2348,168212.9707,1645.3419,66349.916,10473.4191,4371.5082,76561.8221,146574,49886.6001,88010.9163,121283.2694,64986.7223,60481.7533,4041.1379,9044,5867.8096,19085.3778,33636.3167,35834.4817,146481.4689,76515.0103,10426.6994,218080.0938,99370.8879,110351.8984,74630,43791.0566,52699.2113,56709.9076,68754.7701,83304.4861,92561.8468,75170.5993,113723.4082,132953.3609,36869.3834,28320.6636,12008.9388,61415.9419,14742.2336,188625.3734,63646.6289,75046.8231,112036.4451,94925.3883,105049.7819,44191.5894,48754.9512,115359.5825,304154.6608,33792.0262,40654.5627,139590.3329,108912.1658,121295.6002,111179.8598,125217.2578,261732,85462.7331,263375.7243,60609.9359,42836.1105,77368.5134
C12.3,Control,3922751.054,83715.581,221176.579,116906.609,143299.106,32761.048,216680.445,178876.252,224110.018,114977.203,148335.411,11644.476,227135.224,76765.522,225122.252,738161.86,230201.896,44184.472,31930.752,71107.661,70032.295,169388.244,286333.224,158662.419,129919.406,32551.846,942716.402,95043.929,94952.883,59501.118,79878.439,226532.943,41238.903,123667.664,396062.429,72246.027,72261.713,74256.778,213102.146,2245550.871,90698.732,64048.514,527161.428,287701.91,155010.606,92208.476,276402.411,474924.558,370685.513,79143.518,302206.961,16936.01,18760.064,262791.614,204453.412,36165.836,41430.614,49892.71,135264.745,330893.103,330893.103,73296.677,294471.293,177754.677,310222.07,35386.349,57708.363,48687.792,94952.883,102832.656,210598.901,289118.119,54887.321,320811.701,52112.167,34676.039,10536.783,288053.576,874899.681,48918.711,162743.201,174479.126,68647.361,85726.851,39487.65,81771.399,141614.109,39264.813,24321.582,117002.527,99747.134,163104.37,44197.551,50703.909,120584.546,120697.147,152439.223,71001.183,11942.724,53492.947,110810.716,103723.931,280340.786,29252.107,285157.375,262457.535,22036.529,170012.442,299762.258,92021.557,177554.745,144753.656,148196.442,157173.717,50863.077,106916.649,55158.77,71620.73,10807.334,225187.785,99987.334,25767.383,363482.892,118088.086,398392.899,403000.098,342323.099,2172556.166,69344.604,253963.057,29286.757,154053.761,135177.639,29122.145,124807.531,176199.229,116777.742,540138.794,317868.564,96042.493,137110.335,62488.279,64461.487,57843.559,69557.287,72109.807,82232.177,100676.424,74425.386,142481.663,136004.841,496398.964,22442.071,387624.432,68126.836,348384.973,417460.715,65862.823,72226.53,461054.068,710584.568,129928.674,27250.668,56632,142796.475,234099.816,45292.622,2291206.757,86069.976,73195.075,80496.051,65231.819,251315.529,73577.312,77456.066,463612.2,55474.255,242014.038,396644.254
C12.4,Control,3861917.098,104461.691,269413.681,125497.818,151115.548,35158.164,263561.921,191828.13,270191.106,139862.171,172198.193,25191.321,272513.5,79488.415,254580.076,724434.323,172493.958,98451.371,163353.676,95899.971,106798.057,155747.588,305526.038,198439.434,189541.22,61297.672,928715.846,118291.147,72574.306,83916.64,110017.904,284481.147,83587.362,134406.402,474009.313,159157.715,154063.082,76141.645,159285.699,923252.551,26915.409,84776.995,557457.259,304004.312,163775.175,141842.26,325289.758,498460.371,418133.836,98309.012,501401.305,42844.698,39563.037,292594.352,236661.998,46198.488,45006.678,48079.15,132831.438,375060.77,375060.77,89611.488,357966.739,268521.32,269250.678,54429.982,67834.892,84594.569,85513.005,274541.633,205964.119,176069.92,61274.378,278610.073,58834.071,129507.647,41665.759,279524.287,875194.389,69643.952,209119.406,204876.936,58469.949,778915.499,108556.667,99545.275,135255.078,73062.191,49432.362,178159.556,110307.357,174641.862,97452.08,69619.004,172386.853,159858.192,164729.178,205845.58,42455.745,107737.704,125642.701,112107.063,278250.498,50165.806,352887.774,244059.415,48770.183,262870.922,166034.244,143253.735,185700.313,157369.376,159772.345,167730.592,69708.58,147552.381,23378.149,81850.383,35321.432,260891.895,129116.181,75470.659,285738.052,93969.488,264998.934,307984.046,257792.304,632565.324,85810.02,691204.147,15302.819,181417.946,149758.372,12141.735,135234.216,177938.484,199474.338,6109886.122,315921.916,103299.308,140737.016,56945.862,67670.811,69790.605,92135.708,93786.975,104177.767,133273.353,96848.858,144695.624,102248.094,487628.523,14288.021,451165.77,53976.472,275499.654,297804.155,65775.467,93786.975,487173.897,226058.778,132830.97,21719.252,58826.353,167103.206,171452.201,33077.863,726799.035,86114.553,68086.862,105264.368,86689.232,205205.782,55522.835,71460.738,367002.545,35151.344,261681.816,322817.741
X12.1,Xanthomonas,3815932.471,252427.935,212892.242,112297.945,235868.344,32630.246,333378.112,115500.518,348797.998,121164.455,79847.172,22894.754,352067.14,64047.741,349482.045,565841.49,460601.302,89877.39,23814.668,156682.416,157368.423,179523.573,399494.738,194350.883,297374.55,68800.16,693698.247,164246.443,126411.515,162355.216,175005.285,281037.698,70084.716,128116.832,704093.702,197681.821,195224.054,88033.238,31575.697,213308.063,83096.014,168740.433,370944.738,125718.91,121505.496,155608.779,283897.181,416685.124,701091.354,124151.225,139966.701,71519.151,34730.724,113984.482,82182.654,55894.897,96218.587,75696.56,202295.446,709622.62,709890.255,77628.578,262856.22,430165.555,180229.806,57339.016,30407.499,85661.455,126411.515,295983.379,127573.452,113495.353,94407.514,151524.935,179022.931,103614.575,52476.337,377048.767,109854.253,87182.225,176182.552,205463.853,6408.495,62164.298,132686.191,54445.107,52455.281,53419.755,63849.123,280149.602,191143.505,195017.335,195643.671,69568.122,220938.216,28625.011,243198.698,235989.816,50424.292,116718.456,178415.271,28558.011,95723.916,252249.473,185197.346,123427.283,65417.338,111316.063,148654.726,222648.424,116151.872,141501.428,92720.78,181305.482,65042.586,242720.256,85098.074,94654.253,36850.514,128335.262,316712.483,81588.381,220287.449,149707.595,237721.598,329174.637,123894.04,102347.387,142936.033,480118.833,69384.993,58708.411,163223.819,43617.621,210781.897,140695.51,120724.187,71196.574,148600.122,185634.636,119751.591,83865.094,172602.877,150212.898,557435.338,120210.907,135185.524,241057.649,162500.226,119679.325,304905.987,317315.658,81091.533,110680.498,90550.332,197391.146,293896.667,104541.856,120210.907,345790.688,94122.998,119751.591,41205.431,53518.854,111378.278,442772.659,60368.219,118782.977,103007.907,91129.673,114652.56,110019.144,146863.405,85230.062,133144.723,409578.048,61880.592,207875.858,431058.217
X12.2,Xanthomonas,3878102.735,160733.435,259981.006,149970.546,172879.439,28642.034,233447.098,145428.538,243878.151,118571.563,107246.557,31885.377,250656.705,36880.046,244794.054,587766.044,278352.461,90429.685,17303.352,97290.696,121387.96,184871.039,322401.825,203618.288,160320.885,66555.649,1131877.916,120097.685,139292.698,87432.444,114704.33,237196.151,59958.009,131972.399,442494.57,216958.784,216690.617,96225.8,35059.624,388733.561,76072.454,97882.839,654572.844,236454.997,137739.985,146807.147,306317.557,460855.97,434828.828,129258.78,112248.603,68305.752,45129.218,199217.9,91593.239,68165.655,75766.659,60264.215,159099.94,446816.53,447113.369,72040.012,328619.036,274975.311,146713.112,60500.361,51174.449,80593.021,152113.222,214992.341,125301.597,148254.396,69764.604,138495.594,144732.186,153872.438,58008.278,296942.408,162387.237,81659.572,222380.918,208933.328,13261.754,48253.015,123697.391,57125.786,61529.43,86948.198,64742.988,228825.193,203617.327,186224.144,217119.934,76117.177,227138.556,58426.197,211319.359,181580.021,56288.423,105782.951,123539.49,57545.575,159371.254,413214.6,252647.289,154987.791,63100.907,114860.009,121606.998,141997.851,129826.493,150990.355,94998.275,174786.799,76466.076,170376.335,89961.554,98641.594,49920.319,145316.216,191646.995,71789.03,210050.417,127632.631,171108.583,279693.573,127606.084,110044.556,112454.871,2051316.747,68707.273,90665.459,157346.258,53087.707,163588.229,135165.686,57278.375,70023.067,189794.41,145343.016,113404.789,66405.033,101121.043,86896.931,383538.853,92936.348,112824.299,162981.319,115305.119,116487.621,188421.4,481984.987,61469.199,67480.761,81216.187,287364.501,181891.41,73961.272,92936.348,343169.594,94227.35,113404.789,55429.678,57553.721,130734.828,298333.334,54566.008,113333.931,92108.115,86335.237,108839.517,89638.834,150923.835,92011.256,105068.925,275449.132,53509.726,178654.975,204528.534
X12.3,Xanthomonas,3825451.14,1.41E+05,3.04E+05,1.78E+05,1.77E+05,2.42E+04,3.20E+05,1.25E+05,3.28E+05,1.21E+05,1.00E+05,3.60E+04,3.38E+05,5.41E+04,3.35E+05,6.18E+05,2.88E+05,9.94E+04,2.35E+04,1.35E+05,1.45E+05,1.96E+05,3.61E+05,2.05E+05,1.99E+05,6.50E+04,8.20E+05,1.47E+05,1.23E+05,8.93E+04,1.15E+05,3.26E+05,8.21E+04,1.52E+05,5.63E+05,1.83E+05,1.94E+05,9.85E+04,2.06E+04,3.35E+05,1.22E+05,1.00E+05,4.93E+05,2.02E+05,1.47E+05,1.16E+05,2.57E+05,4.20E+05,5.63E+05,1.07E+05,1.04E+05,6.23E+04,3.07E+04,1.79E+05,8.24E+04,6.29E+04,9.21E+04,7.81E+04,1.35E+05,5.63E+05,5.71E+05,7.18E+04,2.90E+05,2.26E+05,1.92E+05,6.20E+04,4.95E+04,9.92E+04,1.37E+05,4.22E+05,1.48E+05,1.56E+05,7.15E+04,1.92E+05,1.45E+05,1.63E+05,5.10E+04,3.44E+05,3.07E+05,8.83E+04,2.37E+05,2.32E+05,9.82E+03,5.43E+04,1.42E+05,4.68E+04,3.36E+04,4.34E+04,9.64E+04,2.76E+05,1.65E+05,2.02E+05,1.54E+05,1.09E+05,1.97E+05,5.93E+04,2.54E+05,3.15E+05,6.05E+04,1.17E+05,1.68E+05,2.72E+04,9.54E+04,1.89E+05,2.31E+05,1.82E+05,5.26E+04,1.12E+05,9.98E+04,1.60E+05,1.29E+05,1.43E+05,7.94E+04,1.69E+05,5.68E+04,1.87E+05,2.34E+05,9.72E+04,6.06E+04,1.41E+05,2.66E+05,7.98E+04,1.95E+05,1.38E+05,1.55E+05,2.63E+05,1.07E+05,9.61E+04,1.19E+05,7.22E+05,7.38E+04,1.21E+05,1.54E+05,6.00E+04,1.56E+05,1.31E+05,8.00E+04,8.23E+04,2.16E+05,1.54E+05,9.45E+04,9.21E+04,1.52E+05,8.28E+04,5.95E+05,9.76E+04,1.09E+05,1.74E+05,1.08E+05,9.80E+04,2.71E+05,2.60E+05,7.39E+04,8.16E+04,8.14E+04,2.14E+05,2.54E+05,9.20E+04,9.76E+04,3.48E+05,8.20E+04,9.24E+04,4.54E+04,5.06E+04,1.05E+05,3.94E+05,4.61E+04,9.35E+04,9.73E+04,1.45E+05,1.17E+05,1.13E+05,1.45E+05,1.59E+05,1.21E+05,3.58E+05,6.32E+04,1.80E+05,2.19E+05
