"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M439.317T1473.604",0.90567,0.85566,0.88814,0.87756,0.86909,0.86534,0.87,0.86941
"M1013.365T908.018",0.90502,0.85823,0.83339,0.82644,0.82607,0.81918,0.81801,0.81793
"M806.333T841.952",0.90348,0.96606,0.89833,0.96923,0.95048,0.95255,0.94996,0.94932
"M573.209T836.496",0.90325,0.90043,0.97233,0.96498,0.94577,0.94365,0.94358,0.94333
"M883.336T936.403",0.89989,0.86022,0.80803,0.79702,0.79235,0.793,0.7919,0.79171
"M705.258T877.183",0.89901,0.87345,0.84157,0.8311,0.8145,0.80832,0.80714,0.8065
"M1087.424T940.951",0.89734,0.85266,0.82043,0.80716,0.79164,0.78636,0.78519,0.78848
"M535.409T1440.116",0.89634,0.84286,0.84832,0.83964,0.90022,0.89399,0.89675,0.89598
"M333.198T1457.004",0.89389,0.89763,0.86513,0.86636,0.84983,0.84626,0.84668,0.84595
"M833.319T926.75",0.89178,0.99285,0.909,0.89254,0.87601,0.8693,0.86716,0.86686
"M634.244T942.609",0.8912,0.83896,1.1858,1.1656,1.1427,1.1332,1.1293,1.1295
"M629.459T1473.698",0.89057,0.8634,0.95582,0.93665,0.91958,0.91428,0.91152,0.91392
"M574.213T908.018",0.89041,0.84563,1.0334,1.0348,1.0154,1.0071,1.0036,1.0028
"M566.424T1474.624",0.88907,0.84857,1.1217,1.1012,1.0965,1.1201,1.1165,1.1156
"M985.395T851.401",0.88606,0.92053,0.8409,0.84274,0.82985,0.8245,0.8217,0.82427
"M603.415T1456.538",0.88527,0.91117,0.8322,0.81727,0.80139,0.81066,0.80838,0.80893
"M847.317T919.58",0.885,0.94397,0.86265,0.85208,0.83909,0.83211,0.83209,0.83217
"M706.253T891.652",0.88481,0.86767,0.80276,0.78582,0.77101,0.77471,0.77203,0.77138
"M666.233T924.482",0.88385,0.85089,0.82001,0.82044,0.80875,0.80432,0.80173,0.80112
"M936.359T886.012",0.88256,0.86579,0.83843,0.82306,0.80657,0.79986,0.79733,0.79666
"M439.317T1401.37",0.88226,0.83139,0.99209,0.97428,0.95852,0.96066,0.95892,0.95809
"M1147.442T940.951",0.88095,0.87024,0.89334,0.9104,0.90571,0.89825,0.89513,0.89542
"M571.411T1441.156",0.88067,0.89494,0.83907,0.91386,0.89553,0.88833,0.88557,0.88921
"M904.347T942.609",0.88008,0.89062,0.82416,0.80667,0.79276,0.79487,0.8011,0.80049
"M563.402T1408.532",0.87855,0.87314,0.8337,0.81654,0.84007,0.84413,0.84153,0.84185
"M833.315T843.183",0.87831,0.98981,0.91067,0.89377,0.87869,0.87592,0.87393,0.87319
"M861.313T812.644",0.87666,0.94342,0.86202,0.8652,0.87031,0.864,0.86296,0.86224
"M884.32T942.609",0.87655,0.85277,0.781,0.76972,0.75468,0.75023,0.74789,0.75101
"M898.347T1006.792",0.87517,0.86067,0.78602,0.77363,0.76382,0.76116,0.76058,0.75994
"M1002.908T1006.792",0.87148,0.8562,0.90079,0.89564,0.87835,0.87142,0.87322,0.87352
"M507.173T926.047",0.86986,0.93663,0.85745,0.84091,0.82621,0.81945,0.81676,0.81605
"M566.215T813.875",0.8683,0.84514,0.84072,0.832,0.82082,0.81641,0.81359,0.81289
"M508.198T891.652",0.86413,0.85239,0.83247,0.81473,0.79939,0.80047,0.80473,0.80408
"M936.367T941.78",0.86393,0.8688,0.80981,0.79294,0.77703,0.77056,0.76791,0.76724
"M653.413T1377.63",0.8635,0.85627,0.79419,0.84334,0.82803,0.82761,0.8379,0.83844
"M903.354T957.42",0.86331,0.8745,0.80812,0.80225,0.78623,0.78303,0.78039,0.77975
"M988.382T919.58",0.86311,1.0277,0.95735,0.94794,0.93003,0.92517,0.92334,0.92255
"M1037.391T940.951",0.85973,0.81985,0.87193,0.87194,0.86265,0.85571,0.86417,0.86603
"M847.319T941.78",0.85943,0.95052,0.88108,0.88452,0.86678,0.86084,0.86279,0.86247
"M1014.372T940.951",0.85943,0.85556,0.78094,0.76434,0.74969,0.75062,0.74803,0.74907
"M631.469T1330.308",0.85898,0.81745,1.3107,1.2983,1.3669,1.3578,1.3538,1.3526
"M923.356T940.951",0.85773,0.90742,0.84876,0.83106,0.81457,0.80902,0.80806,0.80737
"M852.32T958.31",0.85689,0.84572,0.77906,0.7625,0.74917,0.74536,0.74422,0.74434
"M910.351T957.42",0.85546,0.84804,0.78839,0.7809,0.77575,0.76929,0.76871,0.76864
"M779.29T843.183",0.85222,0.8331,0.76138,0.84732,0.83393,0.85114,0.84944,0.85151
"M978.369T957.42",0.84896,0.86065,0.78559,0.79578,0.77996,0.7785,0.77819,0.77839
"M956.379T959.199",0.84677,0.85254,0.78004,0.76347,0.74954,0.74462,0.74238,0.74177
"M889.338T942.609",0.84639,0.81164,0.84568,0.8319,0.81762,0.8162,0.81344,0.81274
"M603.424T1440.046",0.84602,0.89172,0.81857,0.83724,0.82188,0.83796,0.8357,0.837
"M699.455T1339.403",0.84521,0.80389,0.90606,0.89786,0.88127,0.88789,0.89105,0.89185
"M453.3T1456.918",0.84217,0.79448,0.81344,0.79796,0.78207,0.77714,0.78564,0.78538
"M895.359T935.639",0.84176,0.8401,0.78584,0.77226,0.75697,0.75071,0.75651,0.75618
"M535.375T1490.352",0.84056,0.79664,0.72816,0.73927,0.79263,0.78837,0.78776,0.78783
"M698.269T891.807",0.84054,0.92231,0.95054,0.93291,0.92485,0.91738,0.91706,0.91715
"M555.363T1275.021",0.83998,0.83063,0.88506,0.86884,0.95732,0.96663,0.98791,0.98737
"M939.375T959.199",0.83996,0.84254,0.77212,0.76406,0.76039,0.75485,0.75231,0.753
"M702.545T1440.116",0.83931,0.87667,1.141,1.1261,1.1037,1.0965,1.0929,1.0934
"M571.455T1406.584",0.83844,0.84528,0.81221,0.796,0.78692,0.78127,0.77953,0.77909
"M901.354T973.898",0.83731,0.86103,0.78938,0.77908,0.76458,0.75824,0.75629,0.75583
"M819.303T925.437",0.83475,0.95126,0.87408,0.88866,0.88514,0.8808,0.87793,0.87804
"M402.158T851.401",0.8346,0.86703,0.79191,0.78764,0.77471,0.76833,0.7737,0.7799
"M903.341T917.809",0.83245,0.8429,0.78837,0.80326,0.7875,0.78656,0.78389,0.78372
"M725.552T1574.274",0.83002,0.83931,0.7723,0.75596,0.7658,0.78694,0.78458,0.78398
"M471.314T1308.231",0.82714,0.85065,0.91125,0.90761,1.0238,1.0159,1.0124,1.0116
"M888.347T872.624",0.82513,0.86227,0.78707,0.79919,0.78361,0.78329,0.78059,0.77998
"M907.344T940.951",0.82491,0.81338,0.77933,0.77408,0.76003,0.7537,0.75453,0.75388
"M849.321T917.809",0.8236,0.80388,0.98531,1.006,0.98621,0.97803,0.97657,0.97583
"M461.357T1435.338",0.8231,0.81746,0.77452,0.75846,0.74411,0.76846,0.77318,0.77279
"M603.41T1440.081",0.82285,0.84473,0.77935,0.80265,0.79669,0.81213,0.81201,0.81367
"M735.275T891.807",0.8224,0.79844,0.83443,0.83473,0.8206,0.81411,0.83773,0.83813
"M507.18T901.88",0.8179,0.86597,0.79074,0.81299,0.80757,0.80222,0.79952,0.79883
"M659.432T1389.647",0.81693,0.84354,0.79451,0.7791,0.76412,0.7611,0.75968,0.75963
"M439.315T1490.286",0.81562,0.76669,0.96255,0.95952,0.9621,0.96215,0.96079,0.96011
"M869.334T919.017",0.81369,0.84046,0.7719,0.75562,0.75188,0.74592,0.74437,0.74412
"M873.355T919.58",0.81058,0.83062,0.83834,0.84706,0.83066,0.82701,0.82635,0.82644
"M841.332T843.183",0.80959,0.8086,0.74264,0.74409,0.73083,0.72476,0.73231,0.73263
"M503.18T942.609",0.80951,0.79469,0.85846,0.85679,0.8403,0.83401,0.83112,0.83061
"M623.427T1295.888",0.80948,0.76163,0.98672,0.97128,0.98359,1.0006,0.99968,0.99882
"M571.19T841.386",0.80909,0.77799,0.71768,0.72077,0.71735,0.74256,0.74625,0.74632
"M727.445T1338.726",0.80905,0.82343,0.77665,0.76036,0.75585,0.74957,0.74702,0.74638
"M403.243T1438.94",0.80771,0.77448,0.71805,0.73554,0.75345,0.75297,0.75644,0.75627
