"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","X9.1","X9.2","X9.3","X9.4","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M787.311T857.905","-0.721071303","-0.592004865","-0.103894684","-0.461369223","-0.113773444","-0.592886907"," 0.019272891","-0.102346580","-0.099305316"," 0.331982315","-0.352877642","-0.007572129","-0.023897974"," 0.471026908"," 0.031019367","-0.528110253"," 0.165586133"," 0.469229229"," 0.280244742"," 0.213782601"," 0.401475041","-0.201187123"," 0.559589194"," 0.506958100"," 0.299949608"," 0.066708962"," 0.083472354"
"M594.494T1539.529","-0.48823742","-0.44263079","-0.38027659","-0.10281969","-0.12557146","-0.41100586","-0.09084216","-0.17780455"," 0.05244940","-0.50462224","-0.89916842"," 0.43137671","-0.16303030"," 0.02349340"," 0.30170105","-0.17296187"," 0.17822022"," 0.17646737"," 0.35157521"," 0.44209827"," 0.11473126"," 0.23234764"," 0.40741265"," 0.79032763"," 0.25647579","-0.18612548"," 0.38642024"
"M563.405T1390.077","-0.54260008","-0.13724799","-0.17596276"," 0.11022635","-0.20099124","-0.32226818","-0.04922193","-0.40837599","-0.06523093","-0.47366050","-0.57316774"," 0.34785083","-0.10094535","-0.09915956","-0.05132908","-0.25686769"," 0.26657601"," 0.30425966"," 0.31046253","-0.24133842","-0.08823170"," 0.51474905"," 0.39056569"," 0.43438379"," 0.74024904"," 0.31449827"," 0.05277790"
"M663.458T1406.394","-0.19015795","-0.52267917","-0.46773799","-0.17794685","-0.05005661","-0.12959060","-0.26969850","-0.62065411","-0.39288730","-0.27420522","-0.38908274","-0.02881449","-0.49833359","-0.17004880"," 0.11076841"," 0.03655147"," 0.13007670"," 0.34915837"," 0.31262949"," 0.01686120"," 0.13247669"," 0.39384891"," 0.24511654"," 1.51275250"," 0.58363576"," 0.10178619"," 0.25623169"
"M833.319T926.75","-0.62255331","-1.53936809","-0.17019537","-0.34363052","-0.09688335","-0.31249771"," 0.06039300"," 0.21986731"," 0.11668669"," 0.63246228"," 0.15193068","-0.14180083","-0.19824975"," 0.12140121"," 0.04239072","-0.81940313"," 0.07507246"," 0.82537177"," 0.09420795"," 0.21762074"," 0.82727322"," 0.02787493"," 0.48329988"," 0.18184929","-0.10851549"," 0.17009712"," 0.10529829"
"M948.363T924.637","-0.479686308","-1.439459909","-0.263813715","-0.195809272","-0.113679382","-0.326110079"," 0.131219709","-0.071065893","-0.122904848"," 0.620340190","-0.090821704"," 0.035051378","-0.117722669"," 0.033372786"," 0.007250556","-0.273785338"," 0.013709724"," 0.456055480"," 0.249614480"," 0.068882255"," 0.464946581","-0.064434151"," 0.355124827"," 0.304621417"," 0.244703625"," 0.171647073"," 0.402753186"
"M727.561T1540.694","-0.0636904804","-0.3985096975","-0.2099667326","-0.1310572215","-0.1223930500","-0.7053639975","-0.3011362465","-0.0934413208","-0.4878748363","-0.5428521939","-0.0004577138"," 0.2397386779","-0.0681237536","-0.8674676439"," 0.3248762260"," 0.2546575449","-0.1449031526"," 0.5134290124"," 0.3483987272","-0.3786740092"," 0.0800221150"," 0.4030673121"," 0.3959408457"," 0.9485579528"," 0.5786367522"," 0.1794665565"," 0.2491203275"
"M608.447T1456.373","-0.17083212","-0.44256671","-0.21086272"," 0.04454693","-0.35597767","-0.41295629"," 0.27421336","-0.49579408","-0.18458043","-0.28237406","-0.83399133"," 0.10172997","-0.05338525","-0.37834363"," 0.36804625","-0.14286438"," 0.10124622"," 0.33033438"," 0.48115404"," 0.36357129"," 0.04879050"," 0.39273155"," 0.30067211"," 0.41873321"," 0.41937849"," 0.19473360"," 0.12464676"
"M481.361T1475.061","-0.44239746","-0.13666786","-0.22496901"," 0.02817492","-0.24530133","-0.34204670"," 0.14096230","-0.43406573","-0.26826408","-0.31227780","-0.36341941"," 0.14792002","-0.06601907","-0.42077488"," 0.05070704","-0.21368828"," 0.18157008"," 0.29079727"," 0.49955707"," 0.01412370"," 0.05261959"," 0.58916227"," 0.43234700"," 0.32967443"," 0.66741166"," 0.07396917","-0.02910492"
"M349.196T1335.803","-0.1192983433"," 0.5639919221","-0.2738497057","-0.1041279076","-0.2358458301","-0.3004765264"," 0.0979722109","-0.2934400150","-0.3490044340"," 0.1003707365","-0.0901410444","-0.2341711876","-0.0007784211","-0.2237714413","-0.2144451801"," 0.0692581235"," 0.3659433979"," 0.5855187195"," 0.3097134109"," 0.2658488291"," 0.0788038406","-0.1883782302","-0.0148916948","-0.2035525823"," 0.1596201758"," 0.2591023599","-0.0099711828"
