"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","X9.1","X9.2","X9.3","X9.4","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M697.459T1191.472","-0.450542152","-0.831439061","-0.708362837","-0.259653738"," 0.092071490","-0.531818064"," 1.472440748","-0.518439736","-0.863564284","-0.416818623","-1.052268903"," 0.040891618","-0.289173425","-0.266421723"," 0.196741422"," 0.082478094"," 0.370885811"," 0.759344326"," 0.793018253"," 0.338786970"," 0.260646322"," 0.184566405"," 0.001490886"," 0.261590501"," 0.592556219"," 0.224426403"," 0.516567077"
"M695.447T1189.727","-0.45409538","-0.35900913","-0.15040006","-0.21304353","-0.10826501","-0.34833005"," 0.21660239","-0.33065351","-0.23579635","-0.13097226","-0.41831659","-0.22960773","-0.28481641","-0.38472165"," 0.05143000"," 0.26736162"," 0.24714297"," 0.57373524"," 0.79176029"," 0.09712763"," 0.03599584"," 0.09197272","-0.08853606"," 0.03271375"," 0.47553717"," 0.50154314"," 0.35364097"
"M917.581T1308.231","-0.343087968","-0.148747093"," 0.373089828","-0.148912182","-0.008363836","-0.073812377"," 0.434052693","-0.400589013","-0.195732971","-0.819119402","-1.198951019","-0.052012209"," 0.355067607","-0.490185810"," 0.037490146","-0.221179997"," 0.146705517"," 0.012106274"," 0.659662199"," 0.694432241"," 0.049730942","-0.119281732"," 0.169498117","-0.109201129"," 0.429953619"," 0.827028637"," 0.140358916"
"M711.445T1221.644","-0.34495722","-0.39414956","-0.42065138"," 0.00361744"," 0.10417169","-0.41262746"," 0.31691867","-0.40409790","-0.62455412","-0.36619663","-0.60753630","-0.21716327","-0.24025181","-0.45506946","-0.03918665","-0.01384594"," 0.28952410"," 0.65742938"," 0.69718227"," 0.21485232"," 0.01477126"," 0.51200015","-0.06787892","-0.05957185"," 0.94870048"," 0.54830469"," 0.36026602"
"M557.468T1423.166","-0.40591427"," 0.60233675","-0.13441678"," 0.07126339","-0.35963994","-0.67378821","-0.50697648","-0.38371813","-0.29935602","-0.67027725","-1.25915988"," 0.38406205"," 0.14974733","-0.10092982"," 0.36694187","-0.34624882"," 0.18585889"," 0.32016837"," 0.78928652"," 0.43668543"," 0.12285138"," 0.28759600"," 0.35571720"," 0.12424272"," 0.57929941"," 0.29634548"," 0.06802281"
"M679.436T1338.726","-0.391354371","-0.509825746","-0.304481776","-0.152276457","-0.134106673","-0.357893386","-0.124202610","-0.576963680","-0.428117533","-0.793598920","-0.725757840"," 0.094215489","-0.214755919","-0.364891638","-0.004828941","-0.103794328"," 0.267023933"," 0.645604506"," 0.678569280"," 0.233065704"," 0.126819206"," 0.708519093"," 0.359892557"," 0.391032435"," 1.005894445"," 0.330863492"," 0.345349678"
"M589.459T1372.544","-1.08122864"," 0.27663842","-0.41867415"," 0.03717256","-0.10650689","-0.52881364","-0.05348951","-0.84133119","-0.56292425","-0.74691088","-1.49002908"," 0.20513989","-0.12513404","-0.68600180"," 0.48113420"," 0.03829079"," 0.20805729"," 0.72918372"," 0.77045568"," 0.34889479"," 0.30184388"," 0.55285032"," 0.54702656"," 0.35238761"," 0.84857882"," 0.51370859"," 0.42968096"
"M681.469T1408.485","-0.669099212","-0.681560626","-0.634245023","-0.177963546","-0.008302654","-0.403126346","-0.016367828","-0.565228145","-0.487024606","-0.692085577","-0.945395875"," 0.128117851","-0.386084490","-0.393300218"," 0.113111660","-0.073995992"," 0.235907113"," 0.747148409"," 0.657868696"," 0.202840977"," 0.278141592"," 0.752883159"," 0.499099084"," 0.791498918"," 0.946143567"," 0.380733735"," 0.400285377"
"M695.451T1225.817","-0.49826255","-0.42067342","-0.32450885","-0.24762417","-0.06835596","-0.36284689"," 0.16641703","-0.51036803","-0.36647304","-0.27312410","-0.51920922","-0.18719310","-0.31716736","-0.45488913","-0.05884533"," 0.10244810"," 0.15526297"," 0.61773019"," 0.66836546"," 0.36439889"," 0.08873746"," 0.54492622"," 0.11848102"," 0.16181820"," 0.90295468"," 0.35624433"," 0.36175661"
"M681.469T1389.183","-0.674149414","-0.681101733","-0.621222513","-0.129332170","-0.005013690","-0.463357531","-0.005369582","-0.548301545","-0.590678762","-0.707700703","-0.951046590"," 0.138146416","-0.363749206","-0.376322596"," 0.090738303","-0.046633121"," 0.248511483"," 0.760666957"," 0.674637168"," 0.217151114"," 0.283184216"," 0.775360724"," 0.527735046"," 0.692335914"," 0.958072250"," 0.396485008"," 0.400954557"
"M680.474T1439.81","-0.35070173","-0.45491646","-0.18723611","-0.38122959"," 0.01031669","-0.20467598","-0.08344097","-0.55670880","-0.48155420","-0.40634296","-0.61905236","-0.16902799","-0.16297464","-0.34966307","-0.13378556","-0.14514958"," 0.12118953"," 0.43850367"," 0.43644693"," 0.25572011"," 0.09608860"," 0.54650460"," 0.32408280"," 1.32356602"," 0.76790682"," 0.31522343"," 0.05091079"
"M574.467T1456.399"," 0.091889284","-0.834757593","-0.254741838","-0.229338961","-0.062107495","-0.381145204","-0.108231585","-0.304217864","-0.826858936","-0.467259718","-1.381638168"," 0.144122764","-0.266639321","-0.009226696"," 0.456260904","-0.070515669"," 0.166105997"," 0.621721970"," 0.419132218"," 0.374708775"," 0.118320515"," 0.743896028"," 0.572055804"," 0.349897388"," 0.642457444"," 0.148759007"," 0.347350951"
"M565.421T1295.888","-0.42293641","-0.48264686","-0.50375897","-0.19249136"," 0.02938749","-0.35932918"," 0.34495706","-0.69704913","-0.25272470","-0.76239776","-0.91626846"," 0.13115379","-0.25995202","-0.07379114"," 0.11503539","-0.08175426"," 0.36079654"," 0.38435483"," 0.52917305"," 0.15458770"," 0.26462351"," 0.58704857"," 0.11030773"," 0.73267821"," 0.71873852"," 0.15435377"," 0.38790409"
"M681.474T1424.253","-0.65427771","-0.59799979","-0.55937887","-0.11299344","-0.05530633","-0.48486379","-0.41908447","-0.59130019","-0.52997323","-0.60474448","-0.78796565"," 0.18318515","-0.35698650","-0.38544271"," 0.06147372","-0.10642054"," 0.21039672"," 0.74573611"," 0.66689770"," 0.20301733"," 0.28231851"," 0.76922397"," 0.55101192"," 0.84243965"," 0.96233566"," 0.36928009"," 0.39942116"
"M679.452T1355.733","-0.40518743","-0.55846628","-0.35036723","-0.07458451","-0.15392077","-0.37576671","-0.16766928","-0.62650499","-0.44840508","-0.50467163","-0.75018303"," 0.05367931","-0.25943753","-0.41158760","-0.01273827","-0.10521057"," 0.33319073"," 0.64140918"," 0.60718104"," 0.30289424"," 0.12128057"," 0.70270235"," 0.36259877"," 0.37619248"," 0.98856352"," 0.39023317"," 0.32477556"
"M713.46T1208.68","-0.14666657","-0.86075488","-1.34810049","-0.23780513"," 0.45552807","-0.64762480"," 0.36685300","-0.61667650","-0.49243896","-0.71753483","-0.11876170","-0.07814429","-0.68417168","-0.20623907"," 0.26573491"," 0.09679270"," 0.24135001"," 0.97967435"," 1.08482515"," 0.16753477"," 0.40561999"," 0.44203592","-0.29895707"," 0.31509554"," 0.65172282"," 0.31557848"," 0.66553028"
"M711.444T1322.388","-0.305296156","-0.246953431","-0.278502160","-0.021280932","-0.003058596","-0.285708035"," 0.141686291","-0.465382318","-0.366518065","-0.415200880","-0.614808265","-0.091058592","-0.252097980","-0.360150356","-0.111278671","-0.096597191"," 0.210732553"," 0.547652638"," 0.678171673"," 0.123656328","-0.056812779"," 0.484762818"," 0.127080911"," 0.096410834"," 0.816460811"," 0.426997088"," 0.317092460"
"M637.414T1384.421","-0.33739946","-0.54902959","-0.42328401","-0.04185135","-0.05310098","-0.18521661"," 0.03261595","-0.42724346","-0.32133182","-0.17754625","-0.77867910","-0.15664463","-0.29083479","-0.13685323"," 0.20064391"," 0.01117742"," 0.09624500"," 0.45810174"," 0.41755515"," 0.10985291"," 0.22769864"," 0.45835151"," 0.27456580"," 0.36893473"," 0.66205037"," 0.25757772"," 0.30364443"
"M637.411T1406.122","-0.35352411","-0.44753195","-0.39165955","-0.06834620","-0.24623699","-0.17960329","-0.13258600","-0.29710677","-0.36357545","-0.23494394","-0.82190352","-0.08900533","-0.22028237","-0.13531345"," 0.10741629","-0.01050788"," 0.22449204"," 0.46197698"," 0.41556500"," 0.07970178"," 0.23215759"," 0.46926165"," 0.31648389"," 0.42922851"," 0.66911652"," 0.32190019"," 0.26482636"
"M729.452T1109.944","-0.23322209","-0.58644642","-0.46379209","-0.10366513"," 0.08996231","-0.16908824"," 0.76803895","-0.77059551","-0.61146674","-0.40833860","-0.86921680","-0.21382216","-0.30938915","-0.36611874"," 0.02415997"," 0.58366960"," 0.23685941"," 0.85914618"," 0.79995673"," 0.22405994","-0.08734718"," 0.19025266","-0.19292030"," 0.20207923"," 0.74556733"," 0.22979843"," 0.43187841"
"M571.365T1456.373","-0.163016718","-0.349765687","-0.333526340","-0.537578569"," 0.009543592","-0.551902895"," 0.140856845","-0.001948573","-0.121001654","-0.486637315","-0.538304171","-0.039900581","-0.210929547","-0.171019578"," 0.278823665"," 0.200133215","-0.053023046"," 0.313514873"," 0.431974933"," 0.336727901"," 0.072241554"," 0.496731134"," 0.276856254"," 0.058729702"," 0.409345024"," 0.207561571"," 0.325514412"
"M865.579T1358.969","-0.78541396","-1.65128574","-1.64409144","-0.33026630"," 0.71638034","-0.23903152"," 0.47918953"," 0.37914051","-0.67504174"," 0.07772012","-0.61056462","-1.66887980","-0.58885863"," 0.72055772"," 0.30872060"," 0.78328170"," 0.41307270"," 0.57564362"," 0.05369252"," 1.38531803"," 0.42481555","-0.12578071"," 0.07201684"," 0.60121322"," 0.44542375"," 0.48763879"," 0.39538892"
"M867.584T1358.969"," 0.21976771"," 0.11420473","-0.83824153","-1.07209509"," 0.38405647","-0.14713727"," 0.55637147"," 0.26062044","-1.01434062"," 0.05866213","-0.77602655","-0.71291679"," 0.34004373","-0.25115459"," 0.62717286"," 0.42058673"," 0.47399995"," 0.87948092"," 0.93779841"," 0.68673511"," 0.39639541","-0.75742132"," 0.17363991","-1.98843177"," 0.43520716"," 0.34446234"," 0.24856004"
"M682.472T1373.006","-0.76322674","-0.65280871","-0.51262713","-0.18395647","-0.07713691","-0.50174850"," 0.26901492","-0.46490247","-0.68094791","-0.67917356","-0.83292558"," 0.21140100","-0.46896803","-0.42379087"," 0.03037425","-0.05177659"," 0.36194228"," 0.71468847"," 0.73724289"," 0.09540973"," 0.26685434"," 0.76280784"," 0.55625057"," 0.58743073"," 0.89852178"," 0.31456408"," 0.48748659"
"M589.459T1264.044","-0.69255311","-0.64103432","-0.61652144","-0.13593227"," 0.02217668","-0.62675378"," 0.80829805","-0.24782757","-1.50832632","-0.45040894","-0.84729131","-0.20473786","-0.36532941","-0.22207714"," 0.64889397"," 0.45136885"," 0.45748331"," 0.59993225"," 0.63727289"," 0.42050401"," 0.23669806"," 0.37077342"," 0.47603518"," 0.05705724"," 0.72174832"," 0.31169624"," 0.33885500"
"M633.478T1401.37","-0.49955891","-0.37479712","-0.25552520"," 0.03621102","-0.19260622","-0.28147385","-0.14866085","-0.45420443","-0.31518014","-0.41527563","-1.30989063"," 0.34151668","-0.03556205"," 0.01357827"," 0.50726748","-0.09908526"," 0.40133982"," 0.22506400"," 0.52804955"," 0.20036528","-0.01007801"," 0.25138168"," 0.39915893"," 0.65104651"," 0.39413877"," 0.19375649"," 0.24902381"
"M646.455T1423.013","-0.438249485","-0.659138578","-0.323224286","-0.217285343"," 0.064966122","-0.479444273","-0.454649848","-0.418857189","-0.325465130","-0.537790464","-0.917452697"," 0.082971494"," 0.009104695","-0.145879443"," 0.427764464","-0.063205242"," 0.146853763"," 0.488100935"," 0.396557381"," 0.220532681","-0.029830610"," 0.811967051"," 0.454543220"," 0.281963986"," 0.868739565"," 0.572150510"," 0.184256723"
"M637.412T1422.711","-0.37620155","-0.50203741","-0.38310403","-0.06781216","-0.10592557","-0.18177066","-0.19846342","-0.29156116","-0.31339777","-0.25897700","-0.81671783","-0.08850609","-0.31115420","-0.13788917"," 0.17696525","-0.02212350"," 0.24573993"," 0.44375765"," 0.42098173"," 0.05124090"," 0.26351477"," 0.48371823"," 0.32790493"," 0.44490735"," 0.63099513"," 0.28499932"," 0.28091634"
"M591.474T1330.445","-0.61273020","-0.59209284","-0.50732594","-0.17358028","-0.04092370","-0.80815961"," 0.30629677","-0.55788638","-0.25342904","-0.37446702","-1.35745033"," 0.25461026","-0.35120285","-0.01739910"," 0.42240647","-0.01926898"," 0.39442146"," 0.47263008"," 0.49988451"," 0.29219107"," 0.26850096"," 0.53264820"," 0.53274301"," 0.50009463"," 0.65754859"," 0.18798154"," 0.34395869"
"M645.45T1333.909","-0.379387532","-0.601471732","-0.260984835","-0.056908605","-0.061372666","-0.228690543"," 0.372554737","-0.570510059","-0.288581809","-0.239094752","-0.596166772"," 0.007879835","-0.377122190","-0.292205708"," 0.234229312"," 0.059331449"," 0.394192643"," 0.273877588"," 0.454999661"," 0.367310612","-0.014030771"," 0.486286842"," 0.111144556"," 0.205145509"," 0.531020555"," 0.253563677"," 0.214990998"
"M593.485T1401.37","-0.633831415","-0.526612230","-0.343308485","-0.031668876","-0.149506714","-0.358644980"," 0.006758586","-0.302727877","-0.050854078","-0.386069060","-1.172018722"," 0.243950428","-0.195851831"," 0.184739463"," 0.367854332","-0.073235763"," 0.156397438"," 0.183976561"," 0.323585399"," 0.357494396"," 0.174209828"," 0.386208895"," 0.435790118"," 0.581328192"," 0.424546547"," 0.020117309"," 0.377372538"
"M591.474T1402.346","-0.55939755","-0.55453779","-0.44169450","-0.16185941","-0.06493722","-0.80506271"," 0.20866827","-0.52099765","-0.28533786","-0.38767054","-1.37060899"," 0.24270793","-0.31329718"," 0.02997255"," 0.40734201","-0.10614309"," 0.41651264"," 0.44035901"," 0.51944977"," 0.28212453"," 0.26431297"," 0.54068674"," 0.51061164"," 0.53096743"," 0.65954131"," 0.19003968"," 0.32824799"
"M645.458T1212.039","-0.332020184","-0.536784086","-0.190142045","-0.045744328","-0.022473061","-0.197371763"," 0.521291441","-0.499411028","-0.290067860","-0.136922042","-0.657102669","-0.008185867","-0.354452667","-0.249678528"," 0.235570442"," 0.019398659"," 0.556063902"," 0.261534000"," 0.280650138"," 0.426622071","-0.081553728"," 0.319140371"," 0.040565150"," 0.012844454"," 0.489323448"," 0.270214069"," 0.168691710"
"M555.363T1275.021","-0.20820414","-0.20243373","-0.69932981","-0.72026990","-0.08281161","-0.56434549"," 0.83068214"," 0.65073917","-0.19765048","-0.36518881","-0.63988520","-0.24573084","-0.45311555","-0.28146265"," 0.06927710"," 0.13241906"," 0.25727668"," 0.75153576"," 0.30294092"," 0.63385778"," 0.11857482"," 0.12302613"," 0.08541337","-0.06968321"," 0.37427161"," 0.22143833"," 0.17865853"
"M670.528T1488.279","-0.52530871","-0.46656263","-0.40209500","-0.05318065"," 0.08021098","-0.30016504","-0.37278584","-0.43867382","-0.43207692","-0.60898481","-0.59242870"," 0.24022908","-0.25642445","-0.35640492"," 0.11552725","-0.03686205"," 0.21677794"," 0.44869960"," 0.45636686"," 0.05410918"," 0.29322309"," 0.77093767"," 0.53413896"," 0.38726504"," 0.81579974"," 0.21608536"," 0.21258280"
"M679.449T1212.039","-0.2974621625","-0.9157780877","-0.4671603134","-0.2899931415","-0.0947282227","-0.1517111444"," 0.2550559238","-0.3000150782","-0.3860763448","-0.0324541123"," 0.0729333659","-0.3035471352","-0.2821622805","-0.3498062956"," 0.1437844340","-0.0217995584"," 0.1728347428"," 0.5584380229"," 0.6364796409"," 0.2489134887"," 0.0004336284"," 0.3754958416"," 0.0677388968"," 0.0830387665"," 0.7691115667"," 0.2709430777"," 0.2374924803"
"M697.464T1209.593","-0.4487508","-0.4703803"," 0.2470210","-0.0685274","-0.2777409","-0.5066670"," 0.6263239","-0.7198849","-0.1858308","-1.2113004","-0.8851363"," 0.3592593","-0.1240109","-0.4589269","-0.2448814","-0.2317047"," 0.5228297"," 0.5955094"," 0.5295704"," 0.3024943"," 0.0849061"," 0.5314102"," 0.2486148"," 0.2822118"," 0.6216549"," 0.4385973"," 0.4433394"
"M985.571T1146.934"," 0.22420831","-0.33036378"," 0.23745268","-0.03956339"," 0.22370422"," 0.29734186"," 0.61646074"," 0.17824768","-0.21866372"," 0.39708617","-0.37523682","-0.17504673"," 0.05538850"," 0.20930279","-0.05774592"," 0.31548975"," 0.43812332","-0.02202146","-0.52689937"," 0.08500320"," 0.07439822","-0.41208200","-0.29543368","-0.49987461","-0.27206568"," 0.03510770","-0.16231797"
"M565.409T1275.021","-0.363209488","-0.474356443","-0.454135397","-0.230299159"," 0.018802060","-0.426276310"," 0.660628906","-0.664679646","-0.316438726","-0.529660257","-0.922492689"," 0.082239172","-0.245064378","-0.214687345"," 0.043633302","-0.006611709"," 0.285917915"," 0.389628147"," 0.458086904"," 0.184268603"," 0.241020329"," 0.512581021"," 0.066126389"," 0.683756237"," 0.692778392"," 0.130879032"," 0.397565137"
"M698.466T1253.346","-0.477977881","-0.464932157"," 0.166746275"," 0.005868364","-0.185008277","-0.401181213"," 0.444431205","-0.784299978","-0.296233171","-0.788191609","-0.826369288"," 0.342775102","-0.150174376","-0.796513287","-0.121166000","-0.136329516"," 0.396191982"," 0.578033912"," 0.572765643"," 0.355616009"," 0.019702152"," 0.577811482"," 0.307705405"," 0.146354233"," 0.700389410"," 0.375189831"," 0.438795749"
"M661.446T1372.452","-0.55935658","-0.56550577","-0.28606581","-0.03814994","-0.26242941","-0.38610836","-0.09435352","-0.52664146","-0.13696162","-0.36818722","-0.63481388"," 0.06445526","-0.26414780","-0.13901300","-0.07231935","-0.06724191"," 0.35157908"," 0.45197673"," 0.54568281"," 0.21209408"," 0.01444076"," 0.61251001"," 0.28180993"," 0.19204419"," 0.88923458"," 0.33794175"," 0.44752645"
"M695.45T1338.973","-0.507513562","-0.315626951","-0.389131822","-0.265782136","-0.003426671","-0.427620613","-0.402326847","-0.488179818","-0.379573165","-0.402944494","-0.686864068","-0.044032406","-0.289257287","-0.375712982","-0.121512146"," 0.067724483"," 0.135561564"," 0.709057792"," 0.641358890"," 0.177108151"," 0.155746471"," 0.749573118"," 0.302520120"," 0.414387483"," 1.014784394"," 0.285771725"," 0.445910778"
"M593.49T1490.213","-0.67604559","-0.49078009","-0.30441864","-0.01264617","-0.13837037","-0.33106163","-0.15822900","-0.32280455","-0.03400714","-0.36795427","-1.10545333"," 0.26220903","-0.17125452"," 0.18064231"," 0.31900427","-0.08862141"," 0.13488029"," 0.16319586"," 0.34377603"," 0.35929784"," 0.17202618"," 0.36968373"," 0.45700378"," 0.63369939"," 0.42977147"," 0.01724781"," 0.35920872"
"M593.489T1431.043","-0.65586294","-0.54834191","-0.36490796","-0.05440469","-0.12591511","-0.35651385"," 0.11270847","-0.32518166","-0.03745076","-0.35677498","-1.16284141"," 0.22202262","-0.21812840"," 0.19138881"," 0.34638870","-0.05009422"," 0.16277568"," 0.17765023"," 0.34046998"," 0.33503285"," 0.18733844"," 0.37738152"," 0.41339186"," 0.60787010"," 0.41224913"," 0.01384990"," 0.35589958"
"M639.424T1291.55","-0.14505170","-0.84912378","-0.19994026","-0.17581710","-0.01734413","-0.22352879"," 0.70883649","-0.47733152","-0.41144444","-0.22352943","-1.08994814"," 0.09769934","-0.15414459","-0.45090448"," 0.23942630"," 0.24310996"," 0.46523522"," 0.39096679"," 0.20838551"," 0.13407734","-0.04369228"," 0.26489729"," 0.38406253"," 0.38743130"," 0.32713208"," 0.28745034"," 0.32309014"
"M591.473T1440.13","-0.556342832","-0.450749857","-0.346861365","-0.068281778","-0.057398076","-0.823580228"," 0.058884165","-0.523858624","-0.232883385","-0.367991063","-1.449519314"," 0.355542140","-0.316777445"," 0.009559044"," 0.391698940","-0.129779339"," 0.314225384"," 0.410979431"," 0.467114935"," 0.307417773"," 0.209202279"," 0.644646174"," 0.536162444"," 0.417629967"," 0.697336336"," 0.151508798"," 0.352115498"
"M590.465T1389.456","-0.27691301"," 0.11013401","-0.69979941","-0.08887354"," 0.10004969","-0.70122082"," 0.08339730","-0.51368353","-0.60972261","-0.86508926","-1.71634134"," 0.35054739"," 0.12449043","-0.01054354"," 0.42724697"," 0.09856956"," 0.23750594"," 0.61913885"," 0.47404910"," 0.21606319"," 0.13838881"," 0.62678112"," 0.55645651"," 0.26968010"," 0.64237057"," 0.33353018"," 0.07378733"
"M631.469T1330.308","-0.37851672","-0.83540966","-0.52024480","-0.14952159","-0.18313004","-0.20212321"," 1.09379438","-0.55394423","-0.18615546","-0.47360093","-1.05801756"," 0.11825279","-0.40635155"," 0.17556716"," 0.51220763"," 0.25402277"," 0.96730604"," 0.37734739"," 0.58300473"," 0.04122182"," 0.13532514"," 0.16696907"," 0.17898489"," 0.13881671"," 0.23331729"," 0.03183974","-0.06096179"
"M637.415T1439.736","-0.34676015","-0.42096119","-0.34674923","-0.07124745","-0.10935564","-0.18408014","-0.24203614","-0.23193146","-0.37596138","-0.29983269","-0.86711751","-0.07369790","-0.31333400","-0.11320446"," 0.21400308","-0.03295337"," 0.22819388"," 0.45259674"," 0.42228602"," 0.03677813"," 0.26361193"," 0.38681533"," 0.23510234"," 0.49334508"," 0.63503236"," 0.32973551"," 0.33172233"
"M711.441T1125.643","-0.490754576","-0.375803139","-0.277849006","-0.091126681"," 0.180565277","-0.197437001"," 0.681557503","-0.533531800","-0.358951673","-0.163044698","-0.468628775","-0.447935340","-0.163439364","-0.312649268","-0.144050746"," 0.409322673"," 0.121991771"," 0.800755550"," 0.723252461"," 0.389861978","-0.173112351"," 0.126364301"," 0.021889136","-0.004770708"," 0.437475075"," 0.482484117","-0.172434717"
"M646.453T1439.754","-0.43845488","-0.36041545","-0.21009800"," 0.08907531","-0.06943802","-0.18108531","-0.43885006","-0.56885180","-0.28292561","-0.32213978","-0.74567370"," 0.07741206","-0.16219493","-0.26199109"," 0.23842660","-0.03910304"," 0.39804622"," 0.25753298"," 0.37881618"," 0.21950645"," 0.01119925"," 0.63554794"," 0.28038420"," 0.31300291"," 0.48642410"," 0.34471771"," 0.35112976"
"M926.605T1358.969","-0.54665737"," 0.30126985","-0.52381156"," 0.14668309","-0.41455167","-0.36021593","-0.87096953","-0.48179582","-0.22982989","-0.92635824","-0.56239325","-0.54922406"," 0.38213677"," 0.10774077"," 0.37493468","-0.41461209"," 0.27598700"," 0.09029495"," 0.43040888"," 0.84369439"," 0.20884663"," 0.29325948"," 0.59828208"," 0.54773454"," 0.20264339"," 0.47902382"," 0.59747907"
"M651.516T1408.532","-0.574328674","-0.492557348","-0.218141893"," 0.152485315","-0.234764520","-0.530393965"," 0.037565470","-0.377088972","-0.008360903","-0.611955473","-1.666418071"," 0.438640192"," 0.050430262","-0.041285261"," 0.355648508","-0.044788246"," 0.552498573"," 0.471213077"," 0.441256435"," 0.286681325"," 0.085983555"," 0.385804450"," 0.346289752"," 0.280688035"," 0.504419997"," 0.251650395"," 0.158827986"
"M593.49T1557.453","-0.668969015","-0.519918785","-0.328978767","-0.014952299","-0.148601941","-0.373794311"," 0.174185931","-0.316171926","-0.039172037","-0.386497485","-1.075601697"," 0.250529698","-0.213503058"," 0.174482417"," 0.309043535","-0.113905028"," 0.106332151"," 0.161143287"," 0.324695363"," 0.344397576"," 0.175620635"," 0.368308819"," 0.420725025"," 0.620410497"," 0.404899636"," 0.008574263"," 0.356717517"
"M574.468T1330.445","-0.30410360","-0.89451623","-0.38120000","-0.23779221","-0.06524825","-0.32648731"," 0.43194715","-0.43507117","-0.48939284","-0.43061911","-1.49667810"," 0.18071949","-0.44940212"," 0.21741274"," 0.49140941"," 0.08211507"," 0.33544004"," 0.44196778"," 0.60000991"," 0.39893172"," 0.15287180"," 0.44566244"," 0.55835605"," 0.22903668"," 0.57215991"," 0.14096011"," 0.23151063"
"M668.492T1305.416","-0.23094649","-0.59608537","-0.38343915"," 0.12571647","-0.02503805","-0.36447746"," 0.63871407","-0.21179235","-0.87983101","-0.43198270","-1.55925394"," 0.31567367","-0.03610671","-0.26991920"," 0.13882276"," 0.01274878"," 0.54176078"," 0.28233001"," 0.59818834"," 0.13448016"," 0.04116838"," 0.53169922"," 0.28856637"," 0.33714894"," 0.37552462"," 0.22489950"," 0.40143037"
"M587.442T1269.605","-0.10247108","-0.67381973","-0.40009521","-0.24539696"," 0.03999242","-0.05336131"," 0.91525293","-0.50042680","-0.58132132","-0.25752964","-0.82013179","-0.30601812","-0.25256377","-0.10771731"," 0.32586438"," 0.56760519"," 0.61988344"," 0.33540546"," 0.55204572"," 0.19450142"," 0.03159421"," 0.13883332"," 0.02741447"," 0.09222441"," 0.40863398","-0.17966286"," 0.23126452"
"M711.566T1557.453","-0.467178424","-0.250905525","-0.307460930"," 0.526200325","-0.027583520","-0.300060467","-0.423403249","-0.360671634","-0.218693912","-0.681617154","-0.258656457"," 0.523182626","-0.341668949","-0.009023063","-0.107810280","-0.213532659","-0.107158174"," 0.145645141"," 0.357652954","-0.050860049","-0.049245383"," 0.519791430"," 0.078195561"," 1.503701983"," 0.127045604","-0.124834837"," 0.518949039"
"M648.466T1423.012","-0.61022915","-0.79688647","-0.59075909","-0.03731954","-0.13390325","-0.26821964","-0.13598052","-0.56745583","-0.39064921","-0.60707194","-1.06274446"," 0.25458078","-0.23119482","-0.14840814"," 0.39001343","-0.04944427"," 0.38324262"," 0.47383724"," 0.62848933"," 0.22763610"," 0.13464938"," 0.70014239"," 0.45877605"," 0.58183117"," 0.75611037"," 0.18556250"," 0.45539498"
"M639.422T1278.929","-0.16550874","-0.85165592","-0.29742909","-0.18472935","-0.05609534","-0.32528168"," 0.58835683","-0.43353562","-0.38292152","-0.28762442","-0.92239398"," 0.13300694","-0.22876847","-0.19495102"," 0.16714646"," 0.13841600"," 0.41093190"," 0.48219517"," 0.37141163"," 0.12630551"," 0.01689483"," 0.31476415"," 0.38444873"," 0.29825723"," 0.31732779"," 0.26683202"," 0.31459995"
"M697.259T909.874","-0.318842518","-1.230168054","-0.163725751","-0.278499531","-0.115322848","-0.198232120"," 0.034319754"," 0.242772131","-0.015114227"," 0.471158947","-0.037432683","-0.085585147","-0.117570842"," 0.006715459","-0.053673242","-0.176685809"," 0.083214156"," 0.481505228"," 0.294883587"," 0.271130345"," 0.337113441","-0.229607404"," 0.370103110"," 0.134783148"," 0.094786746"," 0.116316177"," 0.081657950"
"M593.49T1539.529","-0.62979387","-0.48065263","-0.30661306"," 0.01175743","-0.12234438","-0.35181493","-0.29477206","-0.30179729","-0.01199360","-0.37932256","-1.06201540"," 0.28139513","-0.17319905"," 0.18148226"," 0.30792909","-0.08571557"," 0.06884879"," 0.17505299"," 0.32911926"," 0.38510371"," 0.19553084"," 0.33699072"," 0.45016061"," 0.63509645"," 0.43553465"," 0.02047206"," 0.38556043"
"M711.565T1605.092","-0.45243656","-0.19705562","-0.29448207"," 0.52965998","-0.01758903","-0.28731694","-0.66385108","-0.34691144","-0.20696652","-0.66452641","-0.24588184"," 0.52657099","-0.32835223","-0.03533057","-0.09734742","-0.19901896","-0.09290759"," 0.15314172"," 0.36273937","-0.04098174","-0.03945899"," 0.52300503"," 0.08657068"," 1.49062421"," 0.13501609","-0.11396252"," 0.51704946"
