"",f.value,p.value,-log10(p),FDR,Fisher's LSD
M1017.391T843.183,5.5618,0.0013303,2.8761,0.0089577,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought
M472.315T1401.37,5.5546,0.0013402,2.8728,0.0089577,First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - Second-tp_Control
M471.317T1423.334,5.5353,0.0013669,2.8643,0.0089577,Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Drought; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas
M984.394T881.272,5.5275,0.0013779,2.8608,0.0089577,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control
M593.489T1431.043,5.5273,0.0013781,2.8607,0.0089577,First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M449.347T1490.033,5.5211,0.0013868,2.858,0.0089577,Second-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Drought; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M591.474T1330.445,5.5184,0.0013907,2.8568,0.0089577,First-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M640.427T1423.35,5.4925,0.0014282,2.8452,0.0091102,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas
M623.426T1405.986,5.4069,0.0015604,2.8068,0.0097871,First-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M574.468T1330.445,5.4028,0.001567,2.8049,0.0097871,First-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Drought - First-tp_Fusarium; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M593.49T1557.453,5.3874,0.0015923,2.798,0.0097871,First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M883.336T936.403,5.3864,0.0015939,2.7975,0.0097871,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control
M621.422T1439.586,5.3713,0.0016191,2.7907,0.0098494,First-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M455.314T1423.012,5.3075,0.0017307,2.7618,0.010432,First-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M591.473T1440.13,5.2948,0.001754,2.756,0.01044,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M555.365T1404.858,5.2894,0.0017639,2.7535,0.01044,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas
M679.449T1212.039,5.2789,0.0017834,2.7487,0.010462,First-tp_Drought - First-tp_Control; Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Drought - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas
M663.458T1406.394,5.2641,0.0018114,2.742,0.010532,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought
M471.314T1308.231,5.2544,0.00183,2.7375,0.010547,First-tp_Drought - First-tp_Control; Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Drought; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Control - First-tp_Xanthomonas; Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas
M910.351T957.42,5.2438,0.0018505,2.7327,0.010572,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - Second-tp_Control; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control
M549.428T1523.962,5.2303,0.0018772,2.7265,0.010632,Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought
M676.501T1423.01,5.2191,0.0018996,2.7213,0.010667,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas
M1038.388T940.951,5.1611,0.00202,2.6947,0.011247,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control
M621.419T1456.849,5.1482,0.002048,2.6887,0.011275,First-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M654.545T1540.694,5.143,0.0020593,2.6863,0.011275,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Control
M476.38T1456.538,5.1284,0.0020916,2.6795,0.011357,Second-tp_Control - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Xanthomonas - Second-tp_Drought
M471.315T1439.847,5.074,0.0022169,2.6542,0.011939,Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas
M461.356T1493.495,5.0496,0.0022759,2.6428,0.012157,Second-tp_Control - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Xanthomonas
M986.389T942.609,5.0391,0.0023019,2.6379,0.012196,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control
M594.494T1539.529,5.0224,0.0023437,2.6301,0.012275,First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M974.38T936.403,5.0183,0.0023541,2.6282,0.012275,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control
M555.366T1440.123,4.9965,0.0024101,2.618,0.012447,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas
M670.537T1352.626,4.9908,0.002425,2.6153,0.012447,Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas
M849.321T917.809,4.9668,0.0024888,2.604,0.012676,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - Second-tp_Control
M608.454T1439.392,4.9502,0.0025342,2.5962,0.012807,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M547.366T1373.389,4.9378,0.0025686,2.5903,0.012882,Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Xanthomonas; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas
M1070.417T942.609,4.9268,0.0025996,2.5851,0.012939,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control
M956.379T959.199,4.9045,0.0026635,2.5745,0.012999,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control
M926.605T1358.969,4.9026,0.0026691,2.5736,0.012999,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Xanthomonas - First-tp_Drought; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M654.545T1490.203,4.9019,0.0026711,2.5733,0.012999,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Control
M555.366T1352.626,4.8795,0.0027375,2.5626,0.013224,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Drought - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Xanthomonas; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas
M832.307T992.353,4.867,0.0027753,2.5567,0.013309,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Fusarium - First-tp_Drought; Second-tp_Drought - First-tp_Drought; First-tp_Fusarium - Second-tp_Control; Second-tp_Drought - First-tp_Xanthomonas; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control
M438.146T926.75,4.8573,0.0028051,2.5521,0.013355,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Fusarium - Second-tp_Control; First-tp_Xanthomonas - Second-tp_Control; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control
M547.402T1437.709,4.8336,0.0028789,2.5408,0.013608,Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; First-tp_Xanthomonas - Second-tp_Control; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control
M565.409T1275.021,4.8154,0.0029373,2.532,0.013701,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas
M664.46T1406.422,4.8145,0.0029403,2.5316,0.013701,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Drought
M571.455T1406.584,4.8006,0.0029855,2.525,0.013764,First-tp_Control - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Xanthomonas
M847.517T1163.004,4.7975,0.0029959,2.5235,0.013764,First-tp_Drought - First-tp_Control; Second-tp_Control - First-tp_Control; First-tp_Drought - Second-tp_Drought; First-tp_Drought - Second-tp_Fusarium; First-tp_Drought - Second-tp_Xanthomonas; Second-tp_Control - First-tp_Fusarium; Second-tp_Control - First-tp_Xanthomonas; First-tp_Xanthomonas - Second-tp_Fusarium; Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas
M621.422T1335.803,4.7902,0.00302,2.52,0.013779,First-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Drought - First-tp_Fusarium; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium
M593.489T1519.555,4.7825,0.003046,2.5163,0.013801,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas
M984.382T940.951,4.7576,0.0031312,2.5043,0.01409,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control
M587.444T1372.394,4.7346,0.0032123,2.4932,0.014316,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; First-tp_Drought - First-tp_Fusarium; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Xanthomonas; Second-tp_Fusarium - First-tp_Xanthomonas
M862.322T959.199,4.731,0.003225,2.4915,0.014316,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought
