"",Label,Sodium_Formate,M367.151T397.982,M536.899T13.11,M664.853T17.893,M768.855T17.124,M774.824T18.125,M830.837T11.111,M831.338T16.12,M848.827T17.121,M882.812T18.125,M883.492T15.092,M908.151T15.062,M970.794T18.128,M970.807T12.104,M991.807T13.109,M996.798T17.124,M1026.791T12.104,M1030.792T17.119,M1053.787T16.896,M1058.286T17.121,M1094.782T12.105,M1107.445T13.643,M1116.775T17.12,M1189.43T15.136,M1220.262T13.111,M1236.757T13.113,M1239.758T16.118,M1244.755T16.127,M1279.087T13.111,M1288.745T12.11,M1334.742T13.111,M1472.714T13.108,M1610.426T13.113,M1671.991T13.111,M1786.658T13.109
D12.1,dro_12,3998858.02,140700.308,14891.006,23128.217,45062.06,22736.962,25895.454,10699.776,26599.356,19091.102,13768.811,37275.624,12930.676,10679.944,23363.063,20400.123,10917.687,23054.958,13093.331,13386.958,9856.336,8455.29,9312.184,17514.886,11221.564,27436.543,11713.989,12978.82,21631.258,16561.115,14707.731,11491.731,12834.388,10911.994,10478.581
D12.2,dro_12,3805401.884,184738.739,12794.027,22658.505,61651.362,21072.324,23307.078,10574.617,23984.106,16349.448,12208.689,34832.489,12012.883,7629.514,18748.13,16524.828,9901.497,18599.156,11054.774,11035.665,7896.255,8173.739,7968.079,15755.705,11691.722,24316.64,10876.361,14505.928,18077.303,14432.076,13196.108,10764.691,12046.489,11915.691,10745.077
D12.3,dro_12,3801631.212,34684.447,13906.062,24557.452,51736.746,22128.186,25559.366,10706.05,26450.399,19233.528,13410.949,39049.505,12649.216,9304.287,22897.238,17504.517,11819.935,20330.459,13585.747,12970.29,11376.587,11885.55,12820.346,15835.186,13519.75,24675.575,11667.287,11789.262,19052.672,15890.421,13655.696,11252.358,13655.696,12275.482,10955.451
D12.4,dro_12,3974273.447,167624.171,11318.225,25751.022,58982.418,21839.322,27576.024,10428.925,26519.342,17785.196,13617.932,38479.573,13739.771,7640.293,24105.269,18623.353,10878.045,21549.422,12568.861,12898.58,12100.973,5576.68,10551.56,16688.942,12518.926,27123.597,11265.245,16455.51,20003.843,16012.165,14399.873,8822,15177.818,12683.358,10904.68
D15.1,dro_15,4037491.87,12077.454,22691.358,8838.436,41348.228,31269.756,24273.936,15702.127,20109.328,15502.75,11404.586,33341.791,13482.214,8526.964,20598.782,18729.387,9807.783,33617.388,9266.396,19867.834,9103.893,12926.053,9929.902,14672.245,10565.938,24962.15,11099.5,24034.373,19873.05,14667.76,12991.926,11646.878,12988.161,12214.102,10249.75
D15.2,dro_15,3920796.465,178744.289,12315.499,24640.763,59497.815,21708.477,25549.171,11622.075,22969.693,18600.635,12801.834,38194.938,15265.828,9290.243,22172.049,18281.27,10795.911,20005.145,11739.056,10146.365,11621.826,13598.922,9217.328,17872.158,16218.928,21043.477,11888.461,16124.393,18180.738,16935.253,14827.733,13691.941,13931.585,10286.576,9420.635
D15.3,dro_15,4069492.77,5802.907,24483.017,25233.474,44622.015,19339.803,24265.766,10593.902,20986.985,25275.667,13004.375,38884.791,10633.484,6706.243,23402.329,35557.408,10322.758,16324.683,8915.73,10297.574,11340.837,14127.066,10543.655,16929.834,12768.441,24520.633,11121.988,11336.796,19199.77,16251.891,13688.009,12075.491,15564.835,12154.465,10422.409
D15.4,dro_15,3868513.993,11124.518,14737.229,22492.08,53802.008,21687.246,21404.059,11689.453,26499.273,18603,12466.67,34403.216,12839.992,8456.848,21178.063,18450.432,10495.128,20177.004,11294.165,11575.364,10025.193,13590.104,11113.218,18943.811,13214.046,23010.701,11577.035,15612.935,19760.465,19436.426,14800.283,11977.073,14196.313,13044.556,10464.138
D9.1,dro_9,3927944.588,44277.586,14438.794,21755.07,51405.756,22149.318,24071.211,7376.597,25070.988,18065.701,11755.16,37040.79,12400.923,11658.94,22825.414,17933.025,11742.697,20257.948,12984.598,13034.988,8164.566,13197.288,9880.399,15634.698,15813.298,26146.204,10253.518,15277.294,20313.772,17891.201,14086.316,11914.018,14600.336,13270.444,10189.376
D9.2,dro_9,3923775.51,25094.232,14955.776,24042.567,62411.011,24350.804,26244.058,9652.574,25996.807,16002.515,12875.686,37738.733,12230.623,9270.713,22565.146,22418.769,10246.572,19835.239,11453.503,12182.873,8347.291,14280.202,10610.124,16372.04,13460.588,23734.41,9308.138,13715.75,21051.997,18073.969,15265.903,11613.167,15516.955,14732.859,10803.161
