"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"C12.1",43.329,19.683,0.80536,-6.3744,2.5704,3.5672,-2.2757,2.9765,-4.2183,1.9508,-0.37314,-6.3234,-1.8948,10.347,3.8143,0.55093,-1.1182,-0.57609,0.7133,1.2848,-0.057174,-0.16949,0.25638,0.018335,-0.24328,-0.15864,-0.001136,-0.21659,0.31777,-0.22956,-0.074261,-0.46315,-0.16688,-0.20019,0.48831,0.37299,-0.11711,0.025703,0.029036,-0.096828,0.28521,-0.020127,0.038594,-0.073596,-0.029864,0.24256,0.11336,0.033483,0.23237,-5.0394e-15
"C12.3",-5.9015,0.11162,2.0976,6.6899,5.6287,2.8289,-1.0124,4.8651,2.9395,-2.9729,-2.0933,1.8747,-1.0576,0.16189,2.2674,1.5056,0.8453,-6.2448,-3.8302,-2.2594,0.62326,2.4082,1.3899,1.3068,1.4278,0.057211,-3.2855,0.69591,0.80712,-0.031715,1.2197,-0.42009,1.0462,-0.02675,1.0732,-0.31787,0.26047,0.29988,1.2769,-1.3151,-0.16951,0.52552,-1.3792,-0.12256,0.88064,0.23625,0.67397,0.08169,-0.23264,1.2104e-15
"C12.4",-15.195,-5.0305,3.723,-1.7468,3.5842,-3.9247,0.82684,-1.9897,2.2568,2.6224,1.0324,-0.02492,-0.22029,1.6847,1.142,0.21468,-1.5778,-2.5623,1.6288,-4.7148,-1.4171,1.8348,-1.1433,0.65866,-0.2101,-1.2047,-0.73287,-3.3696,-3.8064,1.7115,-1.7794,1.7615,-0.015348,-0.43479,-0.5002,0.085017,-1.1947,0.23413,-0.54492,0.50337,-0.081423,-1.4763,0.72089,0.24761,-0.74931,0.46716,1.067,-0.8149,-0.47111,5.9371e-15
"D12.1",-16.676,-6.9572,-2.6017,-4.7308,-5.4248,1.4028,-1.132,-2.0887,-4.1265,-2.1297,-2.9491,0.33666,-0.34059,0.49803,-0.49144,0.21273,-0.18031,0.4633,-0.41736,0.58612,0.64663,-0.59067,-2.6916,-0.59604,-0.043815,-0.53835,-0.70342,-0.73856,-0.043051,3.3243,0.011754,0.46124,-1.7018,1.8683,0.75896,0.52032,2.1593,1.2382,-0.96641,-3.0433,0.61767,0.96556,1.0889,1.1577,1.3844,0.86208,1.0115,0.65742,-0.61635,1.0015e-14
"D12.2",-16.259,6.5908,-0.74337,-3.451,1.9196,1.6244,0.59899,-2.6893,4.603,-3.3641,-0.46193,0.03763,1.3315,0.22962,0.52334,-1.7999,-2.4612,0.76658,0.67699,-0.54443,1.5708,-1.6286,0.20576,1.0829,0.41668,-1.3232,-0.7344,0.57332,0.31635,2.2878,1.7591,-0.33634,-1.3652,-1.5818,-0.53689,2.3799,-2.1502,-2.1699,1.6069,-0.26159,-1.8396,-0.40449,1.3134,0.96495,1.5642,-0.79108,-1.0722,0.48632,0.79498,3.119e-15
"D12.3",-15.496,14.537,8.4987,4.5679,-3.9653,-5.1767,3.811,-4.6218,-4.3707,-0.80182,0.19671,-2.0843,-1.8294,-0.51465,-0.5212,0.15672,1.1692,0.41669,0.011052,-0.9658,2.0492,0.87966,-2.0938,0.31341,1.2592,0.78244,1.2371,-0.61805,2.4442,-0.12842,-0.30403,-0.053508,2.7275,-1.1306,-1.2976,-1.3531,1.3303,-1.5295,1.542,-0.64164,-0.63663,-0.46585,0.43453,1.4822,-0.48742,-0.88121,1.7849,-0.55861,0.35098,4.2198e-15
"D12.4",-14.891,-11.26,-3.9574,-2.1669,-5.3544,3.4549,-0.63596,1.6451,-2.8415,-1.8565,-0.96478,-0.1018,0.18549,-0.1803,1.7388,1.444,1.5398,1.552,-0.61782,2.2229,0.1006,0.040287,-0.31023,1.4098,0.5275,-0.20001,-2.988,0.77689,-0.95389,1.1588,-2.0579,0.008228,0.44876,-1.7939,-2.421,1.8871,0.31272,0.44615,2.21,1.7598,2.7102,0.74949,-0.45285,0.3841,-0.94233,-0.27475,-0.26017,-1.2241,-0.0146,2.6202e-15
"F12.1",-11.255,-2.2082,-6.627,-5.9738,4.9929,-4.7537,2.6903,-1.6219,0.1617,1.3779,-0.72004,0.13021,-1.3949,-1.1482,2.5781,1.9426,2.8968,-0.53417,-1.5248,1.6345,-1.8359,-0.85774,0.92609,1.9171,-1.5,0.15713,0.81464,-0.45197,0.4496,-0.098978,-0.18632,-1.1606,0.040458,-1.1784,-0.51275,-2.3233,-1.4958,2.8878,0.36253,-1.4542,-1.2752,1.5148,2.1444,0.24485,-0.37172,-0.014344,-0.9749,-1.0567,1.0248,4.118e-15
"F12.2",-15.298,-5.1734,-4.688,-5.8261,-2.8897,-2.2476,2.1652,-3.5417,-1.6734,0.91133,-1.3547,0.077067,-1.3115,0.36741,1.2245,1.1907,0.6519,-0.51334,0.62422,-1.7295,-0.51007,-1.3942,0.064523,-0.62981,-5.2658e-05,-0.70445,-2.4138,0.96146,2.2417,-2.2018,-1.4405,2.0469,1.8399,1.2857,-0.35311,-0.34416,-2.4147,-0.54713,-0.59548,-0.60556,1.3913,-0.72692,-0.089363,0.37547,-0.20236,0.10948,-1.1303,3.0899,-0.03785,6.8274e-15
"F12.3",43.305,-4.4547,-3.0938,-2.513,0.11185,-3.0846,-2.9129,-5.0733,1.7858,-4.222,1.999,1.7076,2.1366,5.3459,-8.6019,-1.7166,7.2427,-0.53041,-0.11332,-0.53268,-1.3424,1.134,1.0113,0.72159,0.051828,0.40626,-0.58398,-0.096132,0.41519,0.163,-0.10191,-0.15747,-0.011308,-0.26871,-0.18563,0.38233,-0.20726,0.04926,0.044613,-0.014203,-0.042789,-0.046972,-0.047208,-0.029802,0.082399,-0.059956,0.14482,0.012692,-0.0002914,-1.0123e-14
