"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"D15.3",51.403,-5.2639,2.2293,-0.71327,-5.6397,-2.8884,-1.9511,-1.1553,4.1473,5.8666,-5.2084,3.0355,-7.4239,-1.4152,2.2748,-6.8533,1.8028,0.18796,1.2479,0.823,2.7068,0.82059,1.8802,0.027508,-0.0055146,-0.74357,0.096465,0.51979,-0.73938,0.023186,0.039087,0.19905,-0.47467,-0.10394,-0.1791,-0.14987,0.27482,-0.14207,0.30181,-0.053269,0.035664,0.059202,-0.045164,0.12911,-0.060012,-0.093287,0.25048,0.017765,-0.10159,-9.0926e-15
"D15.4",42.974,21.54,-3.459,-5.7521,1.0335,5.2383,1.9522,-0.65603,-6.8607,2.9254,4.156,11.649,1.7863,-1.7389,0.9303,0.46799,-1.6003,0.36053,0.32004,-0.75765,-0.89961,0.867,-0.6172,0.75506,0.55503,-0.2496,-0.27305,-0.051233,0.27863,0.1594,-0.13954,-0.26795,-0.085252,-0.045746,0.2447,0.072384,-0.0038716,-0.063289,0.25193,0.0095903,0.23068,0.063188,0.15907,0.047215,-0.085445,0.053648,-0.016389,-0.011768,-0.020795,-6.9788e-15
"F15.1",48.881,-3.4678,-1.8176,-2.3766,0.81176,-11.082,4.6717,11.565,-1.0469,-5.0469,-1.9828,-0.019201,1.4782,-0.71259,-2.25,-1.8022,-4.4615,0.98051,0.30797,-0.12271,-0.25091,-1.9055,0.77618,0.068548,2.2706,2.1264,-0.48695,-0.93904,0.3315,0.62378,-1.144,1.3125,-0.030368,-0.21424,-0.14152,-1.0866,0.13817,0.0061904,0.27455,-0.072438,-0.066396,0.066224,0.21912,0.014688,0.049185,0.1997,-0.38701,0.024973,0.015627,-8.4648e-15
"F15.2",7.151,11.824,10.084,13.739,-0.39644,-4.8219,-4.996,-1.5207,-2.0666,-1.2954,1.4946,0.42806,-0.22908,0.067351,0.83252,-1.1694,-0.11377,1.6805,-3.5991,-0.89989,-2.3484,-5.6201,0.89287,1.5012,-2.162,-2.907,-1.0311,0.91067,-1.2368,-0.44104,0.14992,1.0243,-0.5869,1.1653,-1.0088,-0.47526,0.3735,0.22549,-0.1535,-0.019905,0.12469,-0.051286,-0.42935,-0.025197,0.25776,-0.39629,0.085301,-0.43319,-0.43215,4.7616e-15
"F15.3",48.998,2.1805,2.397,1.1153,-1.4432,5.7888,3.8311,2.8137,6.549,-3.6262,-5.2039,0.052921,1.3472,-1.1758,3.5129,4.1109,4.179,4.6492,0.16274,-3.7259,-1.6815,0.066971,-2.4437,-1.2704,-1.7799,0.12203,1.8061,-0.44747,-0.12203,-0.39865,0.50625,0.095961,0.38973,0.019757,0.055001,0.40629,0.24383,0.032778,-0.017954,0.25389,-0.074801,-0.039967,-0.20722,0.25223,0.056526,-0.072561,0.036606,0.16657,-0.067113,-1.5823e-14
"F15.4",-5.8514,-8.5504,-3.4728,1.2958,-1.5258,3.8505,2.2077,-1.5032,-4.8823,-0.78311,-0.43897,-0.31538,-0.90326,0.44335,-1.0926,0.92684,-0.70402,3.0838,-1.7758,-0.33868,1.3157,1.1849,3.2218,-1.4811,-2.5071,-0.96091,-1.2389,-0.07544,-0.38152,1.2754,1.2392,2.8129,1.4932,-2.2341,2.6833,-1.5066,0.52347,-1.5608,-0.93135,0.21886,-0.10721,-0.14899,0.62371,-1.6076,0.28517,0.29887,-0.37785,-0.96408,0.75985,1.431e-15
"X15.1",-17.534,8.4891,27.049,-8.2453,-4.0094,-2.5747,2.0296,-1.6278,-0.79881,-1.1104,0.47748,-0.3684,0.2614,-1.3817,0.9485,1.1587,1.5681,0.98003,0.20003,2.0447,-2.0431,1.8538,1.8681,-2.4596,1.279,3.0956,-2.1385,1.7019,-2.0184,0.39979,0.86543,0.071413,-0.74926,0.76508,0.207,0.38301,-0.5107,0.43059,-0.44173,-0.15474,-1.0043,-0.29299,-0.24048,-0.20943,-0.42565,0.20207,-0.51431,0.05792,-0.010535,-4.355e-15
"X15.2",-12.697,-11.109,13.378,-8.8031,6.435,1.2216,-3.0476,0.76737,0.98992,-2.0588,-2.057,2.2419,0.59088,0.75497,-0.86643,-1.5522,-2.6722,-1.9814,-0.73168,1.0539,-3.0518,0.88216,-0.16374,-3.787,-0.049582,-4.1652,3.3384,1.0107,1.8085,0.11329,-0.4536,-0.27793,0.43817,-0.84751,-0.78736,-1.0642,0.36232,-0.53019,0.26666,0.63664,1.2784,0.64553,0.048855,0.27018,0.13422,-0.24454,0.19046,-0.077738,0.11014,-1.3869e-14
"X15.3",-19.739,6.491,-0.36363,-5.9337,-9.8536,3.3127,-0.083059,0.61999,4.6999,-4.9198,-0.46181,1.3663,0.72372,0.63222,-0.35287,-1.3926,-3.1004,-1.9832,0.27335,2.221,-0.45855,0.64051,0.41018,3.3102,-3.1995,1.5716,1.2109,-1.003,-1.9844,-2.4256,0.30505,-0.64489,1.879,0.69508,-0.79668,-0.5286,0.49003,-0.67677,-0.29448,-0.74917,1.0548,-0.58763,1.1135,-1.4049,0.8527,-0.60759,0.3641,0.098647,-0.44432,6.2034e-15
"X15.4",-0.5165,14.393,-1.537,3.4324,4.7611,2.6034,-3.8638,2.6927,-3.0861,4.2991,-4.4753,-4.9507,-0.68816,-6.1405,-4.7167,-0.27562,0.66469,1.1057,2.0428,0.69178,-4.2031,2.0831,0.74776,1.4323,0.71926,-1.1032,-1.1161,-1.821,0.47919,-0.23335,0.66027,-0.40673,0.2774,0.33447,0.19503,0.87361,-0.32057,-0.29218,0.46094,-0.080315,0.89539,-0.17761,1.0001,-0.58412,0.86393,-0.11172,0.12258,0.38788,0.0026028,5.6335e-16
