"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"M1002.386T959.199",-0.030945,-0.0027084,-0.0019834,-0.017258,-0.014012,0.0043959,0.013488,0.023498,-0.0026826,-0.012779,-0.013163,0.0051684,-0.041525,-0.0091608,0.036764,-0.057974,0.011323,0.036837,0.021059,-0.029522,-0.019052,0.013763,-0.0021258,-0.0025845,-0.011049,0.022824,0.0075629,-0.013607,-0.011911,-0.022802,-0.033157,0.0080768,-0.0025349,0.011441,0.0017959,-0.028265,0.013507,0.0017433,0.0022018,-0.0047263,-0.00032104,-1.6077e-05,0.0057161,-0.013233,0.014523,-0.018047,0.0023039,0.015287,0.010533,-0.0014671
"M499.199T868.008",-0.035135,-0.0092658,0.005842,0.0069599,-0.0030133,-0.003146,0.00322,0.0063033,0.012479,0.02201,0.00097124,0.048886,-0.025334,-0.030343,-0.037674,0.0068059,-0.012012,0.031588,-0.013277,-0.0063167,0.00010886,-0.0089029,-0.0050952,0.011715,0.0043189,-0.013508,-0.0057815,-0.0087865,0.0070719,-0.0043904,0.012225,-0.0063115,0.004978,0.010248,-0.017129,-0.0039523,-0.021361,-0.0017016,-0.0030839,-0.0087401,0.014455,0.0034483,-0.0055684,-0.008695,-0.0065484,0.0035711,-0.021518,0.0020684,0.00029553,-0.0015254
"M1141.365T817.469",-0.022117,-0.016169,0.011413,-0.0032751,-0.0088774,-0.0072907,0.024891,-0.0015955,0.027199,0.011302,-0.0044488,-0.0050092,-0.012432,0.0047674,0.018585,0.013435,-0.014152,0.0037666,0.03845,0.010762,0.010572,-0.0059073,0.005561,-0.0060166,0.014305,-0.017734,-0.036256,0.030965,-0.0097973,0.024067,-2.3784e-05,-0.0042316,-0.02033,-0.02807,0.053024,-0.0015067,0.015121,-0.033725,-0.025622,-0.026781,0.014046,-0.012308,0.004647,8.3325e-05,-0.018565,0.00068418,0.02998,0.013266,-0.0077422,-0.00033939
"M840.53T1307.309",-0.02146,-0.0020704,-0.012782,0.011857,0.019016,0.0034387,0.0053203,0.00086652,-0.012303,0.015208,0.00017707,-0.029777,-0.0078864,0.0027512,0.00077039,0.027149,0.02356,-0.02569,0.023755,-0.006424,0.0060355,0.022881,-0.016257,-0.020143,0.014972,0.018125,0.023914,-0.0036604,-0.0073358,-0.023645,-0.0096182,-0.014788,-0.0099865,0.00031345,-0.027141,-0.012121,-0.005778,0.018437,0.010011,0.020268,0.0026297,-0.024388,0.0115,0.0068089,0.0014566,0.017607,0.016373,-0.001399,0.0082155,-0.0072139
"M1025.558T1119.866",-0.029551,-0.00068884,0.0032834,0.028515,0.008753,0.016094,-0.007781,-0.0049406,-0.0041968,0.025153,0.0087247,0.032411,-0.029878,0.0056055,-0.014002,0.0091129,-0.0032609,0.0077878,0.0032476,-0.0033781,0.0079168,0.026332,0.0087195,-0.0047838,-0.0098036,-0.0079176,0.0040396,-0.0043556,0.017323,0.00035441,0.010623,0.0059842,0.0077258,0.00033624,0.0028848,0.010261,-0.0052525,-0.0032455,0.018951,-0.020449,0.004313,0.0056901,-0.013252,0.022129,0.007601,-0.0064503,0.0078363,-0.016673,-0.0068426,0.010719
"M547.412T1341.992",-0.011276,-0.006683,-0.0070179,-0.026819,0.025382,-0.0040887,-0.0065681,-0.027937,-0.0034868,-0.014672,0.0021911,0.0055194,-0.014662,0.0087754,-0.0015345,-0.006492,0.0090176,-0.018651,-0.0042592,-0.00036015,0.019974,-0.013153,-0.017309,0.013802,-0.016743,-0.00025354,-0.0048138,-0.0044852,0.0048092,0.015626,0.0021301,-0.018246,0.010529,-0.011186,0.0071759,-0.0038054,-0.0035194,-0.0071531,0.00096838,-0.0030932,-0.0068128,-0.0013681,-0.011635,-0.013626,-0.010697,0.012202,0.0079403,-0.013683,-0.0058146,0.011104
"M873.333T828.514",-0.026043,-0.015446,0.0056335,-0.0082431,-0.022506,-0.00087956,-0.0043533,0.00072844,0.0059073,-0.0075547,0.016513,0.02049,0.023051,-0.035646,-0.012465,0.012446,0.0094152,0.0073973,-0.0096981,0.00089573,-0.001982,-0.010484,-0.018954,0.00062455,-0.0018284,0.001341,-0.016893,-0.00032785,-0.0025687,0.025001,-0.0012342,0.011989,0.0074304,-0.00067622,-0.014085,0.0010241,0.0011781,0.0029625,-0.0095828,0.015541,-0.0065546,0.032144,0.0083147,-0.002623,-0.0041046,-0.0045628,-0.010677,0.0021963,0.011655,0.0069697
"M547.387T1389.173",-0.012005,-0.005856,-5.5751e-05,-0.024687,0.023163,-0.0013018,-0.0027049,-0.026318,-0.005471,-0.020027,0.0088307,-0.00031967,-0.0095666,0.0020404,-0.0051302,-0.0045401,0.010494,-0.013659,-0.003711,-0.00044089,0.020242,0.00068284,-0.014175,0.0020435,-0.0099116,0.0076706,-0.0094739,0.0038091,-0.002517,0.017793,0.00088026,-7.0551e-05,0.0094549,0.0069241,0.01468,0.01771,-0.0050915,-0.017945,-0.0026423,0.0066569,-0.0069401,-0.0055466,-0.013015,-0.00073331,-0.0039187,0.013784,0.00028451,-0.0040675,-0.022307,0.0028413
"M484.189T891.652",-0.035159,-0.0091412,0.0015247,-0.0094127,0.0013598,-0.0053028,-0.012533,-7.1366e-05,0.049407,-0.010468,-0.0081901,-0.033318,-0.058239,0.032082,-0.014568,-0.0021999,0.047227,0.046942,0.0087125,-0.01593,0.0023012,-0.0040189,0.019787,-0.0016217,-0.0094852,-0.011614,0.012165,-0.010767,-0.0035198,0.0052209,0.01596,-0.0080624,-0.026266,0.0024861,0.0066772,0.018285,-0.018395,-0.0067968,0.0080337,-0.014727,-0.010791,-0.0084242,-0.017995,-0.0074821,0.018928,0.0089463,-0.0031765,0.01248,-0.018506,0.007648
"M430.319T1312.999",-0.00089189,-0.015855,0.018138,0.029387,-0.048985,-0.0068777,-0.031333,0.06069,0.023026,-0.039974,-0.02099,0.016464,-0.025651,-0.011889,0.010738,-0.0012517,0.0057019,-0.0073079,-0.012149,0.021512,-0.0060363,-0.0012804,-0.020483,0.0034468,-0.020714,0.003626,0.0019605,0.0049829,-0.015349,0.014898,-0.012311,-0.0062459,-0.01283,0.00010775,0.009285,-0.010786,-0.01732,-0.0088377,0.012677,0.0042381,-0.0025983,-0.010395,-0.0025248,0.0035746,0.0034997,-0.0015519,0.0062103,0.0019722,-0.014773,-0.0041145
"M841.33T990.311",-0.02548,-0.0012664,-0.013915,-0.010161,-0.023093,0.0064425,0.00053393,-0.01148,-0.00094735,-0.0049683,0.012757,-0.013522,0.0016801,0.0059157,0.0022383,-0.0036866,0.013757,0.019838,-0.0073468,-0.0053315,-0.020336,0.0055659,-0.011251,-0.011426,-0.010209,0.0024095,-0.00507,-0.0093332,0.0074944,-0.0066991,-0.007131,0.016707,0.0099403,0.0061754,-0.020402,0.00038534,0.016799,0.013114,0.013171,-0.0047808,0.0060505,-0.004742,-0.0074493,0.0014485,-0.019,-0.0026441,0.0055654,0.009316,0.019755,-0.0026627
