"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK.2","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas"
"M851.325T943.327"," 0.01289574","-0.43400141"," 0.09701608"," 0.38679593"," 0.23939873"," 0.17672444"," 0.16594056"," 0.40288857"," 0.17473928"," 0.54381165"," 0.29891381","-1.17340937"," 0.24064621"," 0.27660365"," 0.32829076"," 0.33023065","-2.05220484"," 0.43300358"," 0.42389383"," 0.42712676","-1.55874925"," 0.03937505"," 0.30863270"," 0.61970447"," 0.31883571"," 0.23237672"," 0.60158333"," 0.22933556"," 0.52839195","-1.15833572"," 0.58222222"," 0.41706273"," 0.40091378"," 0.49892235","-0.03147537"," 0.22771698"," 0.36395136","-0.30260303","-0.99193952"," 0.64623503","-1.24485986","-1.50191077","-1.39048276","-0.37083602","-1.48004806"," 0.26634348"," 0.60759255"," 0.89721928"," 0.91684816"," 0.02867232"
"M973.388T942.139"," 0.10995904","-0.61006677"," 0.19889655"," 0.11732090"," 0.23643320"," 0.18807752"," 0.30579363"," 0.49153367"," 0.27502640"," 0.68230593"," 0.37363336","-1.51691132"," 0.34487383"," 0.34784384"," 0.43215642"," 0.37492722","-1.04564277"," 0.55205078"," 0.42113035"," 0.43207510","-0.97191095","-0.05586519"," 0.28464384"," 0.70253774"," 0.47383943"," 0.25532561"," 0.61470186"," 0.36468802"," 0.70050354","-2.74251341"," 0.60328804"," 0.50464888"," 0.47277048"," 0.36206649"," 0.08083153"," 0.20290455"," 0.12934932","-0.05097743","-1.44735649"," 0.96941240","-1.29593367","-1.19470076","-1.98145758","-0.76891125","-0.78381726"," 0.26394476"," 0.45483308"," 0.28421185"," 0.92063508","-0.06310936"
"M1059.43T783.656","-0.03459580","-0.80656411"," 0.34940204"," 0.43762123"," 0.44414010"," 0.38296577"," 0.90588262"," 0.18850509"," 0.17272357"," 0.52282937"," 0.05296934","-1.27280454"," 0.63805083"," 0.43834918"," 0.77544387"," 0.58451345","-0.91086253"," 0.18332484"," 0.34798792"," 0.12582382","-1.65853089"," 0.22329364"," 0.80881090"," 0.29526727"," 0.77761928"," 0.09938202"," 0.24887241"," 0.61463190"," 0.66928380","-1.62067729"," 0.91016404"," 0.67920173"," 0.53439907"," 0.86937402","-0.13055858"," 0.17067409"," 0.48802775","-0.37270961","-2.50070706"," 0.79890191","-1.43599630","-1.02238809","-1.73314575","-0.72562427","-2.53076018","-0.10229707"," 0.89122795"," 0.91444932"," 0.34174340","-0.02763545"
"M691.269T827.274","-0.16320024","-0.24841470"," 0.70978385"," 0.23302739"," 0.27463062"," 0.18159965"," 0.87003384"," 0.16181623"," 0.16518503"," 0.34338603"," 0.07970267","-1.59808652"," 0.41986506"," 0.43932177"," 0.30224044"," 0.17887479","-1.12572684"," 0.22111296"," 0.50817209","-0.01181145","-1.20341579","-0.04095352"," 0.69319119"," 0.42887471"," 0.58290132"," 0.39489328"," 0.49119351"," 0.62634252"," 0.65297106","-1.22506432"," 0.32355814"," 0.62125540"," 0.88350796"," 0.41484415","-0.08165580","-0.01898686","-0.10933452"," 0.24132349","-1.15334704"," 0.59325368","-0.92226081","-1.51341925","-1.59703050","-0.68094786","-1.44097727"," 0.09752857"," 0.76980772"," 0.46109307"," 0.43260789","-0.66326679"
"M699.266T892.331"," 0.0004793765","-0.1792896237"," 0.2969307642"," 0.3412199410"," 0.1247642715"," 0.2551523382"," 0.1035364403"," 0.4718846899"," 0.2009436505"," 0.5497075727"," 0.2519977022","-1.0892875617"," 0.4853973026"," 0.3158604442"," 0.5867213363"," 0.3912055155","-2.4873516165"," 0.3799643366"," 0.5222189356"," 0.4138738324","-1.3976328788"," 0.0895925839"," 0.6795472319"," 0.5321279349"," 0.4408095748"," 0.4132542104"," 0.6886592816"," 0.3930244243"," 0.6987214592","-1.5555956256"," 0.3681349456"," 0.5213216657"," 0.6434939087"," 0.5788293185"," 0.0233916860"," 0.2650950398","-0.0829761014"," 0.1684450940","-2.5404528868"," 0.6487473892","-1.4109174434","-1.1508447700","-1.0074191534","-0.1684152931","-1.2043926518"," 0.2780327400"," 0.4880001420"," 0.2156251487"," 0.5186194360","-0.0707560595"
"M989.369T828.514"," 0.187199490","-0.374686343"," 0.115528606"," 0.106690329"," 0.216647968"," 0.350001758"," 0.571099480"," 0.480165742"," 0.346605347"," 0.706232633"," 0.399962389","-2.733089331"," 0.232958526"," 0.175561040"," 0.488591046"," 0.293260824","-1.001889331"," 0.400791401"," 0.274015114"," 0.524129110","-0.605791190"," 0.020026362"," 0.482275438"," 0.641316816"," 0.447136035"," 0.171123762"," 0.755039537"," 0.227568140"," 0.515644388","-0.981572031"," 0.324583731"," 0.204848407"," 0.345865356"," 0.258232230"," 0.007820365"," 0.088255070"," 0.029941922","-0.103653446","-1.229038317"," 0.572948229","-1.610809208","-1.746340147","-1.330822590","-0.283741833","-0.835708520"," 0.207368729"," 0.756186818"," 0.530273243"," 0.698912190","-0.317665286"
"M963.375T943.327","-0.079426999","-0.548191653","-0.004979961"," 0.081066394"," 0.300783356"," 0.152034702","-0.088897115"," 0.307989572"," 0.123231832"," 0.920096554"," 0.362210027","-1.318167619"," 0.444660196"," 0.250761289"," 0.268732393"," 0.433327663","-0.994662181"," 0.345480542"," 0.316402188"," 0.425901851","-0.961488341","-0.243783408"," 0.345823504"," 0.558092933"," 0.736658982"," 0.269371826"," 0.669483539"," 0.313131769"," 0.436499776","-1.209859174"," 0.496136363"," 0.409469111"," 0.250991273"," 0.476609145","-0.068234800","-0.039057307"," 0.093727097","-0.199963283","-1.489879569"," 1.174130534","-1.114215937","-0.924951404","-0.878358644","-0.580568193","-1.353401923"," 0.042068108"," 0.338802293"," 0.254062362"," 0.721320547","-0.220970211"
"M990.367T843.183"," 0.06257447","-0.39869453"," 0.12439893"," 0.05014105"," 0.27223770"," 0.33522438"," 0.51147828"," 0.39137334"," 0.30009458"," 0.71141942"," 0.37295413","-1.79080968"," 0.26285134"," 0.11576821"," 0.43061029"," 0.38502811","-0.79087391"," 0.35721651"," 0.35798840"," 0.32361530","-1.65664461","-0.08999910"," 0.45157977"," 0.68657167"," 0.52432824"," 0.19396980"," 0.81565936"," 0.15450314"," 0.43139191","-1.72018705"," 0.40940361"," 0.37442657"," 0.24756453"," 0.35404012"," 0.03299358"," 0.25121918"," 0.14068439","-0.05847887","-1.12726081"," 0.57994311","-1.17458866","-0.86290118","-1.09071872","-0.55612342","-1.17280787"," 0.13474603"," 0.60717508"," 0.44513653"," 0.66031530","-0.37053794"
"M887.334T886.012","-0.029494427","-0.433760737"," 0.246437614"," 0.128998105"," 0.172924412"," 0.155413921"," 0.607175668"," 0.237111540"," 0.192337675"," 0.504452077"," 0.199054564","-1.508763174"," 0.262174007"," 0.361543322"," 0.317966961"," 0.249929795","-1.314655153"," 0.403472114"," 0.516718860"," 0.175177940","-1.230245593","-0.131408041"," 0.445934697"," 0.643822907"," 0.283597464"," 0.320750396"," 0.510051299"," 0.392594093"," 0.673940424","-0.880536335"," 0.416717066"," 0.366037564"," 0.371601248"," 0.398370400","-0.050083844","-0.004351778"," 0.104107972","-0.075522763","-1.043353173"," 0.685960993","-1.663800288","-0.956481396","-1.032263251","-0.535705683","-1.253544045"," 0.171537154"," 0.790456260"," 0.316257561"," 0.827886577","-0.306542969"
"M505.27T1185.014"," 0.18585478","-0.12627098"," 0.49752788"," 0.08319579"," 0.37644973"," 0.18656936"," 0.55456412"," 0.48724074"," 0.15997536"," 0.42094818"," 0.07275434","-1.63369335"," 0.15745500"," 0.45598682"," 0.28742205"," 0.30184783","-0.81048791"," 0.25225351"," 0.14277090"," 0.20110935","-1.51561212"," 0.35926688"," 0.39511311"," 0.30642463"," 0.30600347"," 0.38585782"," 0.26246064"," 0.09009453"," 0.19675383","-0.99360123"," 0.47099104"," 0.06286391"," 0.47228661"," 0.28748176"," 0.43700917"," 0.17819243"," 0.29662459"," 0.38213510","-0.88357853","-0.16358510","-0.91025691","-1.83708025","-1.30995534","-0.34191737","-0.51311519"," 0.26793317"," 0.41272571"," 0.37656401"," 0.36414972","-0.09570360"
"M748.268T940.951"," 0.11333392","-0.40848211"," 0.43430877"," 0.06545354"," 0.24199424","-0.01292941"," 0.23964466"," 0.38394957"," 0.27843800"," 0.57832431"," 0.27544297","-1.00557589"," 0.19465788"," 0.28269556"," 0.33919536"," 0.23039558","-0.74823251"," 0.46219977"," 0.22233614"," 0.41880462","-1.17434898","-0.12684190"," 0.10942045"," 0.60381111"," 0.23388694"," 0.35518678"," 0.62181904"," 0.16075011"," 0.58620326","-1.03101479"," 0.49157507"," 0.26935803"," 0.28591769"," 0.41719120"," 0.02553797"," 0.25100668"," 0.03637588","-0.15693444","-1.24998884"," 0.60233281","-0.94007939","-1.37058606","-1.19948067","-0.46294046","-1.28035107"," 0.14711364"," 0.42485063"," 0.27297716"," 0.64683293","-0.13553573"
"M830.514T1319.031"," 0.603329174"," 0.252003693"," 0.335204982"," 0.255798730"," 0.568005638"," 0.405732446"," 0.338629654"," 0.326995963"," 0.673597006"," 0.472708310"," 0.213717653","-1.954436236"," 0.358532724"," 0.147854650"," 0.423165137"," 0.340533569","-1.541599361"," 0.540892513"," 0.170228310"," 0.621167169","-1.379426585"," 0.629689667"," 0.243265335"," 0.513039616"," 0.086912601"," 0.645650667"," 0.547188623"," 0.090148576"," 0.236809822","-1.413852584"," 0.629318548"," 0.070404388"," 0.406343818"," 0.449858845"," 0.492906230"," 0.450356683"," 0.514690715"," 0.597334543","-1.559044407","-0.252508812","-1.716519653","-1.496357976","-1.583582984"," 0.025186823","-1.434352685"," 0.446392762","-0.166765246","-0.008584072"," 0.006959113"," 0.376475907"
"M705.258T877.183"," 0.04042075","-0.37281086"," 0.08257348"," 0.02278616"," 0.21021113"," 0.12103968"," 0.33038018"," 0.47365643"," 0.36102580"," 0.52275511"," 0.20050322","-1.20251387"," 0.25521707"," 0.24327643"," 0.39541374"," 0.34350771","-0.88679984"," 0.32985172"," 0.26991424"," 0.34131102","-1.31958706","-0.02085703"," 0.46060168"," 0.58823722"," 0.27557881"," 0.34411185"," 0.59375036"," 0.22877973"," 0.56408264","-1.07378645"," 0.49068214"," 0.53572738"," 0.45672627"," 0.31241803"," 0.03322592"," 0.12494942"," 0.14047470","-0.24630115","-1.07440087"," 0.43287376","-1.42971345","-1.30099428","-1.36914179","-0.39851134","-1.16516809"," 0.29779034"," 0.53619225"," 0.35435470"," 0.72256823","-0.17638323"
"M973.381T919.58"," 0.10374122","-0.61618164"," 0.19300011"," 0.11119901"," 0.23028852"," 0.20208237"," 0.40074352"," 0.48569936"," 0.26903617"," 0.62692454"," 0.36749370","-1.51067410"," 0.33878937"," 0.34160835"," 0.45371810"," 0.36815208","-1.04329451"," 0.54596537"," 0.43009586"," 0.43268351","-0.96032984","-0.01170896"," 0.27808721"," 0.69664546"," 0.46716468"," 0.24944822"," 0.61315240"," 0.37729566"," 0.69487415","-2.74942915"," 0.59685834"," 0.48568783"," 0.46671620"," 0.35672864"," 0.07491992"," 0.17069607"," 0.12315628","-0.05694715","-1.43988142"," 0.97323626","-1.28496122","-1.18237315","-1.98824368","-0.77518903","-0.84384848"," 0.25760645"," 0.51185491"," 0.36602340"," 0.87085908","-0.06916997"
"M422.212T1355.605"," 0.42100483"," 0.47656641"," 0.26402853"," 0.53640813"," 0.33502007"," 0.42866617","-0.22978944"," 0.19512117"," 0.31541210"," 0.43680120"," 0.11504672","-1.65926166"," 0.43097234","-0.05267319"," 0.18785437"," 0.17115560","-1.63976432"," 0.34559569"," 0.15589432"," 0.35886362","-0.48574780"," 0.55122453"," 0.27755368"," 0.19698177"," 0.22342384"," 0.48400070"," 0.51858826"," 0.38983075"," 0.32367642","-2.62510046"," 0.63095356"," 0.35292944"," 0.15347526"," 0.47112459"," 0.22771536"," 0.47123128"," 0.42553920"," 0.19702338","-0.90619775"," 0.09830652","-1.19966417","-0.73112784","-0.85421526","-0.14332309","-0.85600362"," 0.07682503","-0.52131174"," 0.18424799"," 0.05282497"," 0.42229256"
"M968.365T917.809","-0.106690464","-0.476776100"," 0.069199500"," 0.193010171"," 0.199579440","-0.018016358"," 0.338967771"," 0.222950727"," 0.128056067"," 0.447389965"," 0.063738065","-1.541117625"," 0.314635956"," 0.251227840"," 0.331314843"," 0.244923614","-1.131742804"," 0.343828704"," 0.343803426"," 0.347728335","-1.028234736","-0.143769472"," 0.462045356"," 0.477498856"," 0.629580644"," 0.213241367"," 0.562885199"," 0.327845223"," 0.484471507","-0.995388773"," 0.413410823"," 0.366054267"," 0.314711366"," 0.359402137","-0.056215802","-0.002077292"," 0.108919361","-0.101578760","-1.010354865"," 1.009664577","-1.115768034","-1.477253790","-1.051976968","-0.314968354","-1.098093199"," 0.198947296"," 0.719366982"," 0.396506176"," 1.018539026","-0.233421186"
